,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",22,"{133, 136, 9, 11, 13, 16, 17, 18, 150, 151, 152, 157, 159, 162, 163, 174, 175, 68, 69, 70, 72, 73, 82, 83, 94, 95}","[[[64, 86], [64, 68]], [[6, 8], [6, 42]], [[5, 42], [5, 9]], [[72, 77], [72, 78]], [[65, 87], [65, 86]], [[63, 66], [63, 65]], [[63, 66], [63, 64]], [[23, 30], [23, 31]], [[23, 30], [23, 26]], [[23, 30], [23, 24]], [[23, 30], [23, 25]], [[35, 79], [35, 82]], [[7, 8], [7, 16]], [[23, 31], [23, 26]], [[23, 31], [23, 24]], [[23, 31], [23, 25]], [[63, 65], [63, 64]], [[26, 31], [26, 32]], [[58, 60], [58, 66]], [[23, 26], [23, 24]], [[23, 26], [23, 25]], [[23, 24], [23, 25]]]"
1,"{0: [1], 1: [2], 'Matched': True}",16,"{3, 5, 13, 17, 18, 150, 151, 26, 157, 159, 162, 163, 173, 174, 175, 56, 198, 70, 82, 83, 90, 95, 96}","[[[32, 36], [16, 32]], [[32, 36], [36, 37]], [[32, 36], [26, 32]], [[82, 86], [35, 82]], [[16, 32], [7, 16]], [[64, 86], [63, 64]], [[6, 8], [8, 19]], [[3, 49], [2, 3]], [[64, 68], [63, 64]], [[72, 77], [71, 72]], [[65, 87], [63, 65]], [[65, 86], [63, 65]], [[7, 8], [8, 19]], [[71, 72], [72, 78]], [[26, 31], [23, 26]], [[26, 32], [23, 26]]]"
2,"{0: [1], 2: [1], 'Matched': True}",11,"{162, 198, 7, 136, 73, 11, 13, 175, 16, 17, 82, 83, 56, 127, 152, 159}","[[[82, 86], [64, 86]], [[82, 86], [65, 86]], [[16, 32], [26, 32]], [[64, 86], [65, 86]], [[6, 8], [7, 8]], [[5, 42], [4, 42]], [[5, 42], [6, 42]], [[63, 66], [58, 66]], [[56, 78], [72, 78]], [[23, 31], [26, 31]], [[4, 42], [6, 42]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",1,"{73, 82, 70}","[[[23, 31], [23, 26], [26, 31]]]"
