,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",15,"{101, 102, 135, 138, 108, 110, 177, 50, 178, 52, 53, 180, 183, 155, 156, 159}","[[[64, 66], [64, 65]], [[64, 66], [64, 86]], [[15, 16], [15, 36]], [[15, 16], [15, 37]], [[50, 51], [50, 59]], [[15, 36], [15, 37]], [[73, 74], [73, 75]], [[73, 74], [73, 77]], [[73, 74], [73, 89]], [[40, 41], [40, 46]], [[64, 65], [64, 86]], [[73, 75], [73, 77]], [[73, 75], [73, 89]], [[58, 69], [58, 64]], [[73, 77], [73, 89]]]"
1,"{0: [1], 1: [2], 'Matched': True}",23,"{135, 138, 140, 148, 152, 155, 156, 159, 167, 50, 52, 53, 183, 56, 69, 199, 200, 201, 75, 204, 79, 211, 90, 96, 97, 108, 110, 112, 125}","[[[87, 88], [86, 87]], [[64, 66], [66, 83]], [[64, 66], [58, 64]], [[15, 16], [16, 32]], [[50, 51], [51, 52]], [[97, 98], [89, 97]], [[63, 66], [66, 83]], [[63, 66], [62, 63]], [[25, 31], [23, 25]], [[25, 31], [24, 25]], [[15, 36], [36, 37]], [[89, 97], [73, 89]], [[36, 37], [37, 38]], [[36, 37], [32, 36]], [[56, 58], [58, 69]], [[56, 58], [58, 64]], [[50, 59], [59, 67]], [[64, 65], [58, 64]], [[15, 37], [37, 38]], [[86, 87], [85, 86]], [[86, 87], [64, 86]], [[32, 36], [16, 32]], [[64, 86], [58, 64]]]"
2,"{0: [1], 2: [1], 'Matched': True}",10,"{96, 33, 2, 67, 36, 69, 199, 75, 14, 52, 85, 53, 152, 25, 90, 156, 159}","[[[64, 66], [63, 66]], [[28, 29], [22, 29]], [[6, 17], [1, 17]], [[6, 17], [10, 17]], [[15, 36], [32, 36]], [[36, 37], [15, 37]], [[1, 17], [10, 17]], [[23, 25], [24, 25]], [[8, 18], [11, 18]], [[85, 86], [64, 86]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",1,"{96, 52, 53}","[[[15, 36], [15, 37], [36, 37]]]"
