,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [1]}",53,"[(2, 49), (2, 48), (47, 2), (2, 46), (56, 49), (42, 49), (53, 49), (56, 48), (42, 48), (53, 48), (47, 56), (56, 46), (22, 47), (47, 42), (47, 53), (42, 46), (53, 46), (68, 13), (13, 52), (69, 13), (57, 69), (63, 19), (10, 68), (34, 10), (5, 54), (0, 8), (35, 55), (55, 40), (41, 55), (55, 39), (40, 28), (40, 9), (41, 26), (25, 41), (24, 41), (41, 9), (9, 68), (34, 9), (39, 9), (3, 39), (35, 56), (6, 46), (5, 53), (58, 26), (51, 34), (34, 11), (51, 35), (35, 11), (67, 16), (67, 27), (62, 50), (62, 70), (70, 61)]","[[[5, 4], [53, 5]], [[5, 4], [52, 5]], [[31, 5], [5, 4]], [[5, 4], [12, 5]], [[5, 45], [53, 5]], [[5, 26], [53, 5]], [[5, 10], [53, 5]], [[5, 45], [52, 5]], [[5, 26], [52, 5]], [[5, 10], [52, 5]], [[31, 5], [5, 45]], [[5, 45], [12, 5]], [[11, 31], [31, 5]], [[31, 5], [5, 26]], [[31, 5], [5, 10]], [[5, 26], [12, 5]], [[5, 10], [12, 5]], [[16, 19], [19, 18]], [[19, 18], [18, 55]], [[56, 19], [19, 18]], [[1, 56], [56, 19]], [[1, 28], [28, 27]], [[1, 16], [16, 19]], [[16, 17], [1, 16]], [[10, 9], [1, 10]], [[1, 2], [2, 15]], [[45, 17], [3, 45]], [[3, 45], [39, 3]], [[34, 3], [3, 45]], [[3, 45], [7, 3]], [[39, 3], [35, 39]], [[39, 3], [3, 16]], [[34, 3], [36, 34]], [[35, 34], [34, 3]], [[11, 34], [34, 3]], [[34, 3], [3, 16]], [[3, 16], [16, 19]], [[16, 17], [3, 16]], [[7, 3], [3, 16]], [[6, 7], [7, 3]], [[45, 17], [5, 45]], [[11, 12], [12, 5]], [[10, 9], [5, 10]], [[6, 36], [36, 34]], [[17, 55], [16, 17]], [[16, 17], [17, 18]], [[17, 55], [45, 17]], [[45, 17], [17, 18]], [[38, 23], [23, 21]], [[38, 23], [37, 38]], [[61, 54], [54, 24]], [[61, 54], [54, 59]], [[54, 59], [59, 60]]]"
1,"{2: [0, 1]}",40,"[(56, 2), (2, 42), (53, 2), (56, 42), (53, 56), (53, 42), (32, 57), (57, 29), (63, 57), (10, 57), (57, 54), (0, 57), (32, 29), (63, 32), (32, 10), (32, 54), (32, 0), (63, 29), (10, 29), (54, 29), (0, 29), (63, 10), (63, 54), (63, 0), (10, 54), (0, 10), (0, 54), (55, 9), (66, 58), (66, 3), (58, 3), (24, 22), (24, 6), (6, 22), (34, 68), (15, 59), (70, 50), (25, 64), (25, 28), (64, 28)]","[[[5, 45], [5, 4]], [[5, 4], [5, 26]], [[5, 10], [5, 4]], [[5, 45], [5, 26]], [[5, 10], [5, 45]], [[5, 10], [5, 26]], [[1, 43], [1, 56]], [[1, 56], [1, 40]], [[1, 28], [1, 56]], [[1, 16], [1, 56]], [[1, 56], [1, 10]], [[1, 2], [1, 56]], [[1, 43], [1, 40]], [[1, 28], [1, 43]], [[1, 43], [1, 16]], [[1, 43], [1, 10]], [[1, 43], [1, 2]], [[1, 28], [1, 40]], [[1, 16], [1, 40]], [[1, 10], [1, 40]], [[1, 2], [1, 40]], [[1, 28], [1, 16]], [[1, 28], [1, 10]], [[1, 28], [1, 2]], [[1, 16], [1, 10]], [[1, 2], [1, 16]], [[1, 2], [1, 10]], [[3, 45], [3, 16]], [[6, 64], [6, 36]], [[6, 64], [6, 7]], [[6, 36], [6, 7]], [[11, 34], [11, 31]], [[11, 34], [11, 12]], [[11, 12], [11, 31]], [[16, 17], [16, 19]], [[22, 21], [22, 57]], [[54, 59], [54, 24]], [[35, 34], [35, 62]], [[35, 34], [35, 39]], [[35, 62], [35, 39]]]"
2,"{1: [0], 2: [0]}",25,"[(48, 49), (47, 49), (46, 49), (47, 48), (48, 46), (47, 46), (69, 68), (13, 11), (20, 19), (36, 37), (45, 44), (10, 9), (53, 54), (55, 56), (41, 40), (40, 39), (41, 39), (24, 26), (24, 25), (34, 35), (14, 16), (15, 14), (15, 16), (25, 26), (65, 64)]","[[[52, 5], [53, 5]], [[31, 5], [53, 5]], [[12, 5], [53, 5]], [[31, 5], [52, 5]], [[52, 5], [12, 5]], [[31, 5], [12, 5]], [[56, 19], [16, 19]], [[19, 18], [17, 18]], [[29, 27], [28, 27]], [[44, 46], [47, 46]], [[51, 50], [49, 50]], [[1, 16], [3, 16]], [[5, 10], [1, 10]], [[3, 45], [5, 45]], [[34, 3], [39, 3]], [[39, 3], [7, 3]], [[34, 3], [7, 3]], [[11, 34], [36, 34]], [[11, 34], [35, 34]], [[16, 17], [45, 17]], [[20, 21], [23, 21]], [[22, 21], [20, 21]], [[22, 21], [23, 21]], [[35, 34], [36, 34]], [[63, 62], [35, 62]]]"
3,"{1: [0], 2: [0, 1]}",1,"[(51, 52, 11)]","[[[17, 55], [18, 55], [17, 18]]]"
