,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [1]}",77,"[(64, 80), (80, 57), (32, 80), (80, 83), (80, 29), (80, 75), (80, 63), (43, 80), (10, 80), (80, 54), (0, 80), (20, 75), (19, 63), (43, 18), (10, 34), (79, 55), (55, 40), (55, 39), (28, 40), (9, 40), (9, 34), (9, 39), (3, 39), (31, 76), (2, 31), (49, 2), (48, 2), (47, 2), (2, 46), (49, 56), (49, 74), (49, 42), (49, 53), (48, 56), (74, 48), (48, 42), (53, 48), (56, 79), (47, 56), (56, 46), (47, 22), (74, 47), (47, 42), (47, 53), (74, 20), (74, 46), (42, 18), (42, 46), (46, 6), (53, 46), (26, 58), (73, 62), (34, 51), (14, 72), (72, 62), (21, 79), (71, 62), (62, 70), (80, 65), (57, 69), (10, 68), (54, 5), (0, 8), (8, 12), (68, 9), (5, 53), (73, 4), (73, 5), (52, 12), (68, 13), (13, 52), (13, 69), (67, 27), (45, 81), (81, 44), (81, 27), (70, 61)]","[[[35, 62], [62, 1]], [[62, 1], [1, 56]], [[1, 43], [62, 1]], [[62, 1], [1, 41]], [[62, 1], [1, 40]], [[62, 1], [1, 29]], [[62, 1], [1, 28]], [[1, 26], [62, 1]], [[1, 16], [62, 1]], [[62, 1], [1, 10]], [[1, 2], [62, 1]], [[29, 27], [1, 29]], [[28, 27], [1, 28]], [[1, 26], [26, 27]], [[1, 16], [16, 17]], [[45, 30], [3, 45]], [[3, 45], [39, 3]], [[3, 45], [7, 3]], [[35, 39], [39, 3]], [[3, 16], [39, 3]], [[3, 16], [16, 17]], [[3, 16], [7, 3]], [[6, 7], [7, 3]], [[4, 42], [42, 66]], [[5, 4], [4, 42]], [[53, 5], [5, 4]], [[52, 5], [5, 4]], [[31, 5], [5, 4]], [[5, 4], [12, 5]], [[53, 5], [5, 45]], [[53, 5], [5, 29]], [[53, 5], [5, 26]], [[53, 5], [5, 10]], [[52, 5], [5, 45]], [[5, 29], [52, 5]], [[52, 5], [5, 26]], [[5, 10], [52, 5]], [[5, 45], [45, 30]], [[31, 5], [5, 45]], [[5, 45], [12, 5]], [[31, 5], [11, 31]], [[5, 29], [31, 5]], [[31, 5], [5, 26]], [[31, 5], [5, 10]], [[5, 29], [29, 27]], [[5, 29], [12, 5]], [[5, 26], [26, 27]], [[5, 26], [12, 5]], [[12, 5], [11, 12]], [[5, 10], [12, 5]], [[36, 34], [6, 36]], [[9, 61], [61, 54]], [[16, 17], [17, 55]], [[20, 21], [21, 61]], [[21, 61], [61, 54]], [[30, 27], [45, 30]], [[65, 61], [61, 54]], [[61, 54], [54, 59]], [[62, 1], [63, 62]], [[1, 56], [56, 19]], [[1, 16], [16, 19]], [[1, 10], [10, 9]], [[1, 2], [2, 15]], [[2, 15], [15, 18]], [[16, 19], [3, 16]], [[10, 9], [5, 10]], [[9, 61], [8, 9]], [[9, 61], [10, 9]], [[18, 55], [15, 18]], [[16, 19], [19, 18]], [[19, 18], [18, 55]], [[19, 18], [56, 19]], [[38, 23], [37, 38]], [[51, 50], [50, 37]], [[50, 37], [49, 50]], [[50, 37], [37, 38]], [[54, 59], [59, 60]]]"
1,"{2: [0, 1]}",64,"[(32, 57), (83, 57), (57, 29), (75, 57), (63, 57), (43, 57), (10, 57), (54, 57), (0, 57), (32, 83), (32, 29), (32, 75), (32, 63), (43, 32), (10, 32), (32, 54), (32, 0), (83, 29), (83, 75), (83, 63), (43, 83), (10, 83), (83, 54), (0, 83), (75, 29), (63, 29), (43, 29), (10, 29), (54, 29), (0, 29), (75, 63), (43, 75), (10, 75), (75, 54), (0, 75), (43, 63), (10, 63), (63, 54), (0, 63), (43, 10), (43, 54), (43, 0), (10, 54), (10, 0), (0, 54), (55, 9), (2, 56), (74, 2), (42, 2), (53, 2), (74, 56), (42, 56), (53, 56), (74, 42), (74, 53), (53, 42), (58, 3), (24, 22), (24, 6), (6, 22), (64, 25), (28, 25), (28, 64), (68, 34)]","[[[1, 43], [1, 56]], [[1, 41], [1, 56]], [[1, 56], [1, 40]], [[1, 29], [1, 56]], [[1, 28], [1, 56]], [[1, 26], [1, 56]], [[1, 16], [1, 56]], [[1, 10], [1, 56]], [[1, 2], [1, 56]], [[1, 43], [1, 41]], [[1, 43], [1, 40]], [[1, 43], [1, 29]], [[1, 43], [1, 28]], [[1, 26], [1, 43]], [[1, 16], [1, 43]], [[1, 43], [1, 10]], [[1, 43], [1, 2]], [[1, 41], [1, 40]], [[1, 41], [1, 29]], [[1, 41], [1, 28]], [[1, 26], [1, 41]], [[1, 16], [1, 41]], [[1, 41], [1, 10]], [[1, 2], [1, 41]], [[1, 29], [1, 40]], [[1, 28], [1, 40]], [[1, 26], [1, 40]], [[1, 16], [1, 40]], [[1, 10], [1, 40]], [[1, 2], [1, 40]], [[1, 29], [1, 28]], [[1, 26], [1, 29]], [[1, 16], [1, 29]], [[1, 29], [1, 10]], [[1, 2], [1, 29]], [[1, 26], [1, 28]], [[1, 16], [1, 28]], [[1, 28], [1, 10]], [[1, 2], [1, 28]], [[1, 26], [1, 16]], [[1, 26], [1, 10]], [[1, 26], [1, 2]], [[1, 16], [1, 10]], [[1, 16], [1, 2]], [[1, 2], [1, 10]], [[3, 45], [3, 16]], [[5, 4], [5, 45]], [[5, 29], [5, 4]], [[5, 26], [5, 4]], [[5, 10], [5, 4]], [[5, 29], [5, 45]], [[5, 26], [5, 45]], [[5, 10], [5, 45]], [[5, 29], [5, 26]], [[5, 29], [5, 10]], [[5, 10], [5, 26]], [[6, 36], [6, 7]], [[11, 34], [11, 31]], [[11, 34], [11, 12]], [[11, 12], [11, 31]], [[35, 62], [35, 34]], [[35, 39], [35, 34]], [[35, 39], [35, 62]], [[16, 19], [16, 17]]]"
2,"{1: [0], 2: [0]}",34,"[(74, 75), (42, 43), (10, 9), (53, 54), (56, 55), (40, 39), (49, 48), (49, 47), (49, 46), (47, 48), (48, 46), (47, 46), (71, 73), (72, 73), (26, 24), (25, 24), (72, 71), (18, 21), (18, 20), (18, 19), (21, 20), (19, 21), (19, 20), (25, 26), (36, 38), (36, 37), (38, 37), (5, 4), (13, 12), (68, 69), (51, 52), (59, 60), (65, 64), (45, 44)]","[[[5, 29], [1, 29]], [[5, 26], [1, 26]], [[1, 16], [3, 16]], [[5, 10], [1, 10]], [[5, 45], [3, 45]], [[39, 3], [7, 3]], [[53, 5], [52, 5]], [[53, 5], [31, 5]], [[53, 5], [12, 5]], [[31, 5], [52, 5]], [[52, 5], [12, 5]], [[31, 5], [12, 5]], [[65, 61], [9, 61]], [[21, 61], [9, 61]], [[36, 34], [11, 34]], [[35, 34], [11, 34]], [[21, 61], [65, 61]], [[26, 27], [30, 27]], [[26, 27], [29, 27]], [[26, 27], [28, 27]], [[30, 27], [29, 27]], [[28, 27], [30, 27]], [[28, 27], [29, 27]], [[35, 34], [36, 34]], [[44, 46], [48, 46]], [[44, 46], [47, 46]], [[48, 46], [47, 46]], [[10, 9], [8, 9]], [[19, 18], [15, 18]], [[16, 19], [56, 19]], [[17, 55], [18, 55]], [[22, 57], [58, 57]], [[63, 62], [35, 62]], [[51, 50], [49, 50]]]"
