,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",7,"{185, 164, 167, 168, 21, 22, 55, 87, 89, 58, 184}","[[[16, 18], [16, 37]], [[66, 87], [66, 83]], [[66, 87], [66, 67]], [[8, 11], [8, 10]], [[66, 83], [66, 67]], [[30, 31], [30, 33]], [[74, 75], [74, 81]]]"
1,"{0: [1], 1: [2], 'Matched': True}",18,"{139, 21, 160, 33, 164, 167, 168, 177, 50, 55, 184, 185, 58, 192, 196, 198, 72, 204, 80, 211, 84, 87, 89, 92, 125}","[[[82, 86], [76, 82]], [[82, 86], [80, 82]], [[16, 18], [15, 16]], [[27, 30], [26, 27]], [[27, 30], [30, 31]], [[27, 30], [30, 33]], [[66, 87], [65, 66]], [[8, 10], [10, 17]], [[89, 97], [97, 98]], [[58, 78], [56, 58]], [[15, 16], [16, 37]], [[66, 83], [65, 66]], [[65, 66], [66, 67]], [[30, 31], [23, 30]], [[74, 75], [73, 74]], [[74, 81], [73, 74]], [[23, 30], [30, 33]], [[30, 33], [33, 36]]]"
2,"{0: [1], 2: [1], 'Matched': True}",6,"{192, 131, 196, 198, 39, 72, 139, 207, 211, 84, 55, 159}","[[[82, 86], [64, 86]], [[16, 18], [12, 18]], [[27, 30], [23, 30]], [[76, 82], [80, 82]], [[58, 78], [57, 78]], [[97, 98], [90, 98]]]"
