,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",41,"{1, 2, 133, 136, 9, 11, 139, 13, 15, 16, 17, 18, 21, 151, 152, 23, 26, 155, 156, 29, 157, 31, 159, 162, 163, 40, 44, 174, 175, 54, 56, 68, 69, 70, 72, 73, 74, 82, 83, 90, 91, 94, 95, 101, 102, 110, 111}","[[[32, 36], [32, 85]], [[40, 46], [40, 41]], [[50, 59], [50, 67]], [[16, 32], [16, 17]], [[64, 86], [64, 68]], [[64, 86], [64, 66]], [[6, 8], [6, 42]], [[6, 8], [6, 28]], [[64, 68], [64, 65]], [[5, 42], [5, 9]], [[10, 11], [10, 13]], [[72, 77], [72, 78]], [[65, 87], [65, 86]], [[63, 66], [63, 65]], [[23, 30], [23, 31]], [[23, 30], [23, 26]], [[23, 30], [23, 24]], [[23, 30], [23, 25]], [[23, 30], [23, 39]], [[35, 79], [35, 82]], [[7, 8], [7, 16]], [[1, 17], [1, 9]], [[23, 31], [23, 24]], [[23, 31], [23, 25]], [[23, 31], [23, 39]], [[26, 31], [26, 32]], [[13, 14], [13, 32]], [[8, 19], [8, 14]], [[8, 19], [8, 10]], [[6, 42], [6, 28]], [[58, 60], [58, 66]], [[58, 60], [58, 78]], [[23, 26], [23, 24]], [[23, 26], [23, 25]], [[23, 26], [23, 39]], [[23, 24], [23, 25]], [[23, 24], [23, 39]], [[23, 25], [23, 39]], [[58, 66], [58, 78]], [[64, 66], [64, 65]], [[8, 14], [8, 10]]]"
1,"{0: [1], 1: [2], 'Matched': True}",39,"{129, 3, 5, 133, 136, 139, 13, 17, 18, 21, 150, 23, 151, 152, 26, 155, 157, 29, 159, 31, 162, 163, 165, 40, 44, 173, 174, 175, 47, 52, 54, 56, 190, 195, 198, 70, 74, 83, 90, 91, 95, 96, 99}","[[[32, 36], [16, 32]], [[32, 36], [36, 37]], [[32, 36], [26, 32]], [[32, 36], [13, 32]], [[82, 86], [35, 82]], [[16, 32], [7, 16]], [[16, 32], [32, 85]], [[64, 86], [63, 64]], [[36, 37], [15, 36]], [[6, 8], [8, 19]], [[6, 8], [8, 14]], [[6, 8], [8, 10]], [[3, 49], [2, 3]], [[64, 68], [63, 64]], [[10, 11], [8, 10]], [[72, 77], [71, 72]], [[65, 87], [63, 65]], [[65, 87], [64, 65]], [[63, 66], [66, 68]], [[65, 86], [63, 65]], [[7, 8], [8, 19]], [[7, 8], [8, 14]], [[7, 8], [8, 10]], [[39, 41], [23, 39]], [[7, 16], [16, 17]], [[71, 72], [72, 78]], [[13, 14], [10, 13]], [[13, 14], [14, 18]], [[26, 32], [23, 26]], [[26, 32], [32, 85]], [[58, 60], [57, 58]], [[80, 81], [76, 80]], [[58, 66], [66, 68]], [[58, 66], [57, 58]], [[10, 13], [13, 32]], [[10, 13], [8, 10]], [[57, 58], [58, 78]], [[14, 18], [8, 14]], [[13, 32], [32, 85]]]"
2,"{0: [1], 2: [1], 'Matched': True}",21,"{1, 2, 7, 136, 9, 11, 139, 13, 16, 17, 23, 152, 156, 159, 162, 39, 40, 44, 175, 47, 52, 54, 56, 198, 83, 90, 99, 101, 111, 122, 127}","[[[32, 36], [15, 36]], [[82, 86], [64, 86]], [[82, 86], [65, 86]], [[16, 32], [26, 32]], [[16, 32], [13, 32]], [[6, 8], [7, 8]], [[5, 42], [4, 42]], [[5, 42], [6, 42]], [[63, 66], [58, 66]], [[55, 67], [50, 67]], [[39, 41], [40, 41]], [[1, 17], [16, 17]], [[56, 78], [72, 78]], [[56, 78], [58, 78]], [[13, 14], [8, 14]], [[4, 42], [6, 42]], [[26, 32], [13, 32]], [[5, 9], [1, 9]], [[72, 78], [58, 78]], [[58, 66], [64, 66]], [[12, 18], [14, 18]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",5,"{162, 165, 70, 73, 82, 150, 151, 152, 155, 156, 157, 159}","[[[64, 86], [64, 65], [65, 86]], [[64, 68], [64, 66], [66, 68]], [[63, 66], [63, 64], [64, 66]], [[23, 31], [23, 26], [26, 31]], [[63, 65], [63, 64], [64, 65]]]"
