,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",59,"[(9, 11), (9, 10), (8, 9), (29, 31), (29, 30), (29, 32), (29, 34), (12, 14), (12, 15), (12, 16), (18, 19), (38, 39), (37, 38), (30, 31), (31, 32), (31, 34), (41, 42), (35, 36), (23, 27), (22, 27), (26, 27), (24, 27), (21, 27), (22, 23), (23, 26), (23, 24), (21, 23), (14, 15), (14, 16), (37, 39), (22, 26), (22, 24), (21, 22), (10, 11), (8, 11), (1, 2), (15, 16), (8, 10), (24, 26), (21, 26), (30, 32), (30, 34), (21, 24), (46, 47), (32, 34), (17, 18), (17, 19), (21, 25), (25, 27), (24, 25), (23, 25), (25, 26), (22, 25), (40, 42), (42, 43), (40, 41), (41, 43), (40, 43), (6, 7)]","[((5, 9), (5, 42)), ((5, 9), (5, 17)), ((5, 6), (5, 9)), ((10, 11), (10, 13)), ((10, 11), (10, 12)), ((10, 11), (10, 14)), ((10, 11), (10, 18)), ((6, 7), (6, 17)), ((6, 7), (6, 28)), ((6, 7), (6, 42)), ((7, 16), (7, 28)), ((12, 14), (12, 18)), ((12, 13), (12, 14)), ((10, 12), (10, 13)), ((10, 13), (10, 14)), ((10, 13), (10, 18)), ((13, 15), (13, 16)), ((11, 12), (11, 18)), ((8, 14), (8, 28)), ((8, 11), (8, 28)), ((8, 19), (8, 28)), ((8, 16), (8, 28)), ((8, 10), (8, 28)), ((8, 11), (8, 14)), ((8, 14), (8, 19)), ((8, 14), (8, 16)), ((8, 10), (8, 14)), ((6, 17), (6, 28)), ((6, 17), (6, 42)), ((12, 13), (12, 18)), ((8, 11), (8, 19)), ((8, 11), (8, 16)), ((8, 10), (8, 11)), ((5, 17), (5, 42)), ((5, 6), (5, 42)), ((1, 9), (1, 17)), ((6, 28), (6, 42)), ((5, 6), (5, 17)), ((8, 16), (8, 19)), ((8, 10), (8, 19)), ((10, 12), (10, 14)), ((10, 12), (10, 18)), ((8, 10), (8, 16)), ((14, 16), (14, 18)), ((10, 14), (10, 18)), ((7, 8), (7, 16)), ((7, 8), (7, 28)), ((8, 10), (8, 18)), ((8, 18), (8, 28)), ((8, 16), (8, 18)), ((8, 14), (8, 18)), ((8, 18), (8, 19)), ((8, 11), (8, 18)), ((13, 14), (13, 16)), ((13, 16), (13, 18)), ((13, 14), (13, 15)), ((13, 15), (13, 18)), ((13, 14), (13, 18)), ((4, 5), (4, 42))]"
1,"{0: [1], 1: [2], 'Matched': True}",51,"[(9, 28), (29, 35), (29, 36), (21, 29), (12, 19), (12, 18), (8, 12), (35, 38), (30, 38), (38, 46), (38, 47), (31, 41), (21, 31), (31, 42), (37, 41), (35, 39), (22, 35), (35, 37), (1, 28), (23, 46), (23, 47), (8, 14), (30, 39), (22, 36), (30, 37), (37, 42), (8, 15), (21, 30), (8, 16), (32, 46), (21, 32), (21, 34), (32, 47), (12, 17), (17, 21), (17, 27), (17, 24), (17, 23), (17, 26), (17, 22), (17, 25), (37, 40), (37, 43), (31, 40), (31, 43), (40, 47), (40, 46), (6, 9), (6, 11), (6, 8), (6, 10)]","[((5, 9), (9, 17)), ((10, 11), (11, 12)), ((10, 11), (11, 18)), ((8, 10), (10, 11)), ((6, 7), (7, 28)), ((6, 7), (7, 16)), ((5, 6), (6, 7)), ((11, 12), (12, 14)), ((10, 12), (12, 14)), ((12, 14), (14, 16)), ((12, 14), (14, 18)), ((10, 13), (13, 15)), ((8, 10), (10, 13)), ((10, 13), (13, 16)), ((12, 13), (13, 15)), ((11, 12), (12, 18)), ((8, 11), (11, 12)), ((11, 12), (12, 13)), ((1, 9), (9, 17)), ((8, 14), (14, 16)), ((8, 14), (14, 18)), ((5, 6), (6, 17)), ((10, 12), (12, 18)), ((8, 11), (11, 18)), ((10, 12), (12, 13)), ((12, 13), (13, 16)), ((5, 6), (6, 28)), ((8, 10), (10, 12)), ((5, 6), (6, 42)), ((10, 14), (14, 16)), ((8, 10), (10, 14)), ((8, 10), (10, 18)), ((10, 14), (14, 18)), ((6, 7), (7, 8)), ((7, 8), (8, 10)), ((7, 8), (8, 28)), ((7, 8), (8, 16)), ((7, 8), (8, 14)), ((7, 8), (8, 19)), ((7, 8), (8, 11)), ((7, 8), (8, 18)), ((12, 13), (13, 14)), ((12, 13), (13, 18)), ((10, 13), (13, 14)), ((10, 13), (13, 18)), ((13, 14), (14, 18)), ((13, 14), (14, 16)), ((4, 5), (5, 9)), ((4, 5), (5, 42)), ((4, 5), (5, 6)), ((4, 5), (5, 17))]"
2,"{0: [1], 2: [1], 'Matched': True}",43,"[(1, 9), (22, 29), (19, 27), (15, 19), (23, 38), (32, 38), (31, 37), (30, 35), (15, 27), (14, 28), (2, 28), (10, 28), (23, 32), (2, 14), (10, 14), (36, 39), (39, 47), (34, 39), (18, 24), (18, 46), (18, 42), (11, 16), (2, 10), (36, 47), (34, 36), (24, 46), (24, 42), (42, 46), (34, 47), (23, 40), (25, 43), (25, 47), (25, 36), (25, 39), (25, 34), (38, 40), (32, 40), (43, 47), (36, 43), (39, 43), (34, 43), (7, 11), (7, 16)]","[((1, 9), (5, 9)), ((8, 11), (10, 11)), ((7, 28), (8, 28)), ((6, 28), (7, 28)), ((8, 14), (12, 14)), ((10, 14), (12, 14)), ((10, 13), (12, 13)), ((10, 12), (11, 12)), ((6, 28), (8, 28)), ((6, 17), (9, 17)), ((1, 17), (9, 17)), ((5, 17), (9, 17)), ((8, 14), (10, 14)), ((1, 17), (6, 17)), ((5, 17), (6, 17)), ((11, 18), (12, 18)), ((12, 18), (14, 18)), ((10, 18), (12, 18)), ((7, 16), (8, 16)), ((7, 16), (14, 16)), ((7, 16), (13, 16)), ((5, 42), (6, 42)), ((1, 17), (5, 17)), ((11, 18), (14, 18)), ((10, 18), (11, 18)), ((8, 16), (14, 16)), ((8, 16), (13, 16)), ((13, 16), (14, 16)), ((10, 18), (14, 18)), ((8, 14), (13, 14)), ((8, 18), (13, 18)), ((8, 18), (14, 18)), ((8, 18), (11, 18)), ((8, 18), (12, 18)), ((8, 18), (10, 18)), ((12, 14), (13, 14)), ((10, 14), (13, 14)), ((13, 18), (14, 18)), ((11, 18), (13, 18)), ((12, 18), (13, 18)), ((10, 18), (13, 18)), ((4, 42), (5, 42)), ((4, 42), (6, 42))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",28,"[(9, 10, 28), (29, 30, 35), (21, 22, 29), (29, 34, 36), (12, 15, 19), (38, 39, 47), (30, 32, 38), (30, 31, 37), (35, 36, 39), (1, 2, 28), (23, 24, 46), (21, 23, 32), (8, 10, 14), (30, 34, 39), (8, 11, 16), (32, 34, 47), (17, 18, 24), (17, 19, 27), (21, 25, 34), (23, 25, 47), (22, 25, 36), (40, 42, 46), (37, 38, 40), (37, 39, 43), (31, 32, 40), (31, 34, 43), (40, 43, 47), (6, 7, 11)]","[((5, 9), (5, 17), (9, 17)), ((10, 11), (10, 12), (11, 12)), ((8, 10), (8, 11), (10, 11)), ((10, 11), (10, 18), (11, 18)), ((6, 7), (6, 28), (7, 28)), ((12, 14), (12, 18), (14, 18)), ((10, 12), (10, 14), (12, 14)), ((10, 12), (10, 13), (12, 13)), ((11, 12), (11, 18), (12, 18)), ((1, 9), (1, 17), (9, 17)), ((8, 14), (8, 16), (14, 16)), ((8, 10), (8, 14), (10, 14)), ((5, 6), (5, 17), (6, 17)), ((10, 12), (10, 18), (12, 18)), ((5, 6), (5, 42), (6, 42)), ((10, 14), (10, 18), (14, 18)), ((7, 8), (7, 16), (8, 16)), ((7, 8), (7, 28), (8, 28)), ((8, 10), (8, 18), (10, 18)), ((8, 14), (8, 18), (14, 18)), ((8, 11), (8, 18), (11, 18)), ((13, 14), (13, 16), (14, 16)), ((12, 13), (12, 14), (13, 14)), ((12, 13), (12, 18), (13, 18)), ((10, 13), (10, 14), (13, 14)), ((10, 13), (10, 18), (13, 18)), ((13, 14), (13, 18), (14, 18)), ((4, 5), (4, 42), (5, 42))]"
