,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",40,"[(12, 16), (15, 16), (8, 9), (8, 10), (17, 20), (19, 20), (18, 20), (18, 19), (9, 11), (10, 11), (29, 33), (30, 33), (33, 34), (31, 33), (24, 27), (25, 27), (22, 27), (26, 27), (21, 27), (45, 49), (45, 47), (45, 48), (47, 49), (48, 49), (47, 48), (40, 42), (41, 42), (42, 43), (24, 25), (22, 24), (24, 26), (21, 24), (25, 26), (22, 26), (21, 26), (29, 30), (29, 31), (30, 34), (41, 43), (0, 2)]","[[[6, 42], [6, 7]], [[6, 42], [6, 28]], [[5, 6], [5, 9]], [[5, 6], [5, 17]], [[7, 44], [7, 8]], [[7, 44], [7, 28]], [[7, 44], [7, 16]], [[7, 28], [7, 16]], [[5, 9], [5, 42]], [[5, 42], [5, 17]], [[10, 17], [10, 11]], [[10, 17], [10, 12]], [[10, 17], [10, 18]], [[10, 17], [10, 13]], [[8, 28], [8, 16]], [[8, 28], [8, 18]], [[8, 28], [8, 11]], [[8, 28], [8, 19]], [[8, 28], [8, 10]], [[14, 15], [14, 36]], [[14, 15], [14, 18]], [[14, 15], [14, 32]], [[14, 36], [14, 18]], [[14, 36], [14, 32]], [[14, 18], [14, 32]], [[13, 14], [13, 16]], [[13, 16], [13, 15]], [[13, 16], [13, 18]], [[8, 16], [8, 18]], [[8, 16], [8, 11]], [[8, 16], [8, 19]], [[8, 16], [8, 10]], [[8, 18], [8, 19]], [[8, 11], [8, 19]], [[8, 19], [8, 10]], [[10, 11], [10, 12]], [[10, 11], [10, 13]], [[10, 12], [10, 18]], [[13, 15], [13, 18]], [[1, 2], [1, 17]]]"
1,"{0: [1], 1: [2], 'Matched': True}",25,"[(8, 12), (8, 15), (6, 8), (12, 20), (12, 17), (12, 18), (17, 25), (17, 22), (17, 26), (17, 21), (6, 9), (6, 10), (21, 33), (40, 49), (40, 48), (31, 40), (37, 40), (31, 42), (37, 42), (21, 30), (21, 31), (31, 41), (37, 41), (37, 43), (4, 28)]","[[[5, 6], [6, 7]], [[5, 6], [6, 28]], [[5, 6], [4, 5]], [[6, 7], [7, 44]], [[6, 7], [7, 8]], [[6, 7], [7, 16]], [[7, 8], [8, 18]], [[7, 8], [8, 11]], [[7, 8], [8, 19]], [[7, 8], [8, 10]], [[5, 9], [4, 5]], [[5, 17], [4, 5]], [[10, 17], [8, 10]], [[14, 36], [13, 14]], [[13, 14], [14, 32]], [[13, 14], [10, 13]], [[13, 14], [12, 13]], [[13, 16], [10, 13]], [[13, 16], [12, 13]], [[8, 10], [10, 12]], [[8, 10], [10, 13]], [[10, 13], [13, 15]], [[13, 15], [12, 13]], [[13, 18], [12, 13]], [[9, 17], [2, 9]]]"
2,"{0: [1], 2: [1], 'Matched': True}",15,"[(7, 16), (15, 27), (18, 42), (2, 10), (10, 33), (28, 33), (2, 33), (25, 47), (34, 47), (24, 42), (25, 43), (1, 9), (36, 43), (36, 47), (4, 9)]","[[[6, 42], [4, 42]], [[6, 28], [8, 28]], [[7, 16], [13, 16]], [[5, 17], [1, 17]], [[5, 17], [10, 17]], [[9, 17], [10, 17]], [[1, 17], [10, 17]], [[14, 18], [8, 18]], [[14, 18], [10, 18]], [[13, 16], [8, 16]], [[8, 18], [13, 18]], [[1, 9], [5, 9]], [[13, 18], [11, 18]], [[11, 18], [14, 18]], [[2, 9], [5, 9]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",16,"[(8, 11, 16), (12, 15, 19), (17, 19, 27), (17, 18, 24), (9, 10, 28), (6, 7, 11), (40, 41, 45), (40, 43, 47), (21, 25, 34), (21, 22, 29), (30, 31, 37), (31, 34, 43), (1, 2, 28), (0, 1, 4), (22, 25, 36), (29, 34, 36)]","[[[6, 42], [5, 6], [5, 42]], [[6, 7], [6, 28], [7, 28]], [[7, 8], [7, 28], [8, 28]], [[7, 8], [7, 16], [8, 16]], [[5, 9], [5, 17], [9, 17]], [[5, 42], [4, 5], [4, 42]], [[14, 15], [13, 14], [13, 15]], [[14, 18], [13, 14], [13, 18]], [[8, 18], [8, 10], [10, 18]], [[8, 11], [8, 10], [10, 11]], [[10, 12], [10, 13], [12, 13]], [[10, 18], [10, 13], [13, 18]], [[1, 9], [1, 17], [9, 17]], [[1, 9], [1, 2], [2, 9]], [[8, 18], [8, 11], [11, 18]], [[11, 18], [10, 11], [10, 18]]]"
