,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [0]}",17,"[(2, 33), (2, 10), (1, 9), (4, 9), (10, 33), (15, 66), (19, 66), (46, 18), (42, 18), (27, 66), (24, 42), (23, 40), (23, 38), (33, 28), (47, 36), (43, 36), (58, 53)]","[[[1, 17], [10, 17]], [[1, 17], [5, 17]], [[1, 9], [5, 9]], [[2, 9], [5, 9]], [[5, 17], [10, 17]], [[6, 28], [22, 28]], [[7, 28], [22, 28]], [[14, 16], [7, 16]], [[13, 16], [7, 16]], [[8, 28], [22, 28]], [[8, 16], [13, 16]], [[8, 14], [13, 14]], [[8, 14], [12, 14]], [[10, 17], [9, 17]], [[14, 18], [11, 18]], [[13, 18], [11, 18]], [[16, 37], [15, 37]]]"
1,"{1: [0], 2: [0, 1]}",30,"[(2, 1, 28), (0, 1, 4), (10, 9, 28), (27, 15, 13), (19, 12, 15), (12, 17, 13), (19, 27, 17), (24, 17, 18), (23, 24, 46), (23, 32, 21), (29, 22, 21), (34, 32, 47), (34, 31, 43), (39, 34, 30), (34, 29, 36), (32, 31, 40), (32, 30, 38), (31, 37, 30), (35, 30, 29), (39, 35, 36), (39, 47, 38), (39, 37, 43), (40, 37, 38), (56, 42, 44), (48, 40, 44), (40, 47, 43), (42, 46, 40), (48, 56, 46), (61, 63, 60), (69, 68, 75)]","[[[1, 17], [1, 9], [9, 17]], [[1, 2], [1, 9], [2, 9]], [[5, 17], [5, 9], [9, 17]], [[8, 28], [6, 28], [6, 8]], [[7, 28], [6, 7], [6, 28]], [[6, 7], [7, 8], [6, 8]], [[7, 28], [8, 28], [7, 8]], [[8, 16], [7, 8], [7, 16]], [[8, 14], [8, 16], [14, 16]], [[8, 14], [10, 14], [8, 10]], [[10, 11], [8, 11], [8, 10]], [[10, 18], [10, 14], [14, 18]], [[10, 18], [10, 13], [13, 18]], [[12, 18], [10, 18], [10, 12]], [[10, 18], [10, 11], [11, 18]], [[10, 14], [10, 13], [13, 14]], [[10, 14], [10, 12], [12, 14]], [[10, 13], [12, 13], [10, 12]], [[11, 12], [10, 12], [10, 11]], [[12, 18], [11, 12], [11, 18]], [[12, 18], [14, 18], [12, 14]], [[12, 18], [12, 13], [13, 18]], [[13, 14], [12, 13], [12, 14]], [[16, 32], [13, 16], [13, 32]], [[14, 32], [13, 14], [13, 32]], [[13, 14], [14, 18], [13, 18]], [[13, 16], [14, 16], [13, 14]], [[14, 32], [16, 32], [14, 16]], [[19, 43], [20, 43], [19, 20]], [[23, 25], [23, 24], [24, 25]]]"
2,"{2: [0, 1]}",41,"[(0, 2), (3, 4), (10, 8), (9, 8), (15, 16), (13, 16), (12, 16), (19, 20), (18, 20), (17, 20), (19, 18), (27, 24), (27, 23), (27, 22), (27, 21), (24, 22), (24, 21), (23, 22), (34, 33), (32, 33), (31, 33), (33, 30), (33, 29), (32, 29), (31, 29), (43, 44), (42, 43), (48, 47), (45, 48), (46, 47), (45, 47), (45, 46), (58, 57), (58, 56), (56, 57), (63, 62), (67, 66), (67, 65), (65, 66), (74, 69), (74, 68)]","[[[1, 2], [1, 17]], [[2, 3], [2, 9]], [[5, 17], [5, 6]], [[5, 9], [5, 6]], [[6, 28], [6, 42]], [[6, 8], [6, 42]], [[6, 7], [6, 42]], [[7, 28], [7, 44]], [[7, 16], [7, 44]], [[7, 8], [7, 44]], [[7, 28], [7, 16]], [[8, 28], [8, 16]], [[8, 28], [8, 14]], [[8, 28], [8, 11]], [[8, 28], [8, 10]], [[8, 16], [8, 11]], [[8, 16], [8, 10]], [[8, 14], [8, 11]], [[10, 18], [10, 17]], [[10, 14], [10, 17]], [[10, 13], [10, 17]], [[10, 17], [10, 12]], [[10, 17], [10, 11]], [[10, 14], [10, 11]], [[10, 13], [10, 11]], [[13, 18], [13, 32]], [[13, 16], [13, 18]], [[14, 32], [14, 18]], [[14, 15], [14, 32]], [[14, 16], [14, 18]], [[14, 15], [14, 18]], [[14, 15], [14, 16]], [[16, 37], [16, 33]], [[16, 37], [16, 32]], [[16, 32], [16, 33]], [[20, 43], [20, 21]], [[22, 29], [22, 28]], [[22, 29], [22, 27]], [[22, 27], [22, 28]], [[23, 39], [23, 25]], [[23, 39], [23, 24]]]"
3,"{1: [0], 2: [1]}",64,"[(0, 3), (4, 28), (5, 3), (10, 6), (6, 9), (6, 8), (16, 8), (15, 8), (13, 8), (12, 8), (24, 13), (23, 13), (13, 22), (13, 21), (12, 20), (12, 18), (58, 18), (18, 57), (56, 18), (23, 17), (17, 22), (17, 21), (58, 24), (24, 57), (56, 24), (48, 23), (23, 47), (45, 23), (36, 22), (35, 22), (34, 21), (33, 21), (31, 21), (30, 21), (59, 34), (48, 32), (32, 46), (45, 32), (31, 44), (31, 42), (59, 36), (35, 38), (37, 35), (39, 59), (48, 38), (46, 38), (45, 38), (37, 44), (42, 37), (59, 43), (58, 42), (42, 57), (45, 40), (59, 47), (58, 46), (46, 57), (45, 53), (61, 59), (59, 60), (62, 60), (62, 64), (67, 64), (64, 66), (64, 65)]","[[[1, 2], [2, 3]], [[2, 9], [9, 17]], [[3, 49], [2, 3]], [[5, 17], [4, 5]], [[4, 5], [5, 9]], [[4, 5], [5, 6]], [[6, 42], [5, 6]], [[6, 28], [5, 6]], [[6, 8], [5, 6]], [[6, 7], [5, 6]], [[8, 16], [6, 8]], [[8, 14], [6, 8]], [[6, 8], [8, 11]], [[6, 8], [8, 10]], [[6, 7], [7, 44]], [[6, 7], [7, 16]], [[16, 37], [7, 16]], [[7, 16], [16, 33]], [[16, 32], [7, 16]], [[8, 14], [7, 8]], [[7, 8], [8, 11]], [[7, 8], [8, 10]], [[16, 37], [8, 16]], [[8, 16], [16, 33]], [[16, 32], [8, 16]], [[14, 32], [8, 14]], [[8, 14], [14, 18]], [[14, 15], [8, 14]], [[11, 18], [8, 11]], [[11, 12], [8, 11]], [[10, 18], [8, 10]], [[10, 17], [8, 10]], [[10, 13], [8, 10]], [[10, 12], [8, 10]], [[18, 19], [10, 18]], [[14, 32], [10, 14]], [[10, 14], [14, 16]], [[14, 15], [10, 14]], [[10, 13], [13, 32]], [[10, 13], [13, 16]], [[18, 19], [11, 18]], [[11, 12], [12, 14]], [[12, 13], [11, 12]], [[12, 18], [18, 19]], [[14, 32], [12, 14]], [[14, 16], [12, 14]], [[14, 15], [12, 14]], [[12, 13], [13, 32]], [[13, 16], [12, 13]], [[18, 19], [13, 18]], [[16, 37], [13, 16]], [[13, 16], [16, 33]], [[14, 15], [13, 14]], [[18, 19], [14, 18]], [[16, 37], [14, 16]], [[14, 16], [16, 33]], [[14, 15], [15, 37]], [[19, 43], [18, 19]], [[18, 19], [19, 20]], [[20, 21], [19, 20]], [[20, 21], [21, 22]], [[22, 29], [21, 22]], [[21, 22], [22, 28]], [[21, 22], [22, 27]]]"
