,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2]}",35,"[(14, 16), (15, 16), (13, 16), (30, 34), (40, 41), (41, 43), (42, 44), (42, 43), (40, 44), (43, 44), (25, 27), (22, 25), (25, 26), (24, 25), (46, 47), (47, 49), (0, 2), (14, 15), (13, 14), (18, 20), (18, 19), (17, 20), (19, 20), (3, 4), (22, 27), (23, 27), (26, 27), (24, 27), (22, 23), (22, 26), (22, 24), (23, 26), (46, 49), (24, 26), (50, 51)]","[[[6, 42], [6, 17]], [[6, 42], [6, 28]], [[6, 42], [6, 8]], [[10, 18], [10, 12]], [[13, 15], [13, 14]], [[13, 15], [13, 18]], [[13, 16], [13, 32]], [[13, 16], [13, 18]], [[13, 14], [13, 32]], [[13, 32], [13, 18]], [[8, 18], [8, 28]], [[8, 18], [8, 11]], [[8, 18], [8, 19]], [[8, 18], [8, 16]], [[14, 18], [14, 16]], [[14, 18], [14, 36]], [[1, 17], [1, 2]], [[6, 17], [6, 28]], [[6, 17], [6, 8]], [[7, 16], [7, 44]], [[7, 16], [7, 28]], [[7, 8], [7, 44]], [[7, 44], [7, 28]], [[2, 9], [2, 3]], [[8, 28], [8, 11]], [[8, 28], [8, 14]], [[8, 28], [8, 19]], [[8, 28], [8, 16]], [[8, 11], [8, 14]], [[8, 11], [8, 19]], [[8, 11], [8, 16]], [[8, 14], [8, 19]], [[14, 16], [14, 36]], [[8, 19], [8, 16]], [[15, 32], [15, 16]]]"
1,"{0: [1], 1: [2]}",29,"[(30, 38), (31, 41), (31, 42), (31, 40), (31, 44), (35, 38), (38, 47), (38, 46), (38, 49), (35, 37), (37, 41), (37, 42), (37, 44), (37, 43), (22, 35), (40, 49), (17, 25), (13, 25), (0, 3), (4, 28), (17, 22), (17, 23), (17, 26), (13, 22), (13, 23), (13, 26), (13, 24), (23, 49), (3, 5)]","[[[10, 12], [12, 14]], [[10, 13], [13, 15]], [[10, 13], [13, 16]], [[10, 13], [13, 14]], [[10, 13], [13, 32]], [[12, 14], [11, 12]], [[12, 14], [14, 18]], [[12, 14], [14, 16]], [[12, 14], [14, 36]], [[12, 13], [11, 12]], [[12, 13], [13, 15]], [[12, 13], [13, 16]], [[12, 13], [13, 32]], [[12, 13], [13, 18]], [[11, 12], [8, 11]], [[13, 14], [14, 36]], [[8, 18], [7, 8]], [[8, 18], [6, 8]], [[1, 2], [2, 3]], [[9, 17], [2, 9]], [[7, 8], [8, 11]], [[7, 8], [8, 14]], [[7, 8], [8, 19]], [[8, 11], [6, 8]], [[6, 8], [8, 14]], [[6, 8], [8, 19]], [[6, 8], [8, 16]], [[8, 14], [14, 36]], [[2, 3], [3, 49]]]"
2,"{0: [1], 2: [1]}",21,"[(7, 16), (25, 34), (34, 47), (30, 35), (23, 38), (18, 42), (24, 42), (23, 40), (25, 43), (1, 9), (2, 14), (2, 10), (10, 14), (14, 28), (18, 46), (13, 17), (15, 19), (4, 9), (18, 50), (24, 50), (46, 50)]","[[[4, 42], [6, 42]], [[10, 18], [8, 18]], [[10, 18], [14, 18]], [[10, 12], [11, 12]], [[12, 14], [8, 14]], [[13, 16], [7, 16]], [[13, 16], [8, 16]], [[13, 14], [8, 14]], [[13, 18], [8, 18]], [[1, 9], [5, 9]], [[1, 17], [6, 17]], [[1, 17], [5, 17]], [[6, 17], [5, 17]], [[6, 17], [9, 17]], [[7, 16], [14, 16]], [[7, 8], [6, 8]], [[7, 28], [6, 28]], [[2, 9], [5, 9]], [[7, 16], [15, 16]], [[15, 16], [8, 16]], [[15, 16], [14, 16]]]"
4,"{0: [1, 2], 1: [2]}",15,"[(31, 34, 43), (30, 31, 37), (37, 38, 40), (41, 44, 51), (40, 42, 46), (40, 43, 47), (23, 25, 47), (1, 2, 28), (0, 1, 4), (9, 10, 28), (17, 18, 24), (17, 19, 27), (13, 15, 27), (23, 24, 46), (41, 42, 50)]","[[[10, 18], [10, 13], [13, 18]], [[10, 12], [10, 13], [12, 13]], [[12, 14], [12, 13], [13, 14]], [[13, 15], [13, 32], [15, 32]], [[13, 16], [13, 14], [14, 16]], [[13, 14], [13, 18], [14, 18]], [[8, 18], [8, 14], [14, 18]], [[1, 9], [1, 17], [9, 17]], [[1, 9], [1, 2], [2, 9]], [[5, 17], [5, 9], [9, 17]], [[7, 16], [7, 8], [8, 16]], [[7, 8], [7, 28], [8, 28]], [[6, 28], [6, 8], [8, 28]], [[8, 14], [8, 16], [14, 16]], [[13, 15], [13, 16], [15, 16]]]"
