,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",24,"[(8, 9), (12, 14), (12, 16), (13, 14), (13, 16), (14, 16), (14, 15), (15, 16), (26, 27), (23, 27), (9, 10), (10, 11), (9, 11), (30, 33), (29, 31), (31, 33), (23, 26), (29, 33), (18, 20), (17, 18), (18, 19), (0, 1), (17, 20), (19, 20)]","[[[5, 6], [5, 9]], [[6, 7], [6, 17]], [[6, 7], [6, 42]], [[6, 8], [6, 17]], [[6, 8], [6, 42]], [[6, 17], [6, 42]], [[6, 17], [6, 28]], [[6, 42], [6, 28]], [[8, 28], [8, 19]], [[8, 28], [8, 14]], [[5, 17], [5, 9]], [[5, 17], [5, 42]], [[5, 9], [5, 42]], [[10, 12], [10, 17]], [[10, 13], [10, 11]], [[10, 13], [10, 17]], [[8, 19], [8, 14]], [[10, 11], [10, 17]], [[7, 16], [7, 44]], [[7, 16], [7, 8]], [[7, 16], [7, 28]], [[1, 9], [1, 2]], [[7, 44], [7, 8]], [[7, 44], [7, 28]]]"
1,"{0: [1], 1: [2], 'Matched': True}",18,"[(8, 12), (8, 13), (8, 15), (6, 8), (13, 26), (13, 23), (6, 10), (6, 9), (35, 38), (35, 37), (30, 38), (31, 40), (17, 26), (17, 23), (12, 18), (12, 20), (0, 3), (3, 5)]","[[[5, 6], [6, 7]], [[5, 6], [6, 8]], [[5, 6], [6, 28]], [[5, 6], [4, 5]], [[6, 8], [8, 19]], [[6, 8], [8, 14]], [[5, 17], [4, 5]], [[4, 5], [5, 9]], [[11, 12], [12, 14]], [[11, 12], [12, 13]], [[10, 12], [12, 14]], [[13, 14], [10, 13]], [[8, 19], [7, 8]], [[8, 14], [7, 8]], [[7, 16], [6, 7]], [[7, 44], [6, 7]], [[2, 3], [1, 2]], [[2, 3], [3, 49]]]"
2,"{0: [1], 2: [1], 'Matched': True}",6,"[(14, 33), (7, 16), (10, 33), (23, 38), (23, 40), (1, 9)]","[[[6, 17], [10, 17]], [[6, 42], [4, 42]], [[5, 17], [10, 17]], [[12, 14], [8, 14]], [[13, 14], [8, 14]], [[5, 9], [1, 9]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",10,"[(8, 10, 14), (8, 11, 16), (12, 13, 17), (12, 15, 19), (13, 15, 27), (17, 19, 27), (6, 7, 11), (29, 30, 35), (30, 31, 37), (37, 38, 40)]","[[[5, 6], [5, 17], [6, 17]], [[5, 6], [5, 42], [6, 42]], [[6, 7], [6, 8], [7, 8]], [[6, 7], [6, 28], [7, 28]], [[6, 8], [6, 28], [8, 28]], [[8, 28], [7, 28], [7, 8]], [[4, 5], [4, 42], [5, 42]], [[11, 12], [10, 12], [10, 11]], [[10, 12], [10, 13], [12, 13]], [[12, 14], [12, 13], [13, 14]]]"
