,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",26,"[(12, 16), (26, 27), (24, 26), (23, 26), (21, 26), (29, 31), (31, 34), (31, 33), (31, 32), (30, 31), (24, 27), (23, 27), (21, 27), (23, 24), (21, 24), (29, 34), (29, 33), (29, 32), (29, 30), (33, 34), (32, 34), (30, 34), (8, 10), (32, 33), (30, 33), (30, 32)]","[[[6, 7], [6, 42]], [[8, 19], [8, 28]], [[8, 19], [8, 16]], [[8, 19], [8, 14]], [[8, 19], [8, 10]], [[10, 13], [10, 11]], [[10, 13], [10, 18]], [[10, 13], [10, 17]], [[10, 13], [10, 14]], [[10, 13], [10, 12]], [[8, 28], [8, 16]], [[8, 28], [8, 14]], [[8, 28], [8, 10]], [[8, 16], [8, 14]], [[8, 16], [8, 10]], [[10, 11], [10, 18]], [[10, 11], [10, 17]], [[10, 11], [10, 14]], [[10, 11], [10, 12]], [[10, 18], [10, 17]], [[10, 18], [10, 14]], [[10, 18], [10, 12]], [[5, 6], [5, 17]], [[10, 17], [10, 14]], [[10, 17], [10, 12]], [[10, 14], [10, 12]]]"
1,"{0: [1], 1: [2], 'Matched': True}",14,"[(8, 12), (12, 17), (17, 26), (21, 31), (17, 27), (4, 28), (17, 24), (21, 29), (8, 16), (21, 34), (17, 23), (21, 33), (17, 21), (21, 30)]","[[[6, 7], [5, 6]], [[6, 7], [7, 8]], [[8, 19], [7, 8]], [[10, 13], [8, 10]], [[8, 28], [7, 8]], [[9, 17], [2, 9]], [[8, 16], [7, 8]], [[10, 11], [8, 10]], [[6, 42], [5, 6]], [[10, 18], [8, 10]], [[8, 14], [7, 8]], [[10, 17], [8, 10]], [[7, 8], [8, 10]], [[8, 10], [10, 12]]]"
2,"{0: [1], 2: [1], 'Matched': True}",6,"[(28, 33), (10, 28), (2, 33), (10, 33), (2, 10), (1, 4)]","[[[9, 17], [10, 17]], [[9, 17], [5, 17]], [[10, 17], [1, 17]], [[10, 17], [5, 17]], [[1, 17], [5, 17]], [[1, 9], [2, 9]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",2,"[(1, 2, 28), (21, 23, 32)]","[[[9, 17], [1, 17], [1, 9]], [[8, 14], [8, 10], [10, 14]]]"
