,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [1]}",58,"[(13, 26), (13, 25), (21, 13), (18, 58), (57, 18), (18, 56), (55, 18), (54, 18), (17, 26), (17, 25), (21, 17), (61, 26), (60, 26), (21, 33), (21, 32), (30, 21), (21, 29), (34, 59), (32, 48), (32, 45), (30, 37), (36, 59), (35, 37), (59, 39), (42, 37), (37, 41), (40, 37), (59, 43), (42, 58), (42, 57), (54, 42), (53, 41), (59, 47), (53, 45), (50, 45), (50, 57), (50, 55), (50, 54), (55, 59), (61, 59), (60, 59), (62, 60), (2, 54), (2, 33), (2, 14), (2, 10), (1, 9), (9, 4), (54, 10), (33, 10), (15, 66), (14, 54), (33, 14), (28, 14), (66, 19), (66, 27), (28, 54), (28, 33)]","[[[6, 8], [8, 19]], [[6, 8], [8, 18]], [[8, 10], [6, 8]], [[7, 16], [16, 37]], [[16, 33], [7, 16]], [[7, 16], [16, 32]], [[16, 18], [7, 16]], [[16, 17], [7, 16]], [[7, 8], [8, 19]], [[7, 8], [8, 18]], [[8, 10], [7, 8]], [[19, 43], [8, 19]], [[19, 20], [8, 19]], [[8, 10], [10, 17]], [[8, 10], [10, 14]], [[10, 12], [8, 10]], [[8, 10], [10, 11]], [[10, 18], [18, 19]], [[10, 14], [14, 32]], [[10, 14], [14, 15]], [[10, 12], [12, 13]], [[11, 18], [18, 19]], [[11, 12], [12, 13]], [[18, 19], [12, 18]], [[13, 16], [12, 13]], [[12, 13], [13, 15]], [[13, 14], [12, 13]], [[18, 19], [13, 18]], [[13, 16], [16, 37]], [[13, 16], [16, 33]], [[16, 17], [13, 16]], [[15, 37], [13, 15]], [[18, 19], [14, 18]], [[15, 37], [14, 15]], [[15, 16], [14, 15]], [[15, 16], [16, 33]], [[15, 16], [16, 18]], [[15, 16], [16, 17]], [[16, 18], [18, 19]], [[19, 43], [18, 19]], [[19, 20], [18, 19]], [[20, 21], [19, 20]], [[1, 17], [16, 17]], [[1, 17], [10, 17]], [[1, 17], [6, 17]], [[1, 17], [5, 17]], [[1, 9], [5, 9]], [[5, 9], [2, 9]], [[16, 17], [5, 17]], [[10, 17], [5, 17]], [[6, 28], [22, 28]], [[6, 17], [16, 17]], [[10, 17], [6, 17]], [[9, 17], [6, 17]], [[22, 28], [7, 28]], [[22, 28], [8, 28]], [[9, 17], [16, 17]], [[9, 17], [10, 17]]]"
1,"{1: [0], 2: [0]}",30,"[(50, 18), (42, 18), (55, 25), (25, 47), (25, 43), (25, 39), (36, 25), (55, 34), (34, 43), (54, 33), (32, 40), (55, 36), (36, 47), (36, 43), (55, 39), (39, 47), (56, 48), (55, 47), (1, 2, 28), (1, 0, 4), (16, 11, 8), (9, 28, 10), (8, 14, 10), (13, 15, 27), (15, 12, 19), (13, 17, 12), (17, 27, 19), (42, 56, 44), (41, 51, 44), (40, 48, 44)]","[[[15, 16], [7, 16]], [[13, 16], [7, 16]], [[16, 18], [8, 18]], [[8, 18], [14, 18]], [[8, 18], [13, 18]], [[8, 18], [12, 18]], [[11, 18], [8, 18]], [[16, 18], [10, 18]], [[10, 18], [13, 18]], [[16, 17], [10, 17]], [[10, 14], [13, 14]], [[16, 18], [11, 18]], [[11, 18], [14, 18]], [[11, 18], [13, 18]], [[16, 18], [12, 18]], [[12, 18], [14, 18]], [[16, 32], [14, 32]], [[16, 18], [14, 18]], [[1, 9], [1, 17], [9, 17]], [[1, 9], [1, 2], [2, 9]], [[6, 42], [5, 42], [5, 6]], [[5, 9], [9, 17], [5, 17]], [[5, 6], [6, 17], [5, 17]], [[6, 8], [6, 28], [8, 28]], [[6, 28], [6, 7], [7, 28]], [[6, 8], [7, 8], [6, 7]], [[7, 8], [8, 28], [7, 28]], [[13, 16], [16, 32], [13, 32]], [[13, 15], [15, 32], [13, 32]], [[13, 14], [14, 32], [13, 32]]]"
2,"{2: [0, 1]}",47,"[(18, 17), (27, 26), (27, 25), (21, 27), (21, 26), (33, 34), (33, 32), (30, 33), (33, 29), (30, 32), (32, 29), (43, 41), (42, 40), (47, 48), (47, 45), (53, 51), (57, 58), (56, 58), (55, 58), (54, 58), (57, 56), (55, 57), (54, 57), (55, 56), (54, 56), (54, 55), (62, 63), (68, 69), (0, 2), (11, 10), (11, 9), (9, 8), (16, 15), (16, 14), (13, 16), (16, 12), (15, 14), (13, 14), (12, 14), (20, 19), (20, 18), (17, 20), (19, 18), (43, 44), (67, 66), (67, 65), (66, 65)]","[[[7, 16], [7, 8]], [[8, 28], [8, 19]], [[8, 28], [8, 18]], [[8, 10], [8, 28]], [[8, 10], [8, 19]], [[10, 17], [10, 18]], [[10, 17], [10, 14]], [[10, 12], [10, 17]], [[10, 17], [10, 11]], [[10, 12], [10, 14]], [[10, 14], [10, 11]], [[13, 18], [13, 15]], [[13, 16], [13, 14]], [[14, 18], [14, 32]], [[14, 18], [14, 15]], [[15, 37], [15, 32]], [[16, 33], [16, 37]], [[16, 32], [16, 37]], [[16, 18], [16, 37]], [[16, 17], [16, 37]], [[16, 33], [16, 32]], [[16, 18], [16, 33]], [[16, 17], [16, 33]], [[16, 18], [16, 32]], [[16, 17], [16, 32]], [[16, 17], [16, 18]], [[20, 21], [20, 43]], [[23, 24], [23, 25]], [[1, 2], [1, 17]], [[5, 42], [5, 17]], [[5, 42], [5, 9]], [[5, 9], [5, 6]], [[6, 42], [6, 28]], [[6, 42], [6, 17]], [[6, 8], [6, 42]], [[6, 42], [6, 7]], [[6, 28], [6, 17]], [[6, 8], [6, 17]], [[6, 7], [6, 17]], [[7, 44], [7, 28]], [[7, 44], [7, 16]], [[7, 8], [7, 44]], [[7, 28], [7, 16]], [[13, 18], [13, 32]], [[22, 29], [22, 28]], [[22, 29], [22, 27]], [[22, 28], [22, 27]]]"
3,"{1: [0], 2: [0, 1]}",31,"[(26, 25, 59), (21, 34, 25), (34, 32, 47), (30, 34, 39), (34, 29, 36), (30, 29, 35), (36, 35, 39), (39, 43, 37), (55, 42, 43), (47, 43, 40), (50, 42, 41), (40, 45, 41), (48, 45, 51), (50, 58, 53), (50, 56, 51), (60, 63, 61), (28, 4), (11, 6), (6, 10), (9, 6), (6, 8), (15, 8), (13, 8), (8, 12), (20, 12), (12, 18), (37, 44), (62, 64), (67, 64), (66, 64), (65, 64)]","[[[8, 19], [8, 18], [18, 19]], [[8, 10], [10, 18], [8, 18]], [[10, 18], [10, 14], [14, 18]], [[10, 12], [10, 18], [12, 18]], [[10, 18], [10, 11], [11, 18]], [[10, 12], [10, 11], [11, 12]], [[11, 18], [11, 12], [12, 18]], [[12, 18], [13, 18], [12, 13]], [[16, 18], [13, 16], [13, 18]], [[14, 18], [13, 18], [13, 14]], [[15, 16], [13, 16], [13, 15]], [[13, 14], [14, 15], [13, 15]], [[14, 32], [14, 15], [15, 32]], [[15, 16], [16, 37], [15, 37]], [[15, 16], [16, 32], [15, 32]], [[19, 20], [20, 43], [19, 43]], [[9, 17], [2, 9]], [[5, 42], [4, 5]], [[4, 5], [5, 17]], [[5, 9], [4, 5]], [[4, 5], [5, 6]], [[6, 28], [5, 6]], [[6, 8], [5, 6]], [[5, 6], [6, 7]], [[7, 44], [6, 7]], [[6, 7], [7, 16]], [[12, 13], [13, 32]], [[20, 21], [21, 22]], [[22, 29], [21, 22]], [[22, 28], [21, 22]], [[22, 27], [21, 22]]]"
