,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [0]}",34,"[(54, 2), (33, 2), (14, 2), (54, 14), (33, 14), (14, 28), (19, 66), (50, 18), (18, 46), (27, 66), (43, 25), (25, 39), (25, 36), (24, 50), (23, 38), (54, 28), (33, 28), (34, 55), (34, 47), (34, 36), (33, 54), (30, 35), (55, 36), (36, 47), (43, 36), (55, 39), (43, 39), (44, 56), (44, 48), (43, 55), (43, 47), (41, 45), (1, 9), (9, 4)]","[[[16, 17], [1, 17]], [[10, 17], [1, 17]], [[6, 17], [1, 17]], [[16, 17], [6, 17]], [[10, 17], [6, 17]], [[6, 17], [9, 17]], [[7, 28], [22, 28]], [[15, 16], [7, 16]], [[7, 16], [14, 16]], [[8, 28], [22, 28]], [[13, 18], [8, 18]], [[8, 18], [12, 18]], [[8, 18], [11, 18]], [[8, 16], [15, 16]], [[8, 14], [12, 14]], [[16, 17], [9, 17]], [[10, 17], [9, 17]], [[10, 18], [16, 18]], [[10, 18], [14, 18]], [[10, 18], [11, 18]], [[10, 17], [16, 17]], [[10, 12], [11, 12]], [[16, 18], [11, 18]], [[11, 18], [14, 18]], [[13, 18], [11, 18]], [[16, 18], [12, 18]], [[13, 18], [12, 18]], [[13, 32], [16, 32]], [[13, 32], [14, 32]], [[13, 18], [16, 18]], [[13, 18], [14, 18]], [[13, 15], [14, 15]], [[1, 9], [5, 9]], [[5, 9], [2, 9]]]"
1,"{1: [0], 2: [1]}",68,"[(11, 6), (9, 6), (8, 6), (9, 28), (14, 8), (13, 8), (8, 12), (13, 27), (13, 26), (13, 25), (13, 24), (23, 13), (21, 13), (12, 19), (18, 12), (18, 58), (18, 57), (18, 56), (18, 55), (18, 54), (17, 26), (17, 25), (23, 17), (21, 17), (61, 26), (60, 26), (24, 58), (24, 57), (24, 56), (24, 54), (23, 49), (23, 48), (23, 45), (33, 21), (21, 31), (30, 21), (34, 59), (31, 44), (31, 41), (30, 38), (36, 59), (38, 35), (59, 39), (49, 38), (38, 48), (46, 38), (38, 45), (43, 59), (41, 53), (41, 50), (59, 47), (46, 58), (57, 46), (54, 46), (53, 45), (50, 57), (50, 55), (50, 54), (55, 59), (61, 59), (60, 59), (62, 60), (1, 2, 28), (1, 0, 4), (41, 51, 44), (49, 45, 52), (45, 48, 51), (50, 56, 51)]","[[[5, 42], [4, 5]], [[5, 9], [4, 5]], [[5, 6], [4, 5]], [[5, 9], [9, 17]], [[6, 17], [5, 6]], [[6, 8], [5, 6]], [[5, 6], [6, 7]], [[6, 8], [8, 28]], [[6, 8], [8, 19]], [[6, 8], [8, 18]], [[6, 8], [8, 16]], [[8, 14], [6, 8]], [[8, 10], [6, 8]], [[6, 7], [7, 28]], [[7, 16], [6, 7]], [[7, 16], [16, 37]], [[7, 16], [16, 33]], [[7, 16], [16, 32]], [[7, 16], [16, 18]], [[7, 16], [16, 17]], [[7, 8], [8, 19]], [[7, 8], [8, 18]], [[8, 14], [7, 8]], [[8, 10], [7, 8]], [[19, 43], [8, 19]], [[19, 20], [8, 19]], [[8, 16], [16, 37]], [[8, 16], [16, 33]], [[8, 16], [16, 32]], [[8, 16], [16, 17]], [[8, 14], [14, 36]], [[8, 14], [14, 32]], [[8, 14], [14, 15]], [[10, 17], [8, 10]], [[8, 10], [10, 13]], [[10, 12], [8, 10]], [[10, 18], [18, 19]], [[10, 13], [13, 32]], [[10, 13], [13, 15]], [[10, 12], [12, 14]], [[11, 18], [18, 19]], [[12, 14], [11, 12]], [[18, 19], [12, 18]], [[14, 36], [12, 14]], [[12, 14], [14, 32]], [[14, 16], [12, 14]], [[12, 14], [14, 15]], [[13, 18], [18, 19]], [[13, 15], [15, 37]], [[13, 15], [15, 16]], [[18, 19], [14, 18]], [[14, 16], [16, 37]], [[16, 33], [14, 16]], [[16, 17], [14, 16]], [[15, 37], [14, 15]], [[15, 16], [16, 33]], [[15, 16], [16, 18]], [[15, 16], [16, 17]], [[16, 18], [18, 19]], [[19, 43], [18, 19]], [[19, 20], [18, 19]], [[20, 21], [19, 20]], [[1, 9], [1, 17], [9, 17]], [[1, 9], [1, 2], [2, 9]], [[13, 15], [15, 32], [13, 32]], [[14, 36], [14, 15], [15, 36]], [[14, 15], [14, 32], [15, 32]], [[15, 16], [16, 32], [15, 32]]]"
2,"{2: [0, 1]}",52,"[(11, 9), (8, 9), (14, 16), (13, 16), (16, 12), (13, 14), (14, 12), (18, 19), (27, 26), (27, 25), (27, 24), (23, 27), (21, 27), (24, 26), (23, 26), (21, 26), (21, 24), (21, 23), (33, 34), (33, 31), (33, 30), (30, 31), (43, 44), (43, 41), (49, 48), (47, 49), (46, 49), (47, 48), (47, 45), (57, 58), (56, 58), (55, 58), (54, 58), (56, 57), (55, 57), (54, 57), (55, 56), (56, 54), (55, 54), (62, 63), (0, 2), (3, 4), (20, 19), (20, 18), (17, 20), (52, 53), (51, 53), (51, 52), (50, 52), (67, 66), (67, 65), (66, 65)]","[[[5, 42], [5, 9]], [[5, 6], [5, 9]], [[6, 17], [6, 42]], [[6, 8], [6, 42]], [[6, 42], [6, 7]], [[6, 8], [6, 17]], [[6, 17], [6, 7]], [[7, 16], [7, 28]], [[8, 28], [8, 19]], [[8, 28], [8, 18]], [[8, 28], [8, 16]], [[8, 14], [8, 28]], [[8, 10], [8, 28]], [[8, 16], [8, 19]], [[8, 14], [8, 19]], [[8, 10], [8, 19]], [[8, 10], [8, 16]], [[8, 10], [8, 14]], [[10, 17], [10, 18]], [[10, 17], [10, 13]], [[10, 17], [10, 12]], [[10, 12], [10, 13]], [[13, 18], [13, 32]], [[13, 18], [13, 15]], [[14, 36], [14, 32]], [[14, 18], [14, 36]], [[14, 16], [14, 36]], [[14, 18], [14, 32]], [[14, 18], [14, 15]], [[16, 33], [16, 37]], [[16, 32], [16, 37]], [[16, 18], [16, 37]], [[16, 17], [16, 37]], [[16, 32], [16, 33]], [[16, 18], [16, 33]], [[16, 17], [16, 33]], [[16, 18], [16, 32]], [[16, 32], [16, 17]], [[16, 18], [16, 17]], [[20, 21], [20, 43]], [[1, 2], [1, 17]], [[2, 3], [2, 9]], [[7, 44], [7, 28]], [[7, 44], [7, 16]], [[7, 8], [7, 44]], [[15, 36], [15, 37]], [[15, 32], [15, 37]], [[15, 32], [15, 36]], [[15, 16], [15, 36]], [[22, 29], [22, 28]], [[22, 29], [22, 27]], [[22, 28], [22, 27]]]"
3,"{1: [0], 2: [0, 1]}",27,"[(8, 16, 11), (13, 17, 12), (17, 27, 19), (17, 24, 18), (25, 26, 59), (24, 25, 55), (23, 25, 47), (34, 21, 25), (23, 24, 46), (34, 31, 43), (30, 34, 39), (36, 39, 35), (39, 47, 38), (56, 46, 48), (55, 46, 47), (50, 46, 45), (50, 58, 53), (60, 63, 61), (0, 3), (28, 4), (5, 3), (20, 12), (41, 52), (62, 64), (67, 64), (66, 64), (65, 64)]","[[[5, 6], [6, 42], [5, 42]], [[6, 8], [7, 8], [6, 7]], [[7, 8], [8, 28], [7, 28]], [[7, 8], [8, 16], [7, 16]], [[8, 18], [8, 19], [18, 19]], [[8, 16], [8, 18], [16, 18]], [[8, 14], [8, 18], [14, 18]], [[10, 18], [8, 10], [8, 18]], [[8, 14], [8, 16], [14, 16]], [[10, 18], [10, 13], [13, 18]], [[10, 12], [10, 18], [12, 18]], [[11, 18], [12, 18], [11, 12]], [[12, 18], [14, 18], [12, 14]], [[16, 32], [14, 16], [14, 32]], [[16, 18], [14, 16], [14, 18]], [[15, 16], [14, 16], [14, 15]], [[15, 16], [16, 37], [15, 37]], [[19, 20], [20, 43], [19, 43]], [[1, 2], [2, 3]], [[9, 17], [2, 9]], [[3, 49], [2, 3]], [[7, 44], [6, 7]], [[13, 15], [15, 36]], [[20, 21], [21, 22]], [[22, 29], [21, 22]], [[22, 28], [21, 22]], [[22, 27], [21, 22]]]"
