,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [0]}",13,"[(2, 33), (2, 14), (10, 2), (7, 16), (11, 16), (10, 33), (28, 10), (10, 14), (33, 14), (28, 14), (17, 13), (28, 33), (35, 30)]","[[[1, 17], [10, 17]], [[1, 17], [6, 17]], [[5, 17], [1, 17]], [[4, 42], [6, 42]], [[5, 42], [6, 42]], [[5, 17], [10, 17]], [[9, 17], [5, 17]], [[5, 17], [6, 17]], [[10, 17], [6, 17]], [[9, 17], [6, 17]], [[7, 8], [6, 8]], [[9, 17], [10, 17]], [[11, 12], [10, 12]]]"
1,"{1: [0], 2: [0, 1]}",8,"[(28, 1, 2), (1, 0, 4), (11, 7, 6), (27, 17, 19), (24, 18, 17), (37, 30, 31), (36, 39, 35), (38, 37, 40)]","[[[9, 17], [1, 9], [1, 17]], [[1, 9], [1, 2], [2, 9]], [[5, 42], [4, 42], [4, 5]], [[8, 28], [7, 8], [7, 28]], [[8, 16], [7, 16], [7, 8]], [[12, 13], [10, 12], [10, 13]], [[11, 18], [12, 18], [11, 12]], [[12, 14], [12, 13], [13, 14]]]"
2,"{2: [0, 1]}",17,"[(2, 0), (3, 4), (11, 10), (16, 14), (16, 13), (14, 13), (18, 19), (27, 24), (27, 22), (21, 27), (24, 22), (21, 24), (21, 22), (33, 31), (33, 30), (39, 38), (39, 37)]","[[[1, 17], [1, 2]], [[2, 3], [2, 9]], [[5, 42], [5, 17]], [[6, 42], [6, 17]], [[6, 42], [6, 8]], [[6, 17], [6, 8]], [[7, 16], [7, 28]], [[8, 28], [8, 16]], [[8, 28], [8, 11]], [[8, 10], [8, 28]], [[8, 16], [8, 11]], [[8, 10], [8, 16]], [[8, 10], [8, 11]], [[10, 17], [10, 13]], [[10, 17], [10, 12]], [[12, 18], [12, 14]], [[12, 18], [12, 13]]]"
3,"{1: [0], 2: [1]}",20,"[(3, 0), (28, 4), (5, 3), (10, 6), (27, 13), (24, 13), (22, 13), (21, 13), (22, 17), (21, 17), (36, 22), (35, 22), (21, 33), (21, 31), (21, 30), (40, 31), (39, 30), (38, 30), (38, 35), (35, 37)]","[[[2, 3], [1, 2]], [[9, 17], [2, 9]], [[3, 49], [2, 3]], [[5, 17], [4, 5]], [[8, 28], [6, 8]], [[8, 16], [6, 8]], [[8, 11], [6, 8]], [[8, 10], [6, 8]], [[8, 11], [7, 8]], [[8, 10], [7, 8]], [[11, 18], [8, 11]], [[11, 12], [8, 11]], [[8, 10], [10, 17]], [[8, 10], [10, 13]], [[8, 10], [10, 12]], [[13, 14], [10, 13]], [[12, 18], [10, 12]], [[12, 14], [10, 12]], [[12, 14], [11, 12]], [[11, 12], [12, 13]]]"
