,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",5,"[(8, 11), (10, 11), (3, 4), (8, 10), (12, 13)]","[[[5, 42], [5, 6]], [[5, 42], [5, 17]], [[2, 9], [2, 3]], [[5, 6], [5, 17]], [[6, 8], [6, 7]]]"
1,"{0: [1], 1: [2], 'Matched': True}",4,"[(13, 24), (3, 5), (8, 13), (8, 12)]","[[[8, 16], [6, 8]], [[2, 3], [3, 49]], [[5, 6], [6, 8]], [[5, 6], [6, 7]]]"
2,"{0: [1], 2: [1], 'Matched': True}",1,"[(7, 11)]","[[[4, 42], [5, 42]]]"
