,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2]}",25,"[(3, 4), (18, 20), (18, 19), (17, 20), (19, 20), (13, 14), (13, 16), (21, 27), (21, 24), (25, 27), (24, 27), (23, 27), (24, 25), (23, 25), (23, 24), (14, 15), (15, 16), (10, 11), (9, 11), (14, 16), (29, 32), (29, 31), (31, 32), (32, 34), (31, 34)]","[[[2, 9], [2, 3]], [[7, 16], [7, 44]], [[7, 16], [7, 28]], [[7, 44], [7, 8]], [[7, 44], [7, 28]], [[6, 8], [6, 17]], [[6, 8], [6, 42]], [[8, 10], [8, 28]], [[8, 10], [8, 16]], [[8, 28], [8, 18]], [[8, 28], [8, 16]], [[8, 28], [8, 14]], [[8, 18], [8, 16]], [[8, 18], [8, 14]], [[8, 16], [8, 14]], [[6, 28], [6, 17]], [[6, 28], [6, 42]], [[5, 17], [5, 42]], [[5, 9], [5, 42]], [[6, 17], [6, 42]], [[10, 11], [10, 14]], [[10, 11], [10, 13]], [[10, 14], [10, 13]], [[10, 14], [10, 18]], [[10, 13], [10, 18]]]"
1,"{0: [1], 1: [2]}",15,"[(0, 3), (17, 21), (17, 25), (17, 23), (13, 21), (13, 25), (13, 24), (13, 23), (21, 31), (6, 10), (6, 9), (1, 28), (21, 29), (4, 28), (3, 5)]","[[[1, 2], [2, 3]], [[7, 8], [8, 10]], [[7, 8], [8, 18]], [[7, 8], [8, 14]], [[6, 8], [8, 10]], [[6, 8], [8, 18]], [[6, 8], [8, 16]], [[6, 8], [8, 14]], [[8, 10], [10, 13]], [[5, 17], [4, 5]], [[5, 9], [4, 5]], [[1, 9], [9, 17]], [[10, 11], [8, 10]], [[9, 17], [2, 9]], [[3, 49], [2, 3]]]"
2,"{0: [1], 2: [1]}",11,"[(1, 9), (4, 9), (13, 17), (15, 19), (23, 38), (10, 14), (11, 16), (25, 36), (32, 38), (14, 28), (7, 16)]","[[[1, 9], [5, 9]], [[2, 9], [5, 9]], [[7, 8], [6, 8]], [[7, 28], [6, 28]], [[8, 14], [12, 14]], [[5, 17], [6, 17]], [[5, 42], [6, 42]], [[11, 18], [8, 18]], [[10, 14], [12, 14]], [[9, 17], [6, 17]], [[6, 42], [4, 42]]]"
4,"{0: [1, 2], 1: [2]}",9,"[(0, 1, 4), (17, 18, 24), (17, 19, 27), (13, 15, 27), (29, 34, 36), (21, 23, 32), (21, 25, 34), (6, 7, 11), (9, 10, 28)]","[[[1, 9], [1, 2], [2, 9]], [[7, 16], [7, 8], [8, 16]], [[7, 8], [7, 28], [8, 28]], [[6, 8], [6, 28], [8, 28]], [[10, 11], [10, 18], [11, 18]], [[8, 14], [8, 10], [10, 14]], [[8, 18], [8, 10], [10, 18]], [[4, 5], [4, 42], [5, 42]], [[9, 17], [5, 9], [5, 17]]]"
