,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",17,"[(8, 9), (9, 10), (9, 11), (1, 2), (0, 2), (18, 19), (17, 19), (8, 10), (8, 11), (12, 14), (12, 16), (0, 1), (3, 4), (10, 11), (17, 18), (6, 7), (14, 16)]","[((5, 6), (5, 9)), ((5, 9), (5, 17)), ((5, 9), (5, 42)), ((1, 9), (1, 17)), ((1, 2), (1, 17)), ((7, 16), (7, 28)), ((7, 8), (7, 28)), ((5, 6), (5, 17)), ((5, 6), (5, 42)), ((6, 7), (6, 17)), ((6, 7), (6, 42)), ((1, 2), (1, 9)), ((2, 3), (2, 9)), ((5, 17), (5, 42)), ((7, 8), (7, 16)), ((4, 5), (4, 42)), ((6, 17), (6, 42))]"
1,"{0: [1], 1: [2], 'Matched': True}",13,"[(6, 9), (12, 19), (8, 12), (8, 14), (6, 8), (8, 16), (12, 18), (12, 17), (0, 4), (3, 5), (0, 3), (6, 10), (6, 11)]","[((4, 5), (5, 9)), ((6, 7), (7, 28)), ((5, 6), (6, 7)), ((5, 6), (6, 17)), ((4, 5), (5, 6)), ((5, 6), (6, 42)), ((6, 7), (7, 16)), ((6, 7), (7, 8)), ((1, 2), (2, 9)), ((2, 3), (3, 49)), ((1, 2), (2, 3)), ((4, 5), (5, 17)), ((4, 5), (5, 42))]"
2,"{0: [1], 2: [1], 'Matched': True}",9,"[(1, 9), (4, 9), (2, 10), (2, 14), (1, 4), (10, 14), (7, 11), (11, 16), (7, 16)]","[((1, 9), (5, 9)), ((2, 9), (5, 9)), ((1, 17), (5, 17)), ((1, 17), (6, 17)), ((1, 9), (2, 9)), ((5, 17), (6, 17)), ((4, 42), (5, 42)), ((5, 42), (6, 42)), ((4, 42), (6, 42))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",4,"[(8, 10, 14), (8, 11, 16), (0, 1, 4), (6, 7, 11)]","[((5, 6), (5, 17), (6, 17)), ((5, 6), (5, 42), (6, 42)), ((1, 2), (1, 9), (2, 9)), ((4, 5), (4, 42), (5, 42))]"
