,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",22,"[(3, 4), (0, 1), (1, 2), (12, 15), (12, 14), (12, 13), (9, 10), (8, 10), (10, 11), (14, 15), (13, 15), (8, 9), (9, 11), (6, 7), (0, 2), (8, 11), (17, 18), (13, 14), (14, 16), (15, 16), (12, 16), (13, 16)]","[((2, 3), (2, 9)), ((1, 2), (1, 9)), ((1, 9), (1, 17)), ((6, 7), (6, 28)), ((6, 7), (6, 17)), ((6, 7), (6, 8)), ((5, 9), (5, 17)), ((5, 6), (5, 17)), ((5, 17), (5, 42)), ((6, 17), (6, 28)), ((6, 8), (6, 28)), ((5, 6), (5, 9)), ((5, 9), (5, 42)), ((4, 5), (4, 42)), ((1, 2), (1, 17)), ((5, 6), (5, 42)), ((7, 8), (7, 16)), ((6, 8), (6, 17)), ((6, 17), (6, 42)), ((6, 28), (6, 42)), ((6, 7), (6, 42)), ((6, 8), (6, 42))]"
1,"{0: [1], 1: [2], 'Matched': True}",14,"[(0, 4), (8, 12), (12, 17), (12, 18), (6, 10), (8, 15), (6, 9), (6, 8), (6, 11), (0, 3), (8, 14), (8, 13), (3, 5), (8, 16)]","[((1, 2), (2, 9)), ((5, 6), (6, 7)), ((6, 7), (7, 8)), ((6, 7), (7, 16)), ((4, 5), (5, 17)), ((5, 6), (6, 28)), ((4, 5), (5, 9)), ((4, 5), (5, 6)), ((4, 5), (5, 42)), ((1, 2), (2, 3)), ((5, 6), (6, 17)), ((5, 6), (6, 8)), ((2, 3), (3, 49)), ((5, 6), (6, 42))]"
2,"{0: [1], 2: [1], 'Matched': True}",10,"[(1, 4), (4, 9), (1, 9), (2, 10), (10, 14), (13, 17), (7, 11), (2, 14), (11, 16), (7, 16)]","[((1, 9), (2, 9)), ((2, 9), (5, 9)), ((1, 9), (5, 9)), ((1, 17), (5, 17)), ((5, 17), (6, 17)), ((6, 8), (7, 8)), ((4, 42), (5, 42)), ((1, 17), (6, 17)), ((5, 42), (6, 42)), ((4, 42), (6, 42))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",5,"[(0, 1, 4), (12, 13, 17), (8, 10, 14), (6, 7, 11), (8, 11, 16)]","[((1, 2), (1, 9), (2, 9)), ((6, 7), (6, 8), (7, 8)), ((5, 6), (5, 17), (6, 17)), ((4, 5), (4, 42), (5, 42)), ((5, 6), (5, 42), (6, 42))]"
