,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",45,"[(21, 27), (21, 25), (21, 24), (21, 22), (21, 23), (29, 32), (31, 32), (32, 34), (32, 33), (30, 32), (3, 4), (29, 31), (29, 34), (29, 33), (29, 30), (6, 7), (25, 27), (24, 27), (22, 27), (23, 27), (8, 9), (9, 10), (9, 11), (24, 25), (22, 25), (23, 25), (0, 2), (22, 24), (23, 24), (8, 10), (8, 11), (22, 23), (31, 34), (31, 33), (30, 31), (10, 11), (18, 20), (17, 18), (18, 19), (33, 34), (30, 34), (30, 33), (17, 20), (19, 20), (17, 19)]","[((8, 10), (8, 28)), ((8, 10), (8, 18)), ((8, 10), (8, 16)), ((8, 10), (8, 11)), ((8, 10), (8, 14)), ((10, 11), (10, 14)), ((10, 13), (10, 14)), ((10, 14), (10, 18)), ((10, 14), (10, 17)), ((10, 12), (10, 14)), ((2, 3), (2, 9)), ((10, 11), (10, 13)), ((10, 11), (10, 18)), ((10, 11), (10, 17)), ((10, 11), (10, 12)), ((4, 5), (4, 42)), ((8, 18), (8, 28)), ((8, 16), (8, 28)), ((8, 11), (8, 28)), ((8, 14), (8, 28)), ((5, 6), (5, 9)), ((5, 9), (5, 17)), ((5, 9), (5, 42)), ((8, 16), (8, 18)), ((8, 11), (8, 18)), ((8, 14), (8, 18)), ((1, 2), (1, 17)), ((8, 11), (8, 16)), ((8, 14), (8, 16)), ((5, 6), (5, 17)), ((5, 6), (5, 42)), ((8, 11), (8, 14)), ((10, 13), (10, 18)), ((10, 13), (10, 17)), ((10, 12), (10, 13)), ((5, 17), (5, 42)), ((7, 16), (7, 44)), ((7, 8), (7, 16)), ((7, 16), (7, 28)), ((10, 17), (10, 18)), ((10, 12), (10, 18)), ((10, 12), (10, 17)), ((7, 8), (7, 44)), ((7, 28), (7, 44)), ((7, 8), (7, 28))]"
1,"{0: [1], 1: [2], 'Matched': True}",24,"[(21, 32), (21, 29), (21, 31), (21, 34), (21, 33), (17, 21), (21, 30), (0, 4), (4, 28), (29, 35), (6, 9), (6, 8), (6, 10), (6, 11), (3, 5), (22, 35), (17, 27), (9, 28), (0, 3), (17, 25), (17, 24), (8, 16), (17, 22), (17, 23)]","[((8, 10), (10, 14)), ((8, 10), (10, 11)), ((8, 10), (10, 13)), ((8, 10), (10, 18)), ((8, 10), (10, 17)), ((7, 8), (8, 10)), ((8, 10), (10, 12)), ((1, 2), (2, 9)), ((2, 9), (9, 17)), ((10, 11), (11, 12)), ((4, 5), (5, 9)), ((4, 5), (5, 6)), ((4, 5), (5, 17)), ((4, 5), (5, 42)), ((2, 3), (3, 49)), ((8, 11), (11, 12)), ((7, 8), (8, 28)), ((5, 9), (9, 17)), ((1, 2), (2, 3)), ((7, 8), (8, 18)), ((7, 8), (8, 16)), ((5, 6), (6, 42)), ((7, 8), (8, 11)), ((7, 8), (8, 14))]"
2,"{0: [1], 2: [1], 'Matched': True}",16,"[(23, 32), (4, 9), (22, 29), (30, 35), (19, 27), (7, 16), (7, 11), (25, 34), (18, 24), (11, 16), (2, 10), (2, 33), (2, 28), (10, 33), (10, 28), (28, 33)]","[((8, 14), (10, 14)), ((2, 9), (5, 9)), ((8, 11), (10, 11)), ((10, 12), (11, 12)), ((7, 28), (8, 28)), ((4, 42), (6, 42)), ((4, 42), (5, 42)), ((8, 18), (10, 18)), ((7, 16), (8, 16)), ((5, 42), (6, 42)), ((1, 17), (5, 17)), ((1, 17), (10, 17)), ((1, 17), (9, 17)), ((5, 17), (10, 17)), ((5, 17), (9, 17)), ((9, 17), (10, 17))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",9,"[(21, 23, 32), (21, 22, 29), (21, 25, 34), (29, 30, 35), (6, 7, 11), (17, 19, 27), (9, 10, 28), (17, 18, 24), (8, 11, 16)]","[((8, 10), (8, 14), (10, 14)), ((8, 10), (8, 11), (10, 11)), ((8, 10), (8, 18), (10, 18)), ((10, 11), (10, 12), (11, 12)), ((4, 5), (4, 42), (5, 42)), ((7, 8), (7, 28), (8, 28)), ((5, 9), (5, 17), (9, 17)), ((7, 8), (7, 16), (8, 16)), ((5, 6), (5, 42), (6, 42))]"
