,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [0]}",89,"[(33, 2), (14, 2), (10, 2), (10, 33), (10, 28), (15, 66), (14, 33), (14, 28), (20, 104), (66, 19), (50, 18), (18, 46), (18, 42), (66, 27), (25, 43), (25, 39), (50, 24), (24, 42), (23, 40), (38, 23), (33, 28), (55, 34), (34, 43), (34, 36), (32, 40), (35, 30), (55, 36), (47, 36), (43, 36), (55, 39), (44, 88), (83, 44), (93, 49), (92, 49), (48, 88), (48, 83), (52, 93), (92, 52), (51, 88), (51, 83), (96, 58), (89, 57), (56, 88), (83, 56), (80, 65), (73, 82), (82, 76), (83, 88), (90, 93), (92, 90), (92, 93), (95, 166), (95, 161), (95, 158), (95, 154), (107, 103), (102, 106), (144, 111), (126, 111), (122, 111), (121, 110), (144, 114), (126, 114), (122, 114), (121, 113), (119, 128), (122, 144), (126, 144), (140, 126), (130, 160), (130, 156), (130, 152), (137, 153), (149, 137), (136, 160), (136, 152), (150, 135), (140, 144), (145, 165), (145, 153), (143, 150), (147, 165), (147, 157), (147, 153), (149, 147), (149, 165), (149, 157), (158, 161), (156, 160)]","[[[10, 17], [1, 17]], [[6, 17], [1, 17]], [[5, 17], [1, 17]], [[5, 17], [10, 17]], [[5, 17], [9, 17]], [[6, 28], [22, 28]], [[6, 17], [10, 17]], [[6, 17], [9, 17]], [[7, 44], [43, 44]], [[22, 28], [7, 28]], [[15, 16], [7, 16]], [[7, 16], [14, 16]], [[7, 16], [13, 16]], [[22, 28], [8, 28]], [[8, 18], [13, 18]], [[8, 18], [12, 18]], [[15, 16], [8, 16]], [[8, 16], [13, 16]], [[8, 14], [13, 14]], [[12, 14], [8, 14]], [[10, 17], [9, 17]], [[16, 18], [10, 18]], [[10, 18], [13, 18]], [[10, 18], [11, 18]], [[10, 14], [13, 14]], [[11, 12], [10, 12]], [[16, 18], [11, 18]], [[14, 18], [11, 18]], [[13, 18], [11, 18]], [[16, 18], [12, 18]], [[13, 32], [30, 32]], [[26, 32], [13, 32]], [[35, 36], [14, 36]], [[33, 36], [14, 36]], [[14, 32], [30, 32]], [[14, 32], [26, 32]], [[15, 36], [35, 36]], [[33, 36], [15, 36]], [[15, 32], [30, 32]], [[15, 32], [26, 32]], [[36, 37], [16, 37]], [[30, 33], [16, 33]], [[16, 32], [30, 32]], [[26, 32], [16, 32]], [[26, 27], [22, 27]], [[23, 31], [26, 31]], [[26, 31], [24, 31]], [[26, 32], [30, 32]], [[32, 36], [35, 36]], [[33, 36], [32, 36]], [[33, 36], [35, 36]], [[35, 82], [66, 82]], [[35, 82], [65, 82]], [[35, 82], [64, 82]], [[35, 82], [63, 82]], [[47, 48], [40, 48]], [[40, 46], [45, 46]], [[60, 67], [50, 67]], [[56, 67], [50, 67]], [[55, 67], [50, 67]], [[55, 59], [50, 59]], [[60, 67], [51, 67]], [[56, 67], [51, 67]], [[55, 67], [51, 67]], [[55, 59], [51, 59]], [[54, 92], [56, 92]], [[55, 67], [60, 67]], [[56, 67], [60, 67]], [[59, 67], [56, 67]], [[57, 66], [65, 66]], [[57, 66], [64, 66]], [[57, 66], [63, 66]], [[58, 68], [63, 68]], [[62, 68], [58, 68]], [[58, 66], [65, 66]], [[58, 66], [63, 66]], [[63, 64], [58, 64]], [[59, 67], [60, 67]], [[60, 68], [66, 68]], [[60, 68], [63, 68]], [[60, 64], [63, 64]], [[61, 68], [66, 68]], [[61, 68], [64, 68]], [[61, 68], [63, 68]], [[62, 68], [61, 68]], [[62, 68], [66, 68]], [[62, 68], [64, 68]], [[64, 82], [65, 82]], [[64, 66], [65, 66]]]"
1,"{1: [0], 2: [0, 1]}",82,"[(1, 28, 2), (11, 8, 16), (10, 14, 8), (13, 15, 27), (12, 15, 19), (12, 13, 17), (17, 27, 19), (24, 18, 17), (59, 25, 26), (25, 24, 55), (25, 23, 47), (25, 22, 36), (25, 34, 21), (23, 24, 46), (23, 32, 21), (34, 32, 47), (34, 30, 39), (38, 32, 30), (35, 39, 36), (38, 47, 39), (43, 37, 39), (38, 37, 40), (56, 44, 42), (51, 41, 44), (48, 44, 40), (55, 43, 42), (43, 47, 40), (50, 41, 42), (46, 42, 40), (41, 45, 40), (48, 90, 49), (52, 45, 49), (48, 56, 46), (48, 51, 45), (55, 46, 47), (50, 46, 45), (52, 96, 53), (50, 58, 53), (52, 51, 90), (50, 51, 56), (61, 60, 63), (85, 67, 66), (77, 74, 68), (73, 69, 79), (73, 76, 68), (69, 75, 68), (75, 76, 79), (82, 79, 78), (101, 99, 98), (140, 110, 111), (108, 114, 111), (113, 108, 110), (109, 108, 112), (113, 140, 114), (118, 119, 123), (120, 128, 123), (121, 140, 122), (122, 126, 120), (127, 124, 131), (124, 125, 129), (130, 136, 129), (136, 137, 165), (135, 137, 157), (134, 147, 137), (133, 137, 145), (136, 135, 156), (143, 133, 135), (134, 133, 141), (143, 145, 157), (142, 149, 145), (147, 145, 141), (149, 148, 153), (154, 166, 152), (154, 161, 151), (150, 158, 154), (152, 165, 153), (150, 157, 153), (151, 152, 160), (150, 152, 156), (158, 166, 156), (156, 165, 157), (161, 166, 160)]","[[[1, 9], [9, 17], [1, 17]], [[5, 42], [5, 6], [6, 42]], [[5, 17], [6, 17], [5, 6]], [[6, 8], [6, 28], [8, 28]], [[6, 7], [6, 28], [7, 28]], [[6, 7], [6, 8], [7, 8]], [[7, 8], [8, 28], [7, 28]], [[8, 16], [7, 16], [7, 8]], [[18, 19], [8, 18], [8, 19]], [[8, 18], [8, 16], [16, 18]], [[8, 18], [8, 14], [14, 18]], [[8, 18], [8, 11], [11, 18]], [[8, 18], [10, 18], [8, 10]], [[8, 14], [8, 16], [14, 16]], [[8, 14], [10, 14], [8, 10]], [[10, 18], [10, 14], [14, 18]], [[10, 18], [10, 12], [12, 18]], [[12, 14], [10, 14], [10, 12]], [[11, 12], [12, 18], [11, 18]], [[12, 14], [14, 18], [12, 18]], [[13, 18], [12, 13], [12, 18]], [[12, 14], [12, 13], [13, 14]], [[16, 32], [13, 32], [13, 16]], [[15, 32], [13, 15], [13, 32]], [[14, 32], [13, 32], [13, 14]], [[16, 18], [13, 18], [13, 16]], [[13, 18], [14, 18], [13, 14]], [[15, 16], [13, 15], [13, 16]], [[14, 16], [13, 16], [13, 14]], [[13, 15], [14, 15], [13, 14]], [[14, 32], [32, 36], [14, 36]], [[15, 36], [14, 15], [14, 36]], [[14, 32], [16, 32], [14, 16]], [[14, 32], [15, 32], [14, 15]], [[16, 18], [14, 16], [14, 18]], [[15, 16], [14, 16], [14, 15]], [[15, 36], [36, 37], [15, 37]], [[15, 16], [16, 37], [15, 37]], [[15, 36], [15, 32], [32, 36]], [[15, 16], [15, 32], [16, 32]], [[19, 43], [19, 20], [20, 43]], [[28, 29], [22, 29], [22, 28]], [[24, 39], [23, 39], [23, 24]], [[23, 31], [23, 25], [25, 31]], [[23, 31], [24, 31], [23, 24]], [[23, 25], [24, 25], [23, 24]], [[24, 25], [24, 31], [25, 31]], [[26, 31], [25, 31], [25, 26]], [[40, 41], [39, 41], [39, 40]], [[59, 67], [50, 59], [50, 67]], [[50, 51], [51, 67], [50, 67]], [[51, 59], [50, 51], [50, 59]], [[50, 52], [50, 51], [51, 52]], [[51, 59], [59, 67], [51, 67]], [[54, 55], [54, 92], [55, 92]], [[55, 56], [56, 92], [55, 92]], [[55, 59], [59, 67], [55, 67]], [[55, 67], [56, 67], [55, 56]], [[56, 78], [56, 57], [57, 78]], [[56, 57], [56, 58], [57, 58]], [[57, 66], [58, 66], [57, 58]], [[58, 66], [58, 68], [66, 68]], [[58, 64], [58, 68], [64, 68]], [[58, 61], [61, 68], [58, 68]], [[58, 60], [58, 68], [60, 68]], [[58, 66], [58, 64], [64, 66]], [[60, 64], [58, 60], [58, 64]], [[58, 61], [58, 60], [60, 61]], [[60, 64], [60, 68], [64, 68]], [[60, 62], [62, 68], [60, 68]], [[61, 68], [60, 68], [60, 61]], [[62, 68], [62, 63], [63, 68]], [[63, 82], [66, 82], [63, 66]], [[63, 82], [65, 82], [63, 65]], [[63, 64], [64, 82], [63, 82]], [[63, 66], [66, 68], [63, 68]], [[63, 64], [64, 68], [63, 68]], [[63, 65], [63, 66], [65, 66]], [[63, 64], [63, 66], [64, 66]], [[64, 82], [66, 82], [64, 66]], [[64, 66], [66, 68], [64, 68]], [[65, 82], [66, 82], [65, 66]]]"
2,"{2: [0, 1]}",111,"[(0, 2), (0, 1), (10, 11), (15, 16), (14, 16), (13, 16), (12, 16), (14, 15), (14, 13), (12, 14), (20, 19), (18, 20), (20, 17), (18, 19), (26, 27), (25, 27), (24, 27), (23, 27), (22, 27), (21, 27), (24, 26), (23, 26), (22, 26), (21, 26), (22, 24), (24, 21), (22, 23), (22, 21), (34, 33), (32, 33), (30, 33), (43, 44), (41, 43), (47, 49), (46, 49), (48, 47), (45, 47), (51, 53), (50, 52), (58, 57), (58, 56), (55, 58), (56, 57), (55, 57), (55, 56), (62, 63), (65, 67), (65, 66), (73, 74), (69, 74), (76, 77), (75, 77), (83, 82), (80, 83), (80, 82), (89, 88), (91, 90), (95, 94), (95, 93), (94, 93), (100, 99), (100, 98), (102, 103), (101, 103), (101, 102), (109, 111), (109, 110), (112, 114), (113, 112), (116, 117), (122, 123), (121, 123), (121, 120), (127, 128), (126, 128), (125, 128), (124, 128), (127, 126), (127, 125), (126, 125), (124, 126), (132, 131), (130, 132), (132, 129), (130, 131), (131, 129), (137, 138), (136, 138), (135, 138), (134, 138), (133, 138), (134, 136), (136, 133), (134, 135), (145, 144), (143, 144), (142, 144), (144, 141), (142, 143), (143, 141), (142, 141), (154, 153), (151, 153), (150, 151), (158, 157), (163, 162), (163, 161), (163, 160), (161, 162), (160, 162), (166, 165)]","[[[1, 2], [1, 17]], [[1, 2], [1, 9]], [[5, 17], [5, 42]], [[6, 28], [6, 42]], [[6, 17], [6, 42]], [[6, 8], [6, 42]], [[6, 7], [6, 42]], [[6, 17], [6, 28]], [[6, 17], [6, 8]], [[6, 7], [6, 17]], [[7, 44], [7, 28]], [[7, 16], [7, 44]], [[7, 44], [7, 8]], [[7, 16], [7, 28]], [[8, 19], [8, 28]], [[8, 18], [8, 28]], [[8, 16], [8, 28]], [[8, 14], [8, 28]], [[8, 11], [8, 28]], [[8, 10], [8, 28]], [[8, 16], [8, 19]], [[8, 14], [8, 19]], [[8, 11], [8, 19]], [[8, 10], [8, 19]], [[8, 11], [8, 16]], [[8, 16], [8, 10]], [[8, 11], [8, 14]], [[8, 11], [8, 10]], [[10, 18], [10, 17]], [[10, 14], [10, 17]], [[10, 12], [10, 17]], [[13, 18], [13, 32]], [[13, 15], [13, 18]], [[14, 18], [14, 36]], [[14, 16], [14, 36]], [[14, 32], [14, 18]], [[14, 15], [14, 18]], [[15, 32], [15, 37]], [[15, 16], [15, 36]], [[16, 37], [16, 33]], [[16, 37], [16, 32]], [[16, 18], [16, 37]], [[16, 32], [16, 33]], [[16, 18], [16, 33]], [[16, 18], [16, 32]], [[20, 21], [20, 43]], [[22, 27], [22, 29]], [[22, 27], [22, 28]], [[23, 31], [23, 39]], [[23, 25], [23, 39]], [[24, 31], [24, 39]], [[24, 25], [24, 39]], [[26, 32], [26, 31]], [[26, 27], [26, 32]], [[26, 27], [26, 31]], [[30, 33], [30, 32]], [[32, 85], [32, 36]], [[35, 82], [35, 79]], [[35, 82], [35, 36]], [[35, 79], [35, 36]], [[39, 47], [39, 41]], [[39, 47], [39, 40]], [[40, 46], [40, 48]], [[40, 41], [40, 48]], [[40, 41], [40, 46]], [[50, 52], [50, 67]], [[50, 52], [50, 59]], [[51, 52], [51, 67]], [[51, 59], [51, 52]], [[53, 93], [53, 99]], [[55, 67], [55, 92]], [[55, 59], [55, 92]], [[55, 59], [55, 56]], [[56, 78], [56, 92]], [[56, 67], [56, 92]], [[56, 58], [56, 92]], [[56, 57], [56, 92]], [[56, 78], [56, 67]], [[56, 78], [56, 58]], [[56, 67], [56, 58]], [[56, 57], [56, 67]], [[57, 94], [57, 78]], [[57, 66], [57, 94]], [[57, 94], [57, 58]], [[57, 66], [57, 78]], [[57, 78], [57, 58]], [[58, 68], [58, 69]], [[58, 66], [58, 69]], [[58, 64], [58, 69]], [[58, 61], [58, 69]], [[58, 60], [58, 69]], [[58, 61], [58, 66]], [[58, 66], [58, 60]], [[58, 61], [58, 64]], [[60, 68], [60, 67]], [[60, 64], [60, 67]], [[60, 62], [60, 67]], [[60, 67], [60, 61]], [[60, 62], [60, 64]], [[60, 64], [60, 61]], [[60, 62], [60, 61]], [[63, 82], [63, 68]], [[63, 65], [63, 68]], [[63, 64], [63, 65]], [[64, 82], [64, 68]], [[65, 87], [65, 86]], [[65, 87], [65, 82]], [[65, 87], [65, 66]], [[65, 82], [65, 86]], [[65, 66], [65, 86]], [[66, 82], [66, 68]]]"
3,"{1: [0], 2: [1]}",156,"[(0, 3), (5, 3), (11, 6), (10, 6), (8, 6), (8, 15), (8, 13), (12, 8), (85, 15), (13, 26), (25, 13), (24, 13), (23, 13), (22, 13), (21, 13), (12, 20), (18, 12), (105, 20), (85, 19), (58, 18), (18, 57), (56, 18), (55, 18), (17, 26), (25, 17), (23, 17), (22, 17), (21, 17), (85, 27), (61, 26), (60, 26), (24, 58), (24, 57), (24, 56), (23, 49), (48, 23), (23, 45), (22, 35), (21, 33), (21, 30), (59, 34), (32, 49), (48, 32), (32, 46), (32, 45), (30, 37), (59, 36), (38, 35), (35, 37), (59, 39), (38, 49), (48, 38), (38, 46), (38, 45), (37, 44), (37, 42), (41, 37), (91, 44), (44, 90), (59, 43), (58, 42), (57, 42), (53, 41), (52, 41), (49, 40), (96, 49), (48, 91), (59, 47), (58, 46), (46, 57), (53, 45), (53, 97), (51, 91), (50, 57), (50, 55), (58, 97), (92, 57), (56, 91), (56, 90), (59, 55), (59, 61), (59, 60), (61, 104), (62, 60), (63, 104), (64, 62), (64, 67), (64, 66), (64, 65), (84, 65), (100, 74), (99, 74), (98, 74), (69, 78), (100, 77), (99, 77), (98, 77), (75, 78), (83, 78), (80, 78), (83, 91), (83, 90), (80, 84), (89, 84), (84, 88), (92, 89), (91, 88), (90, 88), (96, 90), (92, 96), (96, 93), (96, 97), (100, 107), (98, 103), (102, 98), (105, 104), (105, 106), (109, 115), (115, 112), (115, 117), (116, 115), (122, 118), (121, 118), (118, 120), (127, 120), (125, 120), (124, 120), (125, 138), (125, 137), (136, 125), (125, 135), (134, 125), (133, 125), (132, 124), (130, 124), (130, 166), (130, 165), (138, 129), (137, 129), (135, 129), (134, 129), (133, 129), (136, 166), (158, 135), (133, 144), (142, 133), (143, 158), (143, 156), (142, 148), (154, 148), (148, 152), (148, 151), (150, 148), (163, 151), (151, 162), (160, 165)]","[[[1, 2], [2, 3]], [[3, 49], [2, 3]], [[5, 42], [4, 5]], [[5, 17], [4, 5]], [[5, 6], [4, 5]], [[5, 6], [6, 28]], [[5, 6], [6, 8]], [[6, 7], [5, 6]], [[28, 29], [6, 28]], [[6, 8], [8, 19]], [[8, 18], [6, 8]], [[8, 16], [6, 8]], [[8, 14], [6, 8]], [[8, 11], [6, 8]], [[8, 10], [6, 8]], [[6, 7], [7, 44]], [[7, 16], [6, 7]], [[44, 45], [7, 44]], [[28, 29], [7, 28]], [[16, 37], [7, 16]], [[7, 16], [16, 33]], [[16, 32], [7, 16]], [[16, 18], [7, 16]], [[7, 8], [8, 19]], [[8, 18], [7, 8]], [[8, 14], [7, 8]], [[8, 11], [7, 8]], [[8, 10], [7, 8]], [[28, 29], [8, 28]], [[19, 43], [8, 19]], [[19, 20], [8, 19]], [[8, 16], [16, 37]], [[8, 16], [16, 33]], [[8, 16], [16, 32]], [[8, 14], [14, 36]], [[14, 32], [8, 14]], [[8, 14], [14, 15]], [[8, 11], [11, 12]], [[8, 10], [10, 17]], [[8, 10], [10, 12]], [[18, 19], [10, 18]], [[10, 14], [14, 36]], [[14, 32], [10, 14]], [[10, 14], [14, 16]], [[10, 14], [14, 15]], [[10, 12], [12, 13]], [[18, 19], [11, 18]], [[12, 14], [11, 12]], [[11, 12], [12, 13]], [[18, 19], [12, 18]], [[12, 14], [14, 36]], [[14, 32], [12, 14]], [[12, 14], [14, 16]], [[12, 14], [14, 15]], [[12, 13], [13, 32]], [[12, 13], [13, 16]], [[13, 15], [12, 13]], [[32, 85], [13, 32]], [[13, 32], [32, 36]], [[18, 19], [13, 18]], [[16, 37], [13, 16]], [[16, 33], [13, 16]], [[15, 37], [13, 15]], [[15, 36], [13, 15]], [[14, 36], [13, 14]], [[36, 37], [14, 36]], [[14, 32], [32, 85]], [[18, 19], [14, 18]], [[16, 37], [14, 16]], [[14, 16], [16, 33]], [[15, 37], [14, 15]], [[15, 37], [37, 38]], [[15, 32], [32, 85]], [[15, 16], [16, 33]], [[15, 16], [16, 18]], [[16, 37], [37, 38]], [[33, 36], [16, 33]], [[16, 32], [32, 85]], [[16, 32], [32, 36]], [[18, 19], [16, 18]], [[18, 19], [19, 43]], [[18, 19], [19, 20]], [[19, 43], [43, 44]], [[20, 21], [19, 20]], [[20, 43], [43, 44]], [[21, 22], [20, 21]], [[21, 22], [22, 29]], [[21, 22], [22, 28]], [[21, 22], [22, 27]], [[27, 30], [22, 27]], [[39, 47], [23, 39]], [[39, 41], [23, 39]], [[39, 40], [23, 39]], [[23, 25], [25, 26]], [[39, 47], [24, 39]], [[39, 41], [24, 39]], [[39, 40], [24, 39]], [[24, 25], [25, 26]], [[26, 32], [25, 26]], [[26, 27], [25, 26]], [[26, 32], [32, 85]], [[26, 32], [32, 36]], [[26, 27], [27, 30]], [[30, 33], [27, 30]], [[27, 30], [30, 32]], [[33, 36], [30, 33]], [[32, 85], [30, 32]], [[32, 36], [30, 32]], [[36, 37], [32, 36]], [[33, 36], [36, 37]], [[36, 37], [35, 36]], [[36, 37], [37, 38]], [[39, 47], [47, 48]], [[39, 40], [40, 48]], [[40, 46], [39, 40]], [[44, 45], [43, 44]], [[44, 45], [45, 46]], [[50, 52], [52, 53]], [[52, 53], [51, 52]], [[52, 53], [53, 99]], [[53, 93], [52, 53]], [[55, 67], [54, 55]], [[55, 59], [54, 55]], [[54, 55], [55, 56]], [[56, 78], [55, 56]], [[56, 58], [55, 56]], [[56, 57], [55, 56]], [[56, 58], [58, 69]], [[56, 58], [58, 68]], [[58, 66], [56, 58]], [[56, 58], [58, 64]], [[58, 61], [56, 58]], [[58, 60], [56, 58]], [[57, 94], [56, 57]], [[57, 66], [56, 57]], [[57, 66], [66, 82]], [[57, 66], [66, 68]], [[58, 69], [57, 58]], [[58, 68], [57, 58]], [[58, 64], [57, 58]], [[58, 61], [57, 58]], [[58, 60], [57, 58]], [[58, 66], [66, 82]], [[64, 82], [58, 64]], [[58, 60], [60, 67]], [[60, 62], [58, 60]], [[60, 64], [64, 82]], [[60, 64], [64, 66]], [[60, 62], [62, 63]], [[63, 82], [62, 63]], [[62, 63], [63, 66]], [[62, 63], [63, 65]], [[63, 64], [62, 63]], [[65, 87], [63, 65]], [[63, 65], [65, 86]], [[65, 66], [66, 68]]]"
