,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",13,"[(22, 23), (22, 26), (22, 27), (23, 26), (23, 27), (21, 23), (12, 16), (8, 10), (26, 27), (21, 26), (10, 11), (13, 16), (21, 27)]","[[[8, 11], [8, 14]], [[8, 11], [8, 19]], [[8, 11], [8, 28]], [[8, 14], [8, 19]], [[8, 14], [8, 28]], [[8, 14], [8, 10]], [[6, 7], [6, 42]], [[5, 6], [5, 17]], [[8, 19], [8, 28]], [[8, 19], [8, 10]], [[5, 42], [5, 17]], [[6, 42], [6, 8]], [[8, 28], [8, 10]]]"
1,"{0: [1], 1: [2], 'Matched': True}",15,"[(17, 22), (13, 22), (17, 23), (13, 23), (8, 12), (17, 26), (17, 27), (17, 21), (4, 28), (6, 8), (8, 13), (13, 26), (6, 10), (13, 27), (13, 21)]","[[[8, 11], [7, 8]], [[8, 11], [6, 8]], [[8, 14], [7, 8]], [[8, 14], [6, 8]], [[6, 7], [5, 6]], [[7, 8], [8, 19]], [[7, 8], [8, 28]], [[7, 8], [8, 10]], [[2, 9], [9, 17]], [[5, 6], [4, 5]], [[5, 6], [6, 8]], [[8, 19], [6, 8]], [[5, 17], [4, 5]], [[8, 28], [6, 8]], [[8, 10], [6, 8]]]"
2,"{0: [1], 2: [1], 'Matched': True}",4,"[(1, 4), (2, 10), (10, 28), (7, 16)]","[[[2, 9], [1, 9]], [[1, 17], [5, 17]], [[9, 17], [5, 17]], [[4, 42], [6, 42]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",5,"[(21, 22, 29), (12, 13, 17), (1, 2, 28), (8, 11, 16), (6, 7, 11)]","[[[8, 11], [8, 10], [10, 11]], [[6, 7], [6, 8], [7, 8]], [[1, 17], [1, 9], [9, 17]], [[5, 6], [5, 42], [6, 42]], [[5, 42], [4, 42], [4, 5]]]"
