,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",46,"[(15, 16), (13, 16), (14, 16), (30, 33), (24, 26), (26, 27), (22, 26), (25, 26), (21, 26), (14, 15), (40, 44), (43, 44), (32, 33), (29, 32), (55, 58), (55, 56), (54, 55), (33, 34), (29, 34), (31, 33), (29, 31), (50, 52), (51, 52), (52, 53), (46, 49), (17, 20), (47, 49), (24, 27), (22, 24), (21, 24), (3, 4), (13, 14), (56, 58), (54, 58), (41, 43), (45, 47), (19, 20), (29, 33), (54, 56), (51, 53), (0, 2), (22, 27), (25, 27), (21, 27), (22, 25), (8, 9)]","[[[6, 42], [6, 28]], [[6, 42], [6, 8]], [[6, 42], [6, 17]], [[10, 12], [10, 17]], [[8, 19], [8, 16]], [[8, 19], [8, 28]], [[8, 19], [8, 11]], [[8, 19], [8, 18]], [[8, 19], [8, 10]], [[6, 28], [6, 17]], [[13, 32], [13, 14]], [[13, 32], [13, 18]], [[10, 14], [10, 17]], [[10, 14], [10, 11]], [[16, 18], [16, 37]], [[16, 18], [16, 32]], [[16, 18], [16, 17]], [[10, 18], [10, 17]], [[10, 18], [10, 11]], [[10, 13], [10, 17]], [[10, 13], [10, 11]], [[15, 36], [15, 16]], [[15, 36], [15, 32]], [[15, 36], [15, 37]], [[14, 16], [14, 36]], [[7, 8], [7, 44]], [[14, 36], [14, 18]], [[8, 16], [8, 28]], [[8, 16], [8, 11]], [[8, 16], [8, 10]], [[2, 3], [2, 9]], [[6, 8], [6, 17]], [[16, 37], [16, 32]], [[16, 37], [16, 17]], [[13, 18], [13, 15]], [[14, 15], [14, 18]], [[7, 28], [7, 44]], [[10, 17], [10, 11]], [[16, 32], [16, 17]], [[15, 32], [15, 37]], [[1, 2], [1, 17]], [[8, 28], [8, 11]], [[8, 28], [8, 18]], [[8, 28], [8, 10]], [[8, 11], [8, 18]], [[5, 9], [5, 6]]]"
1,"{0: [1], 1: [2], 'Matched': True}",53,"[(8, 16), (21, 30), (17, 26), (13, 26), (8, 15), (31, 44), (37, 44), (32, 46), (32, 49), (32, 45), (21, 32), (50, 55), (31, 41), (31, 42), (21, 31), (41, 52), (46, 58), (46, 56), (38, 46), (46, 54), (3, 5), (17, 24), (17, 22), (17, 25), (17, 21), (40, 49), (38, 49), (13, 24), (24, 58), (24, 56), (24, 54), (0, 3), (35, 39), (22, 35), (35, 37), (35, 38), (13, 22), (13, 25), (13, 21), (8, 13), (4, 28), (42, 58), (50, 54), (45, 51), (45, 53), (38, 45), (21, 33), (37, 41), (41, 53), (8, 14), (37, 42), (9, 28), (42, 54)]","[[[6, 42], [5, 6]], [[10, 12], [8, 10]], [[8, 19], [7, 8]], [[8, 19], [6, 8]], [[6, 28], [5, 6]], [[13, 32], [10, 13]], [[13, 32], [12, 13]], [[10, 14], [14, 16]], [[10, 14], [14, 36]], [[10, 14], [14, 15]], [[10, 14], [8, 10]], [[16, 18], [15, 16]], [[10, 13], [13, 15]], [[10, 13], [13, 16]], [[10, 13], [8, 10]], [[15, 36], [13, 15]], [[14, 16], [16, 37]], [[14, 16], [16, 32]], [[14, 16], [12, 14]], [[14, 16], [16, 17]], [[3, 49], [2, 3]], [[7, 8], [8, 16]], [[7, 8], [8, 11]], [[7, 8], [8, 18]], [[7, 8], [8, 10]], [[14, 36], [13, 14]], [[14, 36], [12, 14]], [[8, 16], [6, 8]], [[8, 16], [16, 37]], [[8, 16], [16, 32]], [[8, 16], [16, 17]], [[2, 3], [1, 2]], [[11, 12], [12, 18]], [[11, 12], [8, 11]], [[11, 12], [12, 13]], [[11, 12], [12, 14]], [[6, 8], [8, 11]], [[6, 8], [8, 18]], [[6, 8], [8, 10]], [[6, 8], [5, 6]], [[2, 9], [9, 17]], [[16, 37], [13, 16]], [[15, 16], [16, 17]], [[14, 15], [15, 32]], [[14, 15], [15, 37]], [[14, 15], [12, 14]], [[10, 17], [8, 10]], [[13, 15], [12, 13]], [[13, 15], [15, 37]], [[6, 17], [5, 6]], [[12, 13], [13, 16]], [[5, 9], [9, 17]], [[13, 16], [16, 17]]]"
2,"{0: [1], 2: [1], 'Matched': True}",22,"[(7, 16), (15, 19), (34, 55), (39, 55), (24, 46), (13, 17), (24, 50), (24, 42), (25, 39), (4, 9), (25, 43), (14, 33), (2, 33), (28, 33), (33, 54), (25, 47), (2, 14), (14, 28), (14, 54), (1, 9), (2, 54), (28, 54)]","[[[6, 42], [4, 42]], [[6, 28], [7, 28]], [[16, 18], [10, 18]], [[16, 18], [12, 18]], [[14, 16], [8, 16]], [[7, 8], [6, 8]], [[8, 16], [15, 16]], [[8, 16], [13, 16]], [[12, 18], [8, 18]], [[2, 9], [5, 9]], [[13, 18], [8, 18]], [[10, 17], [6, 17]], [[10, 17], [1, 17]], [[10, 17], [9, 17]], [[10, 17], [16, 17]], [[14, 18], [8, 18]], [[6, 17], [1, 17]], [[6, 17], [9, 17]], [[6, 17], [16, 17]], [[1, 9], [5, 9]], [[1, 17], [16, 17]], [[9, 17], [16, 17]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",29,"[(30, 32, 38), (30, 34, 39), (30, 31, 37), (29, 30, 35), (13, 15, 27), (42, 44, 56), (41, 44, 51), (32, 34, 47), (31, 32, 40), (46, 47, 55), (24, 25, 55), (42, 43, 55), (31, 34, 43), (21, 25, 34), (45, 49, 52), (40, 42, 46), (45, 46, 50), (17, 19, 27), (40, 43, 47), (40, 41, 45), (37, 38, 40), (37, 39, 43), (38, 39, 47), (0, 1, 4), (50, 53, 58), (50, 51, 56), (41, 42, 50), (21, 22, 29), (1, 2, 28)]","[[[10, 12], [10, 14], [12, 14]], [[10, 12], [10, 18], [12, 18]], [[10, 12], [10, 13], [12, 13]], [[10, 12], [10, 11], [11, 12]], [[6, 28], [6, 8], [8, 28]], [[13, 32], [13, 16], [16, 32]], [[13, 32], [13, 15], [15, 32]], [[10, 14], [10, 18], [14, 18]], [[10, 14], [10, 13], [13, 14]], [[16, 18], [14, 16], [14, 18]], [[16, 18], [8, 16], [8, 18]], [[16, 18], [13, 18], [13, 16]], [[10, 18], [10, 13], [13, 18]], [[10, 18], [8, 18], [8, 10]], [[15, 36], [14, 36], [14, 15]], [[14, 16], [13, 14], [13, 16]], [[14, 16], [14, 15], [15, 16]], [[7, 8], [7, 28], [8, 28]], [[13, 14], [13, 18], [14, 18]], [[13, 14], [13, 15], [14, 15]], [[13, 14], [12, 13], [12, 14]], [[12, 18], [12, 13], [13, 18]], [[12, 18], [12, 14], [14, 18]], [[2, 9], [1, 2], [1, 9]], [[16, 37], [15, 16], [15, 37]], [[15, 16], [15, 32], [16, 32]], [[15, 16], [13, 15], [13, 16]], [[10, 11], [8, 11], [8, 10]], [[1, 9], [1, 17], [9, 17]]]"
