,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [0]}",21,"[(2, 54), (2, 33), (2, 10), (1, 9), (9, 4), (16, 7), (10, 54), (10, 33), (15, 19), (17, 13), (50, 18), (46, 18), (43, 25), (39, 25), (54, 28), (33, 28), (34, 36), (54, 33), (43, 36), (39, 36), (56, 44)]","[[[1, 17], [16, 17]], [[1, 17], [10, 17]], [[1, 17], [5, 17]], [[1, 9], [5, 9]], [[5, 9], [2, 9]], [[6, 42], [4, 42]], [[5, 17], [16, 17]], [[5, 17], [10, 17]], [[6, 28], [7, 28]], [[7, 8], [6, 8]], [[15, 16], [7, 16]], [[14, 16], [7, 16]], [[13, 18], [8, 18]], [[12, 18], [8, 18]], [[16, 17], [9, 17]], [[10, 17], [9, 17]], [[10, 18], [11, 18]], [[16, 17], [10, 17]], [[13, 18], [11, 18]], [[12, 18], [11, 18]], [[16, 32], [13, 32]]]"
1,"{1: [0], 2: [0, 1]}",25,"[(2, 1, 28), (1, 0, 4), (6, 11, 7), (16, 11, 8), (10, 9, 28), (15, 13, 27), (19, 17, 27), (25, 22, 36), (34, 25, 21), (43, 34, 31), (30, 34, 39), (32, 40, 31), (32, 30, 38), (30, 37, 31), (43, 37, 39), (40, 37, 38), (51, 41, 44), (48, 40, 44), (40, 41, 45), (52, 45, 49), (48, 46, 56), (48, 51, 45), (50, 46, 45), (50, 51, 56), (63, 61, 60)]","[[[1, 17], [1, 9], [9, 17]], [[1, 9], [1, 2], [2, 9]], [[4, 5], [5, 42], [4, 42]], [[6, 42], [5, 42], [5, 6]], [[5, 17], [5, 9], [9, 17]], [[6, 28], [6, 8], [8, 28]], [[7, 28], [7, 8], [8, 28]], [[8, 18], [8, 11], [11, 18]], [[10, 18], [8, 18], [8, 10]], [[13, 18], [10, 18], [10, 13]], [[10, 12], [10, 18], [12, 18]], [[10, 14], [13, 14], [10, 13]], [[10, 14], [10, 12], [12, 14]], [[10, 12], [12, 13], [10, 13]], [[13, 18], [12, 13], [12, 18]], [[13, 14], [12, 13], [12, 14]], [[15, 32], [13, 15], [13, 32]], [[14, 32], [13, 14], [13, 32]], [[13, 14], [13, 15], [14, 15]], [[15, 36], [14, 15], [14, 36]], [[14, 32], [14, 16], [16, 32]], [[14, 32], [15, 32], [14, 15]], [[15, 16], [14, 16], [14, 15]], [[15, 16], [15, 32], [16, 32]], [[20, 43], [19, 43], [19, 20]]]"
2,"{2: [0, 1]}",52,"[(2, 0), (3, 4), (10, 11), (11, 9), (10, 8), (9, 8), (15, 16), (16, 13), (19, 20), (20, 18), (17, 20), (19, 18), (17, 18), (27, 25), (27, 22), (27, 21), (21, 22), (34, 33), (32, 34), (32, 33), (33, 31), (30, 33), (39, 38), (43, 44), (43, 41), (43, 40), (48, 49), (46, 49), (52, 51), (50, 52), (58, 57), (58, 56), (54, 58), (56, 57), (54, 57), (54, 56), (62, 63), (74, 73), (74, 72), (74, 71), (74, 70), (74, 68), (72, 73), (71, 73), (70, 73), (68, 73), (72, 71), (70, 72), (68, 72), (70, 71), (68, 71), (68, 70)]","[[[1, 17], [1, 2]], [[2, 3], [2, 9]], [[5, 17], [5, 42]], [[5, 42], [5, 9]], [[5, 17], [5, 6]], [[5, 9], [5, 6]], [[6, 28], [6, 42]], [[6, 42], [6, 8]], [[7, 28], [7, 44]], [[7, 44], [7, 16]], [[7, 8], [7, 44]], [[7, 28], [7, 16]], [[7, 8], [7, 16]], [[8, 28], [8, 18]], [[8, 28], [8, 11]], [[8, 28], [8, 10]], [[8, 10], [8, 11]], [[10, 18], [10, 17]], [[10, 14], [10, 18]], [[10, 14], [10, 17]], [[10, 17], [10, 13]], [[10, 12], [10, 17]], [[12, 18], [12, 14]], [[13, 18], [13, 32]], [[13, 18], [13, 15]], [[13, 18], [13, 14]], [[14, 32], [14, 36]], [[14, 16], [14, 36]], [[15, 36], [15, 32]], [[15, 16], [15, 36]], [[16, 37], [16, 33]], [[16, 37], [16, 32]], [[16, 17], [16, 37]], [[16, 32], [16, 33]], [[16, 17], [16, 33]], [[16, 17], [16, 32]], [[20, 21], [20, 43]], [[23, 39], [23, 31]], [[23, 39], [23, 30]], [[23, 39], [23, 27]], [[23, 39], [23, 26]], [[23, 39], [23, 24]], [[23, 30], [23, 31]], [[23, 27], [23, 31]], [[23, 26], [23, 31]], [[23, 24], [23, 31]], [[23, 30], [23, 27]], [[23, 26], [23, 30]], [[23, 24], [23, 30]], [[23, 26], [23, 27]], [[23, 24], [23, 27]], [[23, 24], [23, 26]]]"
3,"{1: [0], 2: [1]}",47,"[(0, 3), (4, 28), (10, 6), (6, 9), (6, 8), (15, 8), (13, 8), (13, 25), (13, 22), (13, 21), (58, 18), (18, 57), (56, 18), (54, 18), (17, 25), (17, 22), (17, 21), (33, 21), (32, 21), (31, 21), (30, 21), (32, 49), (32, 48), (32, 46), (32, 45), (31, 44), (31, 41), (49, 38), (48, 38), (46, 38), (45, 38), (37, 44), (37, 41), (52, 41), (50, 41), (40, 49), (46, 40), (46, 58), (46, 57), (54, 46), (50, 58), (50, 57), (54, 50), (62, 60), (64, 62), (64, 67), (68, 75)]","[[[1, 2], [2, 3]], [[2, 9], [9, 17]], [[5, 17], [4, 5]], [[4, 5], [5, 9]], [[4, 5], [5, 6]], [[6, 28], [5, 6]], [[6, 8], [5, 6]], [[6, 8], [8, 18]], [[6, 8], [8, 11]], [[6, 8], [8, 10]], [[16, 37], [7, 16]], [[7, 16], [16, 33]], [[16, 32], [7, 16]], [[16, 17], [7, 16]], [[7, 8], [8, 18]], [[7, 8], [8, 11]], [[7, 8], [8, 10]], [[10, 17], [8, 10]], [[10, 14], [8, 10]], [[10, 13], [8, 10]], [[10, 12], [8, 10]], [[10, 14], [14, 36]], [[10, 14], [14, 32]], [[10, 14], [14, 16]], [[10, 14], [14, 15]], [[10, 13], [13, 32]], [[10, 13], [13, 15]], [[14, 36], [12, 14]], [[14, 32], [12, 14]], [[14, 16], [12, 14]], [[14, 15], [12, 14]], [[12, 13], [13, 32]], [[12, 13], [13, 15]], [[15, 36], [13, 15]], [[15, 16], [13, 15]], [[13, 14], [14, 36]], [[14, 16], [13, 14]], [[14, 16], [16, 37]], [[14, 16], [16, 33]], [[16, 17], [14, 16]], [[15, 16], [16, 37]], [[15, 16], [16, 33]], [[16, 17], [15, 16]], [[20, 21], [19, 20]], [[21, 22], [20, 21]], [[21, 22], [22, 29]], [[23, 24], [24, 25]]]"
