,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",51,"[(12, 13), (12, 16), (12, 14), (12, 15), (32, 33), (29, 33), (30, 33), (31, 33), (6, 7), (21, 27), (21, 24), (21, 22), (38, 39), (37, 39), (1, 2), (0, 1), (37, 38), (29, 32), (30, 32), (31, 32), (24, 27), (22, 27), (0, 2), (22, 24), (13, 16), (13, 14), (13, 15), (41, 42), (42, 44), (40, 42), (18, 20), (19, 20), (17, 20), (9, 11), (9, 10), (35, 36), (18, 19), (17, 18), (17, 19), (3, 4), (29, 30), (29, 31), (30, 31), (41, 44), (40, 41), (14, 16), (15, 16), (10, 11), (40, 44), (14, 15), (45, 46)]","[((6, 7), (6, 8)), ((6, 7), (6, 42)), ((6, 7), (6, 17)), ((6, 7), (6, 28)), ((10, 14), (10, 17)), ((10, 11), (10, 17)), ((10, 12), (10, 17)), ((10, 13), (10, 17)), ((4, 5), (4, 42)), ((8, 10), (8, 28)), ((8, 10), (8, 16)), ((8, 10), (8, 11)), ((12, 14), (12, 18)), ((12, 13), (12, 18)), ((1, 9), (1, 17)), ((1, 2), (1, 9)), ((12, 13), (12, 14)), ((10, 11), (10, 14)), ((10, 12), (10, 14)), ((10, 13), (10, 14)), ((8, 16), (8, 28)), ((8, 11), (8, 28)), ((1, 2), (1, 17)), ((8, 11), (8, 16)), ((6, 8), (6, 42)), ((6, 8), (6, 17)), ((6, 8), (6, 28)), ((13, 15), (13, 16)), ((13, 16), (13, 32)), ((13, 14), (13, 16)), ((7, 16), (7, 44)), ((7, 28), (7, 44)), ((7, 8), (7, 44)), ((5, 9), (5, 42)), ((5, 9), (5, 17)), ((11, 12), (11, 18)), ((7, 16), (7, 28)), ((7, 8), (7, 16)), ((7, 8), (7, 28)), ((2, 3), (2, 9)), ((10, 11), (10, 12)), ((10, 11), (10, 13)), ((10, 12), (10, 13)), ((13, 15), (13, 32)), ((13, 14), (13, 15)), ((6, 17), (6, 42)), ((6, 28), (6, 42)), ((5, 17), (5, 42)), ((13, 14), (13, 32)), ((6, 17), (6, 28)), ((14, 15), (14, 16))]"
1,"{0: [1], 1: [2], 'Matched': True}",49,"[(12, 20), (12, 18), (12, 19), (12, 17), (21, 33), (6, 9), (6, 11), (6, 10), (21, 32), (13, 21), (21, 29), (17, 21), (21, 30), (21, 31), (35, 39), (30, 39), (1, 28), (9, 28), (4, 28), (35, 38), (30, 38), (38, 45), (38, 46), (32, 45), (32, 46), (13, 27), (17, 27), (0, 4), (0, 3), (13, 24), (17, 24), (13, 22), (37, 42), (31, 42), (29, 35), (35, 37), (22, 35), (29, 36), (17, 22), (30, 37), (37, 41), (31, 41), (22, 36), (37, 44), (31, 44), (37, 40), (31, 40), (40, 45), (40, 46)]","[((6, 7), (7, 44)), ((6, 7), (7, 16)), ((6, 7), (7, 28)), ((6, 7), (7, 8)), ((8, 10), (10, 17)), ((4, 5), (5, 9)), ((4, 5), (5, 42)), ((4, 5), (5, 17)), ((8, 10), (10, 14)), ((6, 8), (8, 10)), ((8, 10), (10, 11)), ((7, 8), (8, 10)), ((8, 10), (10, 12)), ((8, 10), (10, 13)), ((11, 12), (12, 18)), ((10, 12), (12, 18)), ((1, 9), (9, 17)), ((5, 9), (9, 17)), ((2, 9), (9, 17)), ((11, 12), (12, 14)), ((10, 12), (12, 14)), ((12, 14), (14, 15)), ((12, 14), (14, 16)), ((10, 14), (14, 15)), ((10, 14), (14, 16)), ((6, 8), (8, 28)), ((7, 8), (8, 28)), ((1, 2), (2, 9)), ((1, 2), (2, 3)), ((6, 8), (8, 16)), ((7, 8), (8, 16)), ((6, 8), (8, 11)), ((12, 13), (13, 16)), ((10, 13), (13, 16)), ((10, 11), (11, 12)), ((11, 12), (12, 13)), ((8, 11), (11, 12)), ((10, 11), (11, 18)), ((7, 8), (8, 11)), ((10, 12), (12, 13)), ((12, 13), (13, 15)), ((10, 13), (13, 15)), ((8, 11), (11, 18)), ((12, 13), (13, 32)), ((10, 13), (13, 32)), ((12, 13), (13, 14)), ((10, 13), (13, 14)), ((13, 14), (14, 15)), ((13, 14), (14, 16))]"
2,"{0: [1], 2: [1], 'Matched': True}",34,"[(28, 33), (2, 33), (14, 33), (10, 33), (36, 39), (2, 28), (14, 28), (10, 28), (1, 9), (1, 4), (7, 16), (7, 11), (32, 38), (38, 40), (32, 40), (19, 27), (15, 27), (2, 14), (2, 10), (24, 42), (18, 24), (24, 46), (13, 17), (18, 42), (42, 46), (4, 9), (30, 35), (18, 46), (15, 19), (22, 29), (41, 45), (11, 16), (10, 14), (31, 37)]","[((9, 17), (10, 17)), ((1, 17), (10, 17)), ((6, 17), (10, 17)), ((5, 17), (10, 17)), ((11, 18), (12, 18)), ((1, 17), (9, 17)), ((6, 17), (9, 17)), ((5, 17), (9, 17)), ((1, 9), (5, 9)), ((1, 9), (2, 9)), ((4, 42), (6, 42)), ((4, 42), (5, 42)), ((10, 14), (12, 14)), ((12, 14), (13, 14)), ((10, 14), (13, 14)), ((7, 28), (8, 28)), ((6, 28), (8, 28)), ((1, 17), (6, 17)), ((1, 17), (5, 17)), ((8, 16), (13, 16)), ((7, 16), (8, 16)), ((8, 16), (14, 16)), ((6, 8), (7, 8)), ((7, 16), (13, 16)), ((13, 16), (14, 16)), ((2, 9), (5, 9)), ((10, 12), (11, 12)), ((7, 16), (14, 16)), ((6, 28), (7, 28)), ((8, 11), (10, 11)), ((13, 15), (14, 15)), ((5, 42), (6, 42)), ((5, 17), (6, 17)), ((10, 13), (12, 13))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",18,"[(12, 13, 17), (12, 15, 19), (6, 7, 11), (21, 22, 29), (35, 36, 39), (1, 2, 28), (9, 10, 28), (0, 1, 4), (30, 32, 38), (37, 38, 40), (31, 32, 40), (13, 15, 27), (17, 19, 27), (17, 18, 24), (40, 42, 46), (29, 30, 35), (30, 31, 37), (40, 41, 45)]","[((6, 7), (6, 8), (7, 8)), ((6, 7), (6, 28), (7, 28)), ((4, 5), (4, 42), (5, 42)), ((8, 10), (8, 11), (10, 11)), ((11, 12), (11, 18), (12, 18)), ((1, 9), (1, 17), (9, 17)), ((5, 9), (5, 17), (9, 17)), ((1, 2), (1, 9), (2, 9)), ((10, 12), (10, 14), (12, 14)), ((12, 13), (12, 14), (13, 14)), ((10, 13), (10, 14), (13, 14)), ((6, 8), (6, 28), (8, 28)), ((7, 8), (7, 28), (8, 28)), ((7, 8), (7, 16), (8, 16)), ((13, 14), (13, 16), (14, 16)), ((10, 11), (10, 12), (11, 12)), ((10, 12), (10, 13), (12, 13)), ((13, 14), (13, 15), (14, 15))]"
