,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",107,"[(46, 48), (46, 47), (45, 46), (46, 49), (50, 52), (50, 51), (50, 53), (22, 24), (21, 22), (22, 26), (22, 25), (22, 23), (22, 27), (1, 2), (0, 1), (66, 67), (3, 4), (31, 34), (30, 34), (33, 34), (29, 34), (32, 34), (47, 48), (45, 48), (48, 49), (40, 41), (40, 42), (40, 43), (40, 44), (30, 31), (31, 33), (29, 31), (31, 32), (21, 24), (24, 26), (24, 25), (23, 24), (24, 27), (51, 52), (52, 53), (13, 15), (14, 15), (12, 15), (15, 16), (68, 69), (17, 19), (17, 18), (17, 20), (35, 36), (8, 11), (8, 10), (8, 9), (13, 14), (12, 13), (13, 16), (18, 19), (19, 20), (37, 38), (38, 39), (51, 53), (54, 56), (56, 57), (56, 58), (55, 56), (60, 61), (45, 47), (47, 49), (41, 42), (41, 43), (41, 44), (42, 43), (42, 44), (21, 26), (21, 25), (21, 23), (21, 27), (0, 2), (10, 11), (9, 11), (6, 7), (12, 14), (14, 16), (30, 33), (29, 30), (30, 32), (25, 26), (23, 26), (26, 27), (45, 49), (62, 63), (12, 16), (29, 33), (32, 33), (9, 10), (18, 20), (37, 39), (43, 44), (29, 32), (54, 57), (54, 58), (54, 55), (57, 58), (55, 57), (23, 25), (25, 27), (55, 58), (23, 27)]","[((14, 16), (14, 32)), ((14, 16), (14, 18)), ((14, 15), (14, 16)), ((14, 16), (14, 36)), ((15, 16), (15, 36)), ((15, 16), (15, 32)), ((15, 16), (15, 37)), ((8, 11), (8, 16)), ((8, 10), (8, 11)), ((8, 11), (8, 19)), ((8, 11), (8, 18)), ((8, 11), (8, 14)), ((8, 11), (8, 28)), ((1, 9), (1, 17)), ((1, 2), (1, 9)), ((22, 28), (22, 29)), ((2, 3), (2, 9)), ((10, 13), (10, 18)), ((10, 12), (10, 18)), ((10, 17), (10, 18)), ((10, 11), (10, 18)), ((10, 14), (10, 18)), ((14, 18), (14, 32)), ((14, 15), (14, 32)), ((14, 32), (14, 36)), ((13, 14), (13, 15)), ((13, 14), (13, 16)), ((13, 14), (13, 18)), ((13, 14), (13, 32)), ((10, 12), (10, 13)), ((10, 13), (10, 17)), ((10, 11), (10, 13)), ((10, 13), (10, 14)), ((8, 10), (8, 16)), ((8, 16), (8, 19)), ((8, 16), (8, 18)), ((8, 14), (8, 16)), ((8, 16), (8, 28)), ((15, 32), (15, 36)), ((15, 36), (15, 37)), ((6, 8), (6, 28)), ((6, 17), (6, 28)), ((6, 7), (6, 28)), ((6, 28), (6, 42)), ((23, 24), (23, 25)), ((7, 8), (7, 28)), ((7, 8), (7, 16)), ((7, 8), (7, 44)), ((11, 12), (11, 18)), ((5, 6), (5, 42)), ((5, 6), (5, 17)), ((5, 6), (5, 9)), ((6, 8), (6, 17)), ((6, 7), (6, 8)), ((6, 8), (6, 42)), ((7, 16), (7, 28)), ((7, 28), (7, 44)), ((12, 13), (12, 14)), ((12, 14), (12, 18)), ((15, 32), (15, 37)), ((16, 17), (16, 32)), ((16, 32), (16, 33)), ((16, 32), (16, 37)), ((16, 18), (16, 32)), ((19, 20), (19, 43)), ((14, 15), (14, 18)), ((14, 18), (14, 36)), ((13, 15), (13, 16)), ((13, 15), (13, 18)), ((13, 15), (13, 32)), ((13, 16), (13, 18)), ((13, 16), (13, 32)), ((8, 10), (8, 19)), ((8, 10), (8, 18)), ((8, 10), (8, 14)), ((8, 10), (8, 28)), ((1, 2), (1, 17)), ((5, 17), (5, 42)), ((5, 9), (5, 42)), ((4, 5), (4, 42)), ((6, 7), (6, 17)), ((6, 17), (6, 42)), ((10, 12), (10, 17)), ((10, 11), (10, 12)), ((10, 12), (10, 14)), ((8, 18), (8, 19)), ((8, 14), (8, 19)), ((8, 19), (8, 28)), ((14, 15), (14, 36)), ((20, 21), (20, 43)), ((6, 7), (6, 42)), ((10, 11), (10, 17)), ((10, 14), (10, 17)), ((5, 9), (5, 17)), ((7, 16), (7, 44)), ((12, 13), (12, 18)), ((13, 18), (13, 32)), ((10, 11), (10, 14)), ((16, 17), (16, 33)), ((16, 17), (16, 37)), ((16, 17), (16, 18)), ((16, 33), (16, 37)), ((16, 18), (16, 33)), ((8, 14), (8, 18)), ((8, 18), (8, 28)), ((16, 18), (16, 37)), ((8, 14), (8, 28))]"
1,"{0: [1], 1: [2], 'Matched': True}",128,"[(40, 46), (38, 46), (46, 56), (46, 54), (32, 46), (46, 57), (46, 58), (46, 55), (23, 46), (50, 56), (41, 50), (45, 50), (50, 54), (50, 57), (50, 58), (50, 55), (17, 22), (22, 35), (13, 22), (22, 36), (1, 28), (64, 66), (0, 4), (4, 28), (34, 59), (21, 34), (40, 48), (38, 48), (32, 48), (23, 48), (31, 40), (40, 47), (40, 45), (37, 40), (40, 49), (31, 41), (31, 42), (21, 31), (31, 43), (31, 44), (17, 24), (13, 24), (24, 56), (24, 54), (24, 57), (24, 58), (24, 55), (64, 67), (62, 64), (41, 52), (45, 52), (8, 15), (17, 21), (17, 26), (12, 17), (17, 25), (17, 23), (17, 27), (35, 38), (35, 37), (29, 35), (35, 39), (8, 13), (8, 14), (8, 12), (8, 16), (6, 8), (13, 21), (13, 26), (13, 25), (13, 23), (13, 27), (12, 19), (38, 47), (30, 38), (38, 45), (38, 49), (41, 51), (45, 51), (42, 56), (18, 56), (59, 61), (47, 59), (59, 60), (36, 59), (43, 59), (25, 59), (55, 59), (39, 59), (26, 61), (32, 47), (23, 47), (41, 53), (45, 53), (37, 41), (37, 42), (42, 54), (42, 57), (42, 58), (42, 55), (21, 30), (21, 33), (21, 29), (21, 32), (6, 11), (30, 37), (30, 39), (26, 60), (60, 63), (60, 62), (32, 45), (23, 45), (29, 36), (12, 18), (12, 20), (6, 10), (18, 54), (18, 57), (18, 58), (18, 55), (37, 43), (37, 44), (6, 9), (32, 49), (23, 49), (9, 28), (3, 5), (0, 3)]","[((13, 14), (14, 16)), ((12, 14), (14, 16)), ((14, 16), (16, 32)), ((14, 16), (16, 17)), ((10, 14), (14, 16)), ((14, 16), (16, 33)), ((14, 16), (16, 37)), ((14, 16), (16, 18)), ((8, 14), (14, 16)), ((15, 16), (16, 32)), ((13, 15), (15, 16)), ((14, 15), (15, 16)), ((15, 16), (16, 17)), ((15, 16), (16, 33)), ((15, 16), (16, 37)), ((15, 16), (16, 18)), ((7, 8), (8, 11)), ((8, 11), (11, 12)), ((6, 8), (8, 11)), ((8, 11), (11, 18)), ((1, 9), (9, 17)), ((21, 22), (22, 28)), ((1, 2), (2, 9)), ((2, 9), (9, 17)), ((10, 18), (18, 19)), ((8, 10), (10, 18)), ((13, 14), (14, 32)), ((12, 14), (14, 32)), ((10, 14), (14, 32)), ((8, 14), (14, 32)), ((10, 13), (13, 14)), ((13, 14), (14, 18)), ((13, 14), (14, 15)), ((12, 13), (13, 14)), ((13, 14), (14, 36)), ((10, 13), (13, 15)), ((10, 13), (13, 16)), ((8, 10), (10, 13)), ((10, 13), (13, 18)), ((10, 13), (13, 32)), ((7, 8), (8, 16)), ((6, 8), (8, 16)), ((8, 16), (16, 32)), ((8, 16), (16, 17)), ((8, 16), (16, 33)), ((8, 16), (16, 37)), ((8, 16), (16, 18)), ((21, 22), (22, 29)), ((20, 21), (21, 22)), ((13, 15), (15, 36)), ((14, 15), (15, 36)), ((5, 6), (6, 28)), ((7, 8), (8, 10)), ((7, 8), (8, 19)), ((6, 7), (7, 8)), ((7, 8), (8, 18)), ((7, 8), (8, 14)), ((7, 8), (8, 28)), ((11, 12), (12, 14)), ((11, 12), (12, 13)), ((10, 11), (11, 12)), ((11, 12), (12, 18)), ((5, 6), (6, 8)), ((5, 6), (6, 17)), ((5, 6), (6, 7)), ((5, 6), (6, 42)), ((4, 5), (5, 6)), ((6, 8), (8, 10)), ((6, 8), (8, 19)), ((6, 8), (8, 18)), ((6, 8), (8, 14)), ((6, 8), (8, 28)), ((6, 7), (7, 28)), ((12, 14), (14, 18)), ((10, 12), (12, 14)), ((12, 14), (14, 15)), ((12, 14), (14, 36)), ((13, 15), (15, 32)), ((14, 15), (15, 32)), ((13, 16), (16, 32)), ((7, 16), (16, 32)), ((18, 19), (19, 43)), ((14, 18), (18, 19)), ((18, 19), (19, 20)), ((11, 18), (18, 19)), ((13, 18), (18, 19)), ((8, 18), (18, 19)), ((16, 18), (18, 19)), ((12, 18), (18, 19)), ((8, 19), (19, 43)), ((10, 14), (14, 18)), ((8, 14), (14, 18)), ((13, 15), (15, 37)), ((14, 15), (15, 37)), ((12, 13), (13, 15)), ((12, 13), (13, 16)), ((13, 16), (16, 17)), ((13, 16), (16, 33)), ((13, 16), (16, 37)), ((13, 16), (16, 18)), ((8, 10), (10, 12)), ((8, 10), (10, 17)), ((8, 10), (10, 11)), ((8, 10), (10, 14)), ((4, 5), (5, 42)), ((10, 12), (12, 13)), ((10, 12), (12, 18)), ((8, 19), (19, 20)), ((19, 20), (20, 43)), ((19, 20), (20, 21)), ((10, 14), (14, 15)), ((8, 14), (14, 15)), ((10, 11), (11, 18)), ((6, 7), (7, 16)), ((6, 7), (7, 44)), ((4, 5), (5, 17)), ((7, 16), (16, 17)), ((7, 16), (16, 33)), ((7, 16), (16, 37)), ((7, 16), (16, 18)), ((12, 13), (13, 18)), ((12, 13), (13, 32)), ((4, 5), (5, 9)), ((10, 14), (14, 36)), ((8, 14), (14, 36)), ((5, 9), (9, 17)), ((2, 3), (3, 49)), ((1, 2), (2, 3))]"
2,"{0: [1], 2: [1], 'Matched': True}",79,"[(46, 50), (24, 46), (42, 46), (18, 46), (24, 50), (42, 50), (18, 50), (22, 29), (1, 4), (1, 9), (15, 66), (19, 66), (27, 66), (4, 9), (34, 47), (34, 36), (34, 43), (25, 34), (34, 55), (34, 39), (48, 51), (48, 56), (44, 48), (38, 40), (32, 40), (23, 40), (31, 37), (24, 42), (18, 24), (49, 52), (15, 19), (15, 27), (13, 17), (30, 35), (19, 27), (32, 38), (23, 38), (51, 56), (44, 51), (44, 56), (26, 59), (61, 63), (36, 47), (43, 47), (25, 47), (47, 55), (39, 47), (53, 58), (41, 45), (18, 42), (2, 14), (2, 33), (2, 10), (2, 54), (2, 28), (7, 11), (11, 16), (7, 16), (14, 33), (10, 14), (14, 54), (14, 28), (36, 43), (25, 36), (36, 55), (36, 39), (10, 33), (33, 54), (28, 33), (10, 54), (10, 28), (25, 43), (43, 55), (39, 43), (28, 54), (23, 32), (25, 55), (25, 39), (39, 55)]","[((14, 16), (15, 16)), ((8, 16), (14, 16)), ((13, 16), (14, 16)), ((7, 16), (14, 16)), ((8, 16), (15, 16)), ((13, 16), (15, 16)), ((7, 16), (15, 16)), ((8, 11), (10, 11)), ((1, 9), (2, 9)), ((1, 9), (5, 9)), ((6, 28), (22, 28)), ((7, 28), (22, 28)), ((8, 28), (22, 28)), ((2, 9), (5, 9)), ((10, 18), (14, 18)), ((10, 18), (11, 18)), ((10, 18), (13, 18)), ((8, 18), (10, 18)), ((10, 18), (16, 18)), ((10, 18), (12, 18)), ((14, 32), (15, 32)), ((14, 32), (16, 32)), ((13, 32), (14, 32)), ((12, 14), (13, 14)), ((10, 14), (13, 14)), ((8, 14), (13, 14)), ((10, 13), (12, 13)), ((8, 16), (13, 16)), ((7, 16), (8, 16)), ((14, 36), (15, 36)), ((6, 28), (7, 28)), ((6, 28), (8, 28)), ((6, 8), (7, 8)), ((10, 12), (11, 12)), ((7, 28), (8, 28)), ((10, 14), (12, 14)), ((8, 14), (12, 14)), ((15, 32), (16, 32)), ((13, 32), (15, 32)), ((13, 32), (16, 32)), ((8, 19), (18, 19)), ((19, 43), (20, 43)), ((11, 18), (14, 18)), ((13, 18), (14, 18)), ((8, 18), (14, 18)), ((14, 18), (16, 18)), ((12, 18), (14, 18)), ((15, 37), (16, 37)), ((13, 15), (14, 15)), ((7, 16), (13, 16)), ((1, 17), (6, 17)), ((1, 17), (10, 17)), ((1, 17), (5, 17)), ((1, 17), (16, 17)), ((1, 17), (9, 17)), ((4, 42), (5, 42)), ((5, 42), (6, 42)), ((4, 42), (6, 42)), ((6, 17), (10, 17)), ((5, 17), (6, 17)), ((6, 17), (16, 17)), ((6, 17), (9, 17)), ((11, 18), (13, 18)), ((8, 18), (11, 18)), ((11, 18), (16, 18)), ((11, 18), (12, 18)), ((5, 17), (10, 17)), ((10, 17), (16, 17)), ((9, 17), (10, 17)), ((5, 17), (16, 17)), ((5, 17), (9, 17)), ((8, 18), (13, 18)), ((13, 18), (16, 18)), ((12, 18), (13, 18)), ((9, 17), (16, 17)), ((8, 14), (10, 14)), ((8, 18), (16, 18)), ((8, 18), (12, 18)), ((12, 18), (16, 18))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",47,"[(45, 46, 50), (46, 48, 56), (40, 42, 46), (23, 24, 46), (46, 47, 55), (50, 51, 56), (50, 53, 58), (41, 42, 50), (21, 22, 29), (22, 25, 36), (0, 1, 4), (1, 2, 28), (31, 34, 43), (32, 34, 47), (21, 25, 34), (30, 34, 39), (29, 34, 36), (40, 44, 48), (45, 48, 51), (31, 32, 40), (37, 38, 40), (40, 43, 47), (40, 41, 45), (30, 31, 37), (17, 18, 24), (24, 25, 55), (45, 49, 52), (13, 15, 27), (12, 15, 19), (12, 13, 17), (17, 19, 27), (29, 30, 35), (35, 36, 39), (8, 11, 16), (8, 10, 14), (38, 39, 47), (30, 32, 38), (41, 44, 51), (42, 44, 56), (25, 26, 59), (60, 61, 63), (23, 25, 47), (42, 43, 55), (21, 23, 32), (6, 7, 11), (9, 10, 28), (37, 39, 43)]","[((14, 15), (14, 16), (15, 16)), ((14, 16), (14, 32), (16, 32)), ((13, 14), (13, 16), (14, 16)), ((8, 14), (8, 16), (14, 16)), ((14, 16), (14, 18), (16, 18)), ((15, 16), (15, 32), (16, 32)), ((15, 16), (15, 37), (16, 37)), ((13, 15), (13, 16), (15, 16)), ((8, 10), (8, 11), (10, 11)), ((8, 11), (8, 18), (11, 18)), ((1, 2), (1, 9), (2, 9)), ((1, 9), (1, 17), (9, 17)), ((10, 13), (10, 18), (13, 18)), ((10, 14), (10, 18), (14, 18)), ((8, 10), (8, 18), (10, 18)), ((10, 12), (10, 18), (12, 18)), ((10, 11), (10, 18), (11, 18)), ((13, 14), (13, 32), (14, 32)), ((14, 15), (14, 32), (15, 32)), ((10, 13), (10, 14), (13, 14)), ((12, 13), (12, 14), (13, 14)), ((13, 14), (13, 18), (14, 18)), ((13, 14), (13, 15), (14, 15)), ((10, 12), (10, 13), (12, 13)), ((7, 8), (7, 16), (8, 16)), ((8, 16), (8, 18), (16, 18)), ((14, 15), (14, 36), (15, 36)), ((6, 8), (6, 28), (8, 28)), ((6, 7), (6, 28), (7, 28)), ((6, 7), (6, 8), (7, 8)), ((7, 8), (7, 28), (8, 28)), ((10, 11), (10, 12), (11, 12)), ((11, 12), (11, 18), (12, 18)), ((5, 6), (5, 42), (6, 42)), ((5, 6), (5, 17), (6, 17)), ((12, 14), (12, 18), (14, 18)), ((10, 12), (10, 14), (12, 14)), ((13, 15), (13, 32), (15, 32)), ((13, 16), (13, 32), (16, 32)), ((8, 18), (8, 19), (18, 19)), ((19, 20), (19, 43), (20, 43)), ((8, 14), (8, 18), (14, 18)), ((13, 16), (13, 18), (16, 18)), ((8, 10), (8, 14), (10, 14)), ((4, 5), (4, 42), (5, 42)), ((5, 9), (5, 17), (9, 17)), ((12, 13), (12, 18), (13, 18))]"
