,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",96,"[(12, 16), (13, 16), (14, 16), (15, 16), (17, 20), (19, 20), (18, 20), (0, 1), (0, 2), (8, 10), (8, 9), (8, 11), (22, 25), (25, 26), (23, 25), (24, 25), (25, 27), (21, 25), (46, 48), (45, 46), (46, 49), (22, 26), (22, 23), (22, 24), (22, 27), (21, 22), (45, 48), (48, 49), (9, 10), (10, 11), (45, 49), (3, 4), (17, 19), (17, 18), (23, 26), (24, 26), (26, 27), (21, 26), (12, 13), (12, 14), (12, 15), (37, 38), (18, 19), (54, 55), (55, 57), (55, 58), (55, 56), (1, 2), (35, 36), (42, 43), (43, 44), (41, 43), (40, 43), (29, 34), (29, 31), (29, 32), (29, 33), (29, 30), (31, 34), (32, 34), (33, 34), (30, 34), (23, 24), (23, 27), (21, 23), (13, 14), (13, 15), (54, 57), (54, 58), (54, 56), (52, 53), (50, 53), (51, 53), (24, 27), (21, 24), (9, 11), (31, 32), (31, 33), (30, 31), (42, 44), (41, 42), (40, 42), (50, 52), (51, 52), (32, 33), (30, 32), (21, 27), (41, 44), (40, 44), (50, 51), (40, 41), (57, 58), (56, 57), (30, 33), (56, 58), (14, 15)]","[((6, 7), (6, 42)), ((6, 8), (6, 42)), ((6, 17), (6, 42)), ((6, 28), (6, 42)), ((7, 8), (7, 44)), ((7, 28), (7, 44)), ((7, 16), (7, 44)), ((1, 2), (1, 9)), ((1, 2), (1, 17)), ((5, 6), (5, 17)), ((5, 6), (5, 9)), ((5, 6), (5, 42)), ((8, 11), (8, 18)), ((8, 18), (8, 19)), ((8, 14), (8, 18)), ((8, 16), (8, 18)), ((8, 18), (8, 28)), ((8, 10), (8, 18)), ((14, 16), (14, 32)), ((14, 15), (14, 16)), ((14, 16), (14, 36)), ((8, 11), (8, 19)), ((8, 11), (8, 14)), ((8, 11), (8, 16)), ((8, 11), (8, 28)), ((8, 10), (8, 11)), ((14, 15), (14, 32)), ((14, 32), (14, 36)), ((5, 9), (5, 17)), ((5, 17), (5, 42)), ((14, 15), (14, 36)), ((2, 3), (2, 9)), ((7, 8), (7, 28)), ((7, 8), (7, 16)), ((8, 14), (8, 19)), ((8, 16), (8, 19)), ((8, 19), (8, 28)), ((8, 10), (8, 19)), ((6, 7), (6, 8)), ((6, 7), (6, 17)), ((6, 7), (6, 28)), ((12, 13), (12, 14)), ((7, 16), (7, 28)), ((16, 17), (16, 18)), ((16, 18), (16, 33)), ((16, 18), (16, 37)), ((16, 18), (16, 32)), ((1, 9), (1, 17)), ((11, 12), (11, 18)), ((13, 16), (13, 18)), ((13, 18), (13, 32)), ((13, 15), (13, 18)), ((13, 14), (13, 18)), ((10, 11), (10, 18)), ((10, 11), (10, 13)), ((10, 11), (10, 14)), ((10, 11), (10, 17)), ((10, 11), (10, 12)), ((10, 13), (10, 18)), ((10, 14), (10, 18)), ((10, 17), (10, 18)), ((10, 12), (10, 18)), ((8, 14), (8, 16)), ((8, 14), (8, 28)), ((8, 10), (8, 14)), ((6, 8), (6, 17)), ((6, 8), (6, 28)), ((16, 17), (16, 33)), ((16, 17), (16, 37)), ((16, 17), (16, 32)), ((15, 36), (15, 37)), ((15, 16), (15, 37)), ((15, 32), (15, 37)), ((8, 16), (8, 28)), ((8, 10), (8, 16)), ((5, 9), (5, 42)), ((10, 13), (10, 14)), ((10, 13), (10, 17)), ((10, 12), (10, 13)), ((13, 16), (13, 32)), ((13, 15), (13, 16)), ((13, 14), (13, 16)), ((15, 16), (15, 36)), ((15, 32), (15, 36)), ((10, 14), (10, 17)), ((10, 12), (10, 14)), ((8, 10), (8, 28)), ((13, 15), (13, 32)), ((13, 14), (13, 32)), ((15, 16), (15, 32)), ((13, 14), (13, 15)), ((16, 33), (16, 37)), ((16, 32), (16, 33)), ((10, 12), (10, 17)), ((16, 32), (16, 37)), ((6, 17), (6, 28))]"
1,"{0: [1], 1: [2], 'Matched': True}",111,"[(8, 16), (12, 20), (0, 3), (0, 4), (6, 8), (6, 10), (6, 9), (6, 11), (8, 12), (8, 13), (8, 14), (8, 15), (17, 25), (13, 25), (25, 59), (38, 46), (46, 55), (23, 46), (46, 54), (32, 46), (46, 57), (40, 46), (46, 58), (46, 56), (17, 22), (22, 36), (13, 22), (22, 35), (38, 48), (23, 48), (32, 48), (40, 48), (38, 45), (23, 45), (45, 53), (45, 52), (32, 45), (45, 50), (45, 51), (40, 45), (3, 5), (17, 26), (12, 17), (17, 23), (17, 24), (17, 27), (17, 21), (13, 26), (12, 19), (12, 18), (35, 38), (38, 49), (30, 38), (24, 55), (42, 55), (55, 59), (18, 55), (50, 55), (1, 28), (29, 36), (36, 59), (37, 43), (37, 42), (37, 44), (37, 41), (35, 37), (37, 40), (30, 37), (31, 43), (43, 59), (29, 35), (21, 29), (34, 59), (21, 34), (13, 23), (23, 49), (13, 24), (13, 27), (13, 21), (24, 54), (42, 54), (18, 54), (50, 54), (41, 53), (24, 57), (24, 58), (24, 56), (9, 28), (31, 42), (31, 44), (31, 41), (31, 40), (21, 31), (42, 57), (42, 58), (42, 56), (41, 52), (32, 49), (21, 32), (4, 28), (18, 57), (18, 58), (18, 56), (41, 50), (50, 57), (50, 58), (50, 56), (41, 51), (40, 49), (21, 33), (21, 30)]","[((5, 6), (6, 42)), ((6, 7), (7, 44)), ((1, 2), (2, 3)), ((1, 2), (2, 9)), ((4, 5), (5, 6)), ((4, 5), (5, 17)), ((4, 5), (5, 9)), ((4, 5), (5, 42)), ((5, 6), (6, 7)), ((5, 6), (6, 8)), ((5, 6), (6, 17)), ((5, 6), (6, 28)), ((7, 8), (8, 18)), ((6, 8), (8, 18)), ((8, 18), (18, 19)), ((12, 14), (14, 16)), ((14, 16), (16, 18)), ((8, 14), (14, 16)), ((14, 16), (16, 17)), ((10, 14), (14, 16)), ((14, 16), (16, 33)), ((13, 14), (14, 16)), ((14, 16), (16, 37)), ((14, 16), (16, 32)), ((7, 8), (8, 11)), ((8, 11), (11, 18)), ((6, 8), (8, 11)), ((8, 11), (11, 12)), ((12, 14), (14, 32)), ((8, 14), (14, 32)), ((10, 14), (14, 32)), ((13, 14), (14, 32)), ((12, 14), (14, 15)), ((8, 14), (14, 15)), ((14, 15), (15, 37)), ((14, 15), (15, 36)), ((10, 14), (14, 15)), ((14, 15), (15, 16)), ((14, 15), (15, 32)), ((13, 14), (14, 15)), ((2, 3), (3, 49)), ((7, 8), (8, 19)), ((6, 7), (7, 8)), ((7, 8), (8, 14)), ((7, 8), (8, 16)), ((7, 8), (8, 28)), ((7, 8), (8, 10)), ((6, 8), (8, 19)), ((6, 7), (7, 28)), ((6, 7), (7, 16)), ((11, 12), (12, 14)), ((12, 14), (14, 36)), ((10, 12), (12, 14)), ((8, 16), (16, 18)), ((13, 16), (16, 18)), ((16, 18), (18, 19)), ((7, 16), (16, 18)), ((15, 16), (16, 18)), ((1, 9), (9, 17)), ((10, 11), (11, 18)), ((11, 18), (18, 19)), ((12, 13), (13, 18)), ((12, 13), (13, 16)), ((12, 13), (13, 32)), ((12, 13), (13, 15)), ((11, 12), (12, 13)), ((12, 13), (13, 14)), ((10, 12), (12, 13)), ((10, 13), (13, 18)), ((13, 18), (18, 19)), ((10, 11), (11, 12)), ((8, 10), (10, 11)), ((10, 18), (18, 19)), ((8, 10), (10, 18)), ((6, 8), (8, 14)), ((8, 14), (14, 36)), ((6, 8), (8, 16)), ((6, 8), (8, 28)), ((6, 8), (8, 10)), ((8, 16), (16, 17)), ((13, 16), (16, 17)), ((7, 16), (16, 17)), ((15, 16), (16, 17)), ((13, 15), (15, 37)), ((8, 16), (16, 33)), ((8, 16), (16, 37)), ((8, 16), (16, 32)), ((5, 9), (9, 17)), ((10, 13), (13, 16)), ((10, 13), (13, 32)), ((10, 13), (13, 15)), ((10, 13), (13, 14)), ((8, 10), (10, 13)), ((13, 16), (16, 33)), ((13, 16), (16, 37)), ((13, 16), (16, 32)), ((13, 15), (15, 36)), ((10, 14), (14, 36)), ((8, 10), (10, 14)), ((2, 9), (9, 17)), ((7, 16), (16, 33)), ((7, 16), (16, 37)), ((7, 16), (16, 32)), ((13, 15), (15, 16)), ((15, 16), (16, 33)), ((15, 16), (16, 37)), ((15, 16), (16, 32)), ((13, 15), (15, 32)), ((13, 14), (14, 36)), ((8, 10), (10, 17)), ((8, 10), (10, 12))]"
2,"{0: [1], 2: [1], 'Matched': True}",62,"[(11, 16), (25, 55), (25, 36), (25, 43), (25, 34), (24, 46), (42, 46), (18, 46), (46, 50), (22, 29), (44, 48), (48, 51), (48, 56), (10, 54), (10, 28), (10, 33), (2, 10), (10, 14), (41, 45), (13, 17), (26, 59), (23, 38), (32, 38), (38, 40), (19, 27), (15, 19), (36, 55), (43, 55), (34, 55), (1, 9), (1, 4), (36, 43), (34, 36), (31, 37), (34, 43), (23, 32), (23, 40), (28, 54), (33, 54), (2, 54), (14, 54), (53, 58), (24, 42), (18, 24), (24, 50), (4, 9), (18, 42), (42, 50), (49, 52), (32, 40), (28, 33), (2, 28), (14, 28), (15, 27), (44, 51), (44, 56), (18, 50), (30, 35), (2, 33), (14, 33), (51, 56), (2, 14)]","[((5, 42), (6, 42)), ((8, 18), (16, 18)), ((8, 18), (11, 18)), ((8, 18), (13, 18)), ((8, 18), (10, 18)), ((8, 16), (14, 16)), ((13, 16), (14, 16)), ((7, 16), (14, 16)), ((14, 16), (15, 16)), ((8, 11), (10, 11)), ((13, 32), (14, 32)), ((14, 32), (15, 32)), ((14, 32), (16, 32)), ((5, 17), (16, 17)), ((5, 17), (9, 17)), ((5, 17), (10, 17)), ((1, 17), (5, 17)), ((5, 17), (6, 17)), ((13, 15), (14, 15)), ((6, 8), (7, 8)), ((8, 19), (18, 19)), ((8, 14), (12, 14)), ((10, 14), (12, 14)), ((12, 14), (13, 14)), ((7, 28), (8, 28)), ((6, 28), (7, 28)), ((11, 18), (16, 18)), ((13, 18), (16, 18)), ((10, 18), (16, 18)), ((1, 9), (5, 9)), ((1, 9), (2, 9)), ((11, 18), (13, 18)), ((10, 18), (11, 18)), ((10, 13), (12, 13)), ((10, 18), (13, 18)), ((8, 14), (10, 14)), ((8, 14), (13, 14)), ((9, 17), (16, 17)), ((10, 17), (16, 17)), ((1, 17), (16, 17)), ((6, 17), (16, 17)), ((15, 37), (16, 37)), ((8, 16), (13, 16)), ((7, 16), (8, 16)), ((8, 16), (15, 16)), ((2, 9), (5, 9)), ((7, 16), (13, 16)), ((13, 16), (15, 16)), ((14, 36), (15, 36)), ((10, 14), (13, 14)), ((9, 17), (10, 17)), ((1, 17), (9, 17)), ((6, 17), (9, 17)), ((6, 28), (8, 28)), ((13, 32), (15, 32)), ((13, 32), (16, 32)), ((7, 16), (15, 16)), ((10, 12), (11, 12)), ((1, 17), (10, 17)), ((6, 17), (10, 17)), ((15, 32), (16, 32)), ((1, 17), (6, 17))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",37,"[(8, 11, 16), (0, 1, 4), (8, 10, 14), (22, 25, 36), (25, 26, 59), (24, 25, 55), (21, 25, 34), (46, 48, 56), (45, 46, 50), (23, 24, 46), (40, 42, 46), (21, 22, 29), (45, 48, 51), (40, 44, 48), (9, 10, 28), (45, 49, 52), (40, 41, 45), (12, 13, 17), (17, 19, 27), (17, 18, 24), (12, 15, 19), (37, 38, 40), (30, 32, 38), (42, 43, 55), (1, 2, 28), (29, 34, 36), (30, 31, 37), (31, 34, 43), (29, 30, 35), (21, 23, 32), (13, 15, 27), (50, 53, 58), (31, 32, 40), (42, 44, 56), (41, 42, 50), (41, 44, 51), (50, 51, 56)]","[((5, 6), (5, 42), (6, 42)), ((1, 2), (1, 9), (2, 9)), ((5, 6), (5, 17), (6, 17)), ((8, 11), (8, 18), (11, 18)), ((8, 18), (8, 19), (18, 19)), ((8, 16), (8, 18), (16, 18)), ((8, 10), (8, 18), (10, 18)), ((14, 16), (14, 32), (16, 32)), ((14, 15), (14, 16), (15, 16)), ((8, 14), (8, 16), (14, 16)), ((13, 14), (13, 16), (14, 16)), ((8, 10), (8, 11), (10, 11)), ((14, 15), (14, 32), (15, 32)), ((13, 14), (13, 32), (14, 32)), ((5, 9), (5, 17), (9, 17)), ((14, 15), (14, 36), (15, 36)), ((13, 14), (13, 15), (14, 15)), ((6, 7), (6, 8), (7, 8)), ((7, 8), (7, 28), (8, 28)), ((7, 8), (7, 16), (8, 16)), ((6, 7), (6, 28), (7, 28)), ((12, 13), (12, 14), (13, 14)), ((10, 12), (10, 14), (12, 14)), ((13, 16), (13, 18), (16, 18)), ((1, 9), (1, 17), (9, 17)), ((10, 11), (10, 18), (11, 18)), ((10, 12), (10, 13), (12, 13)), ((10, 13), (10, 18), (13, 18)), ((10, 11), (10, 12), (11, 12)), ((8, 10), (8, 14), (10, 14)), ((6, 8), (6, 28), (8, 28)), ((15, 16), (15, 37), (16, 37)), ((10, 13), (10, 14), (13, 14)), ((13, 16), (13, 32), (16, 32)), ((13, 15), (13, 16), (15, 16)), ((13, 15), (13, 32), (15, 32)), ((15, 16), (15, 32), (16, 32))]"
