,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",16,"[(14, 15), (13, 15), (12, 14), (13, 14), (25, 26), (24, 26), (21, 26), (22, 26), (24, 25), (21, 25), (22, 25), (21, 24), (22, 24), (3, 4), (10, 11), (17, 19)]","[[[6, 28], [6, 17]], [[6, 28], [6, 8]], [[6, 17], [6, 7]], [[6, 17], [6, 8]], [[8, 19], [8, 18]], [[8, 19], [8, 16]], [[8, 19], [8, 10]], [[8, 19], [8, 11]], [[8, 18], [8, 16]], [[8, 18], [8, 10]], [[8, 18], [8, 11]], [[8, 16], [8, 10]], [[8, 16], [8, 11]], [[2, 3], [2, 9]], [[5, 17], [5, 42]], [[7, 28], [7, 8]]]"
1,"{0: [1], 1: [2], 'Matched': True}",12,"[(13, 26), (13, 25), (13, 24), (13, 21), (13, 22), (17, 26), (17, 25), (17, 24), (17, 21), (17, 22), (3, 5), (6, 10)]","[[[6, 8], [8, 19]], [[6, 8], [8, 18]], [[6, 8], [8, 16]], [[6, 8], [8, 10]], [[6, 8], [8, 11]], [[8, 19], [7, 8]], [[7, 8], [8, 18]], [[7, 8], [8, 16]], [[7, 8], [8, 10]], [[7, 8], [8, 11]], [[2, 3], [3, 49]], [[5, 17], [4, 5]]]"
2,"{0: [1], 2: [1], 'Matched': True}",2,"[(10, 14), (1, 4)]","[[[6, 17], [5, 17]], [[2, 9], [1, 9]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",4,"[(12, 13, 17), (21, 22, 29), (6, 7, 11), (12, 15, 19)]","[[[6, 7], [6, 8], [7, 8]], [[8, 10], [8, 11], [10, 11]], [[5, 42], [4, 42], [4, 5]], [[6, 28], [6, 7], [7, 28]]]"
