,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",40,"[(8, 11), (8, 9), (54, 57), (57, 58), (55, 57), (56, 57), (30, 33), (32, 33), (33, 34), (29, 33), (43, 44), (41, 43), (51, 52), (51, 53), (10, 11), (9, 11), (13, 14), (54, 58), (54, 55), (54, 56), (55, 58), (56, 58), (24, 27), (21, 24), (29, 32), (23, 27), (55, 56), (18, 20), (18, 19), (50, 52), (45, 47), (52, 53), (17, 20), (19, 20), (47, 49), (47, 48), (25, 27), (21, 27), (46, 49), (48, 49)]","[[[5, 6], [5, 42]], [[5, 6], [5, 9]], [[16, 33], [16, 17]], [[16, 33], [16, 37]], [[16, 33], [16, 18]], [[16, 33], [16, 32]], [[10, 12], [10, 17]], [[10, 17], [10, 14]], [[10, 17], [10, 18]], [[10, 17], [10, 11]], [[13, 18], [13, 32]], [[13, 18], [13, 15]], [[15, 32], [15, 36]], [[15, 32], [15, 37]], [[5, 42], [5, 17]], [[5, 42], [5, 9]], [[6, 17], [6, 8]], [[16, 17], [16, 37]], [[16, 17], [16, 18]], [[16, 17], [16, 32]], [[16, 37], [16, 18]], [[16, 37], [16, 32]], [[8, 16], [8, 28]], [[8, 16], [8, 10]], [[10, 14], [10, 11]], [[8, 14], [8, 28]], [[16, 18], [16, 32]], [[7, 16], [7, 44]], [[7, 16], [7, 28]], [[15, 16], [15, 36]], [[14, 15], [14, 18]], [[15, 36], [15, 37]], [[7, 44], [7, 8]], [[7, 44], [7, 28]], [[14, 18], [14, 36]], [[14, 18], [14, 32]], [[8, 28], [8, 18]], [[8, 28], [8, 10]], [[14, 16], [14, 36]], [[14, 36], [14, 32]]]"
1,"{0: [1], 1: [2], 'Matched': True}",62,"[(6, 8), (8, 13), (42, 57), (24, 57), (18, 57), (50, 57), (46, 57), (21, 30), (30, 37), (21, 33), (43, 59), (37, 44), (42, 54), (42, 58), (37, 42), (1, 28), (24, 54), (18, 54), (50, 54), (46, 54), (24, 58), (18, 58), (46, 58), (24, 56), (13, 24), (6, 10), (39, 59), (32, 45), (32, 46), (32, 49), (32, 48), (38, 45), (35, 38), (38, 46), (38, 49), (38, 48), (23, 45), (17, 23), (23, 49), (23, 48), (13, 23), (18, 55), (50, 55), (55, 59), (18, 56), (6, 9), (40, 49), (34, 59), (45, 53), (41, 52), (47, 59), (35, 37), (13, 27), (25, 59), (36, 59), (41, 53), (17, 25), (13, 25), (17, 21), (13, 21), (21, 29), (37, 41)]","[[[5, 6], [4, 5]], [[5, 6], [6, 8]], [[16, 33], [13, 16]], [[16, 33], [8, 16]], [[16, 33], [7, 16]], [[16, 33], [15, 16]], [[16, 33], [14, 16]], [[10, 12], [8, 10]], [[10, 12], [12, 13]], [[10, 17], [8, 10]], [[13, 18], [18, 19]], [[13, 32], [12, 13]], [[13, 16], [16, 17]], [[13, 16], [16, 37]], [[13, 16], [12, 13]], [[1, 9], [9, 17]], [[16, 17], [8, 16]], [[16, 17], [7, 16]], [[16, 17], [15, 16]], [[16, 17], [14, 16]], [[16, 37], [8, 16]], [[16, 37], [7, 16]], [[16, 37], [14, 16]], [[8, 16], [16, 32]], [[8, 16], [6, 8]], [[5, 17], [4, 5]], [[12, 18], [18, 19]], [[10, 14], [14, 15]], [[10, 14], [14, 16]], [[10, 14], [14, 36]], [[10, 14], [14, 32]], [[12, 14], [14, 15]], [[12, 14], [11, 12]], [[12, 14], [14, 16]], [[12, 14], [14, 36]], [[12, 14], [14, 32]], [[8, 14], [14, 15]], [[8, 14], [7, 8]], [[8, 14], [14, 36]], [[8, 14], [14, 32]], [[8, 14], [6, 8]], [[16, 18], [7, 16]], [[16, 18], [15, 16]], [[16, 18], [18, 19]], [[7, 16], [16, 32]], [[4, 5], [5, 9]], [[13, 14], [14, 36]], [[10, 18], [18, 19]], [[14, 15], [15, 37]], [[15, 36], [13, 15]], [[14, 18], [18, 19]], [[11, 12], [12, 13]], [[8, 28], [6, 8]], [[18, 19], [8, 18]], [[18, 19], [11, 18]], [[15, 37], [13, 15]], [[8, 18], [7, 8]], [[8, 18], [6, 8]], [[7, 8], [8, 10]], [[8, 10], [6, 8]], [[8, 10], [10, 11]], [[13, 15], [12, 13]]]"
2,"{0: [1], 2: [1], 'Matched': True}",27,"[(14, 33), (33, 54), (10, 33), (28, 33), (34, 43), (25, 43), (36, 43), (24, 42), (18, 42), (1, 9), (14, 54), (14, 28), (10, 54), (28, 54), (24, 50), (39, 55), (25, 39), (32, 40), (23, 38), (23, 40), (34, 55), (36, 55), (18, 50), (18, 46), (36, 47), (25, 36), (13, 17)]","[[[10, 17], [6, 17]], [[10, 17], [16, 17]], [[10, 17], [5, 17]], [[10, 17], [9, 17]], [[13, 18], [10, 18]], [[13, 18], [8, 18]], [[13, 18], [11, 18]], [[13, 16], [8, 16]], [[13, 16], [7, 16]], [[1, 9], [5, 9]], [[6, 17], [16, 17]], [[6, 17], [9, 17]], [[16, 17], [5, 17]], [[16, 17], [9, 17]], [[8, 16], [15, 16]], [[12, 18], [16, 18]], [[12, 18], [8, 18]], [[10, 14], [13, 14]], [[12, 14], [8, 14]], [[8, 14], [13, 14]], [[16, 18], [10, 18]], [[16, 18], [11, 18]], [[7, 16], [15, 16]], [[7, 16], [14, 16]], [[14, 18], [11, 18]], [[8, 18], [11, 18]], [[7, 8], [6, 8]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",34,"[(8, 10, 14), (30, 34, 39), (30, 32, 38), (29, 30, 35), (42, 43, 55), (37, 39, 43), (40, 43, 47), (42, 44, 56), (41, 44, 51), (40, 44, 48), (41, 42, 50), (40, 42, 46), (50, 51, 56), (45, 48, 51), (6, 7, 11), (50, 53, 58), (23, 24, 46), (24, 25, 55), (17, 18, 24), (9, 10, 28), (38, 39, 47), (35, 36, 39), (21, 23, 32), (32, 34, 47), (37, 38, 40), (23, 25, 47), (46, 47, 55), (45, 46, 50), (40, 41, 45), (21, 25, 34), (29, 34, 36), (45, 49, 52), (46, 48, 56), (17, 19, 27)]","[[[5, 6], [5, 17], [6, 17]], [[10, 12], [10, 18], [12, 18]], [[10, 12], [10, 14], [12, 14]], [[10, 12], [10, 11], [11, 12]], [[13, 18], [13, 16], [16, 18]], [[13, 18], [12, 18], [12, 13]], [[13, 18], [13, 14], [14, 18]], [[13, 32], [13, 16], [16, 32]], [[13, 32], [13, 15], [15, 32]], [[13, 32], [13, 14], [14, 32]], [[13, 16], [13, 15], [15, 16]], [[13, 16], [13, 14], [14, 16]], [[15, 32], [15, 16], [16, 32]], [[15, 32], [14, 15], [14, 32]], [[5, 42], [4, 42], [4, 5]], [[16, 37], [15, 16], [15, 37]], [[8, 16], [8, 14], [14, 16]], [[8, 16], [8, 18], [16, 18]], [[8, 16], [7, 16], [7, 8]], [[5, 17], [5, 9], [9, 17]], [[12, 18], [12, 14], [14, 18]], [[12, 18], [11, 12], [11, 18]], [[10, 14], [8, 14], [8, 10]], [[10, 14], [10, 18], [14, 18]], [[12, 14], [12, 13], [13, 14]], [[8, 14], [8, 18], [14, 18]], [[16, 18], [14, 18], [14, 16]], [[15, 16], [14, 15], [14, 16]], [[13, 14], [13, 15], [14, 15]], [[10, 18], [8, 18], [8, 10]], [[10, 18], [10, 11], [11, 18]], [[14, 15], [14, 36], [15, 36]], [[16, 32], [14, 16], [14, 32]], [[8, 28], [7, 8], [7, 28]]]"
