,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",2,"[(51, 53), (75, 76)]","[((15, 32), (15, 37)), ((24, 25), (24, 31))]"
1,"{0: [1], 1: [2], 'Matched': True}",7,"[(31, 41), (51, 90), (41, 51), (0, 4), (41, 53), (68, 75), (68, 76)]","[((10, 13), (13, 15)), ((15, 32), (32, 36)), ((13, 15), (15, 32)), ((1, 2), (2, 9)), ((13, 15), (15, 37)), ((23, 24), (24, 25)), ((23, 24), (24, 31))]"
2,"{0: [1], 2: [1], 'Matched': True}",1,"[(23, 38)]","[((8, 14), (12, 14))]"
