,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [0]}",41,"[(2, 33), (2, 10), (9, 1), (4, 1), (4, 9), (7, 16), (10, 33), (66, 15), (20, 104), (50, 18), (18, 46), (42, 18), (66, 27), (55, 25), (43, 25), (34, 25), (23, 40), (23, 38), (22, 29), (28, 33), (34, 55), (34, 47), (36, 55), (36, 47), (43, 36), (49, 92), (48, 88), (83, 48), (52, 92), (51, 88), (51, 83), (58, 96), (56, 88), (56, 83), (80, 65), (65, 71), (82, 76), (92, 90), (103, 107), (121, 110), (121, 113)]","[[[1, 17], [10, 17]], [[1, 17], [5, 17]], [[5, 9], [1, 9]], [[2, 9], [1, 9]], [[2, 9], [5, 9]], [[4, 42], [6, 42]], [[5, 17], [10, 17]], [[22, 28], [6, 28]], [[7, 44], [43, 44]], [[15, 16], [7, 16]], [[7, 16], [14, 16]], [[13, 16], [7, 16]], [[22, 28], [8, 28]], [[16, 18], [8, 18]], [[13, 18], [8, 18]], [[10, 18], [8, 18]], [[8, 14], [13, 14]], [[8, 14], [12, 14]], [[8, 11], [10, 11]], [[9, 17], [10, 17]], [[10, 18], [16, 18]], [[10, 18], [14, 18]], [[11, 18], [16, 18]], [[11, 18], [14, 18]], [[13, 18], [11, 18]], [[14, 36], [33, 36]], [[14, 32], [30, 32]], [[26, 32], [14, 32]], [[15, 36], [33, 36]], [[15, 32], [30, 32]], [[15, 32], [26, 32]], [[16, 37], [36, 37]], [[16, 32], [30, 32]], [[16, 32], [26, 32]], [[26, 27], [22, 27]], [[22, 27], [23, 27]], [[26, 31], [24, 31]], [[33, 36], [32, 36]], [[40, 48], [47, 48]], [[55, 59], [50, 59]], [[55, 59], [51, 59]]]"
1,"{1: [0], 2: [0, 1]}",43,"[(28, 2, 1), (6, 7, 11), (8, 11, 16), (28, 9, 10), (15, 27, 13), (17, 13, 12), (26, 59, 25), (23, 47, 25), (36, 22, 25), (43, 34, 31), (34, 36, 29), (37, 31, 30), (29, 35, 30), (37, 40, 38), (43, 42, 55), (43, 47, 40), (50, 42, 41), (42, 46, 40), (41, 40, 45), (49, 48, 90), (49, 52, 45), (56, 46, 48), (51, 48, 45), (46, 55, 47), (50, 46, 45), (52, 96, 53), (50, 58, 53), (51, 52, 90), (50, 56, 51), (63, 60, 61), (66, 85, 67), (82, 70, 73), (69, 79, 73), (73, 76, 68), (80, 70, 71), (78, 69, 70), (69, 75, 68), (75, 79, 76), (82, 78, 79), (81, 83, 88), (81, 80, 84), (113, 108, 110), (108, 112, 109)]","[[[9, 17], [1, 17], [1, 9]], [[4, 5], [4, 42], [5, 42]], [[5, 6], [5, 42], [6, 42]], [[9, 17], [5, 9], [5, 17]], [[6, 28], [8, 28], [6, 8]], [[7, 8], [6, 8], [6, 7]], [[8, 19], [18, 19], [8, 18]], [[8, 14], [14, 18], [8, 18]], [[11, 18], [8, 11], [8, 18]], [[13, 18], [10, 18], [10, 13]], [[10, 18], [11, 18], [10, 11]], [[12, 13], [10, 13], [10, 12]], [[10, 11], [11, 12], [10, 12]], [[12, 13], [13, 14], [12, 14]], [[13, 18], [13, 16], [16, 18]], [[13, 18], [14, 18], [13, 14]], [[15, 16], [13, 16], [13, 15]], [[13, 16], [14, 16], [13, 14]], [[13, 15], [13, 14], [14, 15]], [[14, 36], [14, 32], [32, 36]], [[14, 36], [15, 36], [14, 15]], [[16, 32], [14, 16], [14, 32]], [[15, 32], [14, 32], [14, 15]], [[14, 16], [16, 18], [14, 18]], [[15, 16], [14, 16], [14, 15]], [[15, 36], [36, 37], [15, 37]], [[15, 16], [16, 37], [15, 37]], [[15, 32], [15, 36], [32, 36]], [[15, 16], [16, 32], [15, 32]], [[20, 43], [19, 20], [19, 43]], [[22, 28], [28, 29], [22, 29]], [[26, 31], [23, 26], [23, 31]], [[23, 25], [25, 31], [23, 31]], [[23, 31], [24, 31], [23, 24]], [[26, 27], [23, 26], [23, 27]], [[25, 26], [23, 25], [23, 26]], [[23, 25], [24, 25], [23, 24]], [[24, 25], [25, 31], [24, 31]], [[26, 31], [25, 26], [25, 31]], [[26, 30], [26, 32], [30, 32]], [[26, 30], [26, 27], [27, 30]], [[51, 59], [50, 51], [50, 59]], [[50, 51], [51, 52], [50, 52]]]"
2,"{1: [0], 2: [1]}",107,"[(28, 4), (6, 10), (6, 9), (6, 8), (8, 15), (8, 13), (8, 12), (15, 85), (26, 13), (13, 25), (23, 13), (22, 13), (20, 12), (18, 12), (20, 105), (58, 18), (56, 18), (18, 55), (17, 27), (17, 26), (17, 25), (17, 23), (17, 22), (85, 27), (26, 61), (26, 60), (49, 23), (23, 48), (46, 23), (23, 45), (22, 35), (34, 59), (42, 31), (41, 31), (31, 40), (38, 30), (36, 59), (35, 38), (37, 35), (49, 38), (48, 38), (47, 38), (46, 38), (45, 38), (43, 37), (42, 37), (37, 41), (43, 59), (58, 42), (56, 42), (41, 53), (52, 41), (51, 41), (49, 40), (48, 40), (49, 96), (48, 91), (59, 47), (58, 46), (53, 45), (53, 97), (51, 91), (50, 55), (58, 97), (56, 91), (56, 90), (59, 55), (61, 59), (60, 59), (61, 104), (62, 60), (63, 104), (62, 64), (64, 67), (66, 64), (64, 65), (84, 65), (100, 74), (98, 74), (84, 71), (83, 70), (81, 70), (78, 75), (78, 83), (81, 78), (80, 78), (83, 91), (83, 90), (81, 89), (84, 89), (84, 88), (92, 89), (91, 88), (90, 88), (96, 90), (92, 96), (96, 97), (100, 107), (103, 98), (101, 98), (104, 105), (106, 105), (115, 109), (115, 112), (116, 115), (121, 118), (118, 120)]","[[[9, 17], [2, 9]], [[4, 5], [5, 17]], [[4, 5], [5, 9]], [[4, 5], [5, 6]], [[5, 6], [6, 28]], [[5, 6], [6, 8]], [[5, 6], [6, 7]], [[6, 28], [28, 29]], [[8, 19], [6, 8]], [[6, 8], [8, 18]], [[8, 14], [6, 8]], [[8, 11], [6, 8]], [[7, 44], [6, 7]], [[7, 16], [6, 7]], [[7, 44], [44, 45]], [[16, 37], [7, 16]], [[16, 32], [7, 16]], [[7, 16], [16, 18]], [[7, 8], [8, 28]], [[7, 8], [8, 19]], [[7, 8], [8, 18]], [[7, 8], [8, 14]], [[7, 8], [8, 11]], [[28, 29], [8, 28]], [[8, 19], [19, 43]], [[8, 19], [19, 20]], [[14, 36], [8, 14]], [[8, 14], [14, 32]], [[14, 16], [8, 14]], [[8, 14], [14, 15]], [[8, 11], [11, 12]], [[10, 18], [18, 19]], [[13, 16], [10, 13]], [[13, 15], [10, 13]], [[10, 13], [13, 14]], [[12, 14], [10, 12]], [[11, 18], [18, 19]], [[11, 12], [12, 14]], [[12, 13], [11, 12]], [[14, 36], [12, 14]], [[14, 32], [12, 14]], [[14, 18], [12, 14]], [[14, 16], [12, 14]], [[14, 15], [12, 14]], [[13, 18], [12, 13]], [[13, 16], [12, 13]], [[12, 13], [13, 15]], [[13, 18], [18, 19]], [[16, 37], [13, 16]], [[16, 32], [13, 16]], [[13, 15], [15, 37]], [[15, 36], [13, 15]], [[15, 32], [13, 15]], [[14, 36], [13, 14]], [[14, 32], [13, 14]], [[14, 36], [36, 37]], [[14, 32], [32, 85]], [[18, 19], [14, 18]], [[16, 37], [14, 16]], [[15, 37], [14, 15]], [[15, 37], [37, 38]], [[15, 32], [32, 85]], [[15, 16], [16, 18]], [[16, 37], [37, 38]], [[16, 32], [32, 85]], [[16, 32], [32, 36]], [[18, 19], [16, 18]], [[19, 43], [18, 19]], [[19, 20], [18, 19]], [[19, 43], [43, 44]], [[20, 21], [19, 20]], [[20, 43], [43, 44]], [[20, 21], [21, 22]], [[21, 22], [22, 29]], [[22, 28], [21, 22]], [[21, 22], [22, 27]], [[27, 30], [22, 27]], [[39, 47], [23, 39]], [[39, 40], [23, 39]], [[27, 30], [23, 27]], [[26, 32], [23, 26]], [[26, 30], [23, 26]], [[25, 26], [24, 25]], [[25, 26], [26, 32]], [[26, 30], [25, 26]], [[26, 27], [25, 26]], [[26, 32], [32, 85]], [[26, 32], [32, 36]], [[26, 30], [30, 33]], [[27, 30], [30, 33]], [[27, 30], [30, 32]], [[33, 36], [30, 33]], [[32, 85], [30, 32]], [[32, 36], [30, 32]], [[36, 37], [32, 36]], [[33, 36], [36, 37]], [[36, 37], [37, 38]], [[39, 47], [47, 48]], [[40, 48], [39, 40]], [[40, 41], [39, 40]], [[43, 44], [44, 45]], [[45, 46], [44, 45]], [[52, 53], [50, 52]], [[52, 53], [51, 52]], [[53, 93], [52, 53]], [[55, 59], [54, 55]], [[54, 55], [55, 56]]]"
3,"{2: [0, 1]}",63,"[(4, 3), (10, 11), (9, 11), (8, 10), (8, 9), (15, 16), (13, 16), (12, 16), (15, 12), (18, 20), (17, 20), (18, 17), (26, 27), (27, 25), (23, 27), (22, 27), (26, 23), (26, 22), (23, 22), (34, 33), (34, 30), (33, 31), (33, 30), (33, 29), (31, 29), (36, 35), (43, 41), (49, 47), (49, 46), (48, 47), (47, 45), (51, 53), (50, 52), (56, 58), (58, 55), (56, 55), (63, 62), (65, 67), (66, 65), (73, 74), (74, 71), (70, 74), (69, 74), (68, 74), (73, 71), (69, 71), (68, 71), (70, 68), (82, 83), (80, 83), (81, 82), (82, 80), (89, 88), (91, 90), (100, 98), (103, 101), (111, 110), (111, 109), (111, 108), (110, 109), (113, 112), (119, 118), (121, 120)]","[[[2, 9], [2, 3]], [[5, 17], [5, 42]], [[5, 9], [5, 42]], [[5, 6], [5, 17]], [[5, 6], [5, 9]], [[6, 28], [6, 42]], [[6, 8], [6, 42]], [[6, 7], [6, 42]], [[6, 28], [6, 7]], [[7, 16], [7, 44]], [[7, 8], [7, 44]], [[7, 16], [7, 8]], [[8, 19], [8, 28]], [[8, 28], [8, 18]], [[8, 14], [8, 28]], [[8, 11], [8, 28]], [[8, 19], [8, 14]], [[8, 19], [8, 11]], [[8, 14], [8, 11]], [[10, 18], [10, 17]], [[10, 18], [10, 12]], [[10, 17], [10, 13]], [[10, 17], [10, 12]], [[10, 17], [10, 11]], [[10, 13], [10, 11]], [[11, 18], [11, 12]], [[13, 18], [13, 15]], [[14, 36], [14, 18]], [[14, 36], [14, 16]], [[14, 32], [14, 18]], [[14, 18], [14, 15]], [[15, 32], [15, 37]], [[15, 16], [15, 36]], [[16, 32], [16, 37]], [[16, 37], [16, 18]], [[16, 32], [16, 18]], [[20, 43], [20, 21]], [[22, 27], [22, 29]], [[22, 28], [22, 27]], [[23, 31], [23, 39]], [[23, 39], [23, 27]], [[23, 26], [23, 39]], [[23, 25], [23, 39]], [[23, 24], [23, 39]], [[23, 31], [23, 27]], [[23, 25], [23, 27]], [[23, 24], [23, 27]], [[23, 26], [23, 24]], [[26, 31], [26, 32]], [[26, 27], [26, 32]], [[26, 30], [26, 31]], [[26, 31], [26, 27]], [[30, 33], [30, 32]], [[32, 85], [32, 36]], [[39, 47], [39, 40]], [[40, 48], [40, 41]], [[50, 67], [50, 59]], [[50, 67], [50, 52]], [[50, 67], [50, 51]], [[50, 59], [50, 52]], [[51, 59], [51, 52]], [[54, 92], [54, 55]], [[55, 59], [55, 56]]]"
