,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{2: [0, 1]}",74,"[(57, 32), (57, 29), (57, 43), (57, 10), (0, 57), (29, 32), (43, 32), (10, 32), (0, 32), (29, 43), (29, 10), (0, 29), (10, 43), (0, 43), (0, 10), (56, 74), (56, 42), (56, 53), (42, 74), (74, 53), (42, 53), (66, 58), (66, 3), (3, 58), (25, 64), (69, 57), (18, 43), (68, 10), (34, 10), (0, 8), (35, 55), (40, 55), (41, 55), (39, 55), (9, 40), (1, 40), (41, 26), (41, 25), (24, 41), (41, 9), (1, 41), (68, 9), (34, 9), (39, 9), (39, 3), (1, 39), (31, 1), (78, 1), (31, 76), (78, 21), (56, 35), (18, 42), (6, 46), (73, 4), (73, 62), (73, 5), (13, 68), (51, 34), (11, 34), (51, 35), (11, 35), (13, 52), (69, 13), (62, 72), (16, 72), (72, 15), (50, 62), (17, 50), (77, 21), (33, 23), (30, 76), (71, 62), (62, 70), (61, 70)]","[[[1, 56], [1, 43]], [[1, 56], [1, 40]], [[1, 56], [1, 26]], [[1, 56], [1, 16]], [[1, 2], [1, 56]], [[1, 40], [1, 43]], [[1, 26], [1, 43]], [[1, 16], [1, 43]], [[1, 2], [1, 43]], [[1, 40], [1, 26]], [[1, 40], [1, 16]], [[1, 2], [1, 40]], [[1, 16], [1, 26]], [[1, 2], [1, 26]], [[1, 2], [1, 16]], [[5, 45], [5, 29]], [[5, 45], [5, 26]], [[5, 45], [5, 10]], [[5, 26], [5, 29]], [[5, 29], [5, 10]], [[5, 26], [5, 10]], [[6, 64], [6, 36]], [[6, 64], [6, 7]], [[6, 7], [6, 36]], [[35, 34], [35, 62]], [[56, 19], [1, 56]], [[26, 27], [1, 26]], [[16, 19], [1, 16]], [[16, 17], [1, 16]], [[1, 2], [2, 15]], [[45, 17], [3, 45]], [[39, 3], [3, 45]], [[34, 3], [3, 45]], [[7, 3], [3, 45]], [[3, 16], [39, 3]], [[3, 4], [39, 3]], [[34, 3], [36, 34]], [[34, 3], [35, 34]], [[11, 34], [34, 3]], [[34, 3], [3, 16]], [[3, 4], [34, 3]], [[16, 19], [3, 16]], [[16, 17], [3, 16]], [[7, 3], [3, 16]], [[7, 3], [6, 7]], [[3, 4], [7, 3]], [[4, 42], [3, 4]], [[4, 30], [3, 4]], [[4, 42], [42, 66]], [[4, 30], [30, 27]], [[5, 45], [45, 17]], [[26, 27], [5, 26]], [[11, 12], [12, 5]], [[9, 61], [8, 9]], [[9, 61], [61, 54]], [[9, 61], [10, 9]], [[19, 18], [16, 19]], [[17, 55], [16, 17]], [[17, 18], [16, 17]], [[17, 55], [45, 17]], [[17, 18], [45, 17]], [[19, 18], [18, 55]], [[56, 19], [19, 18]], [[61, 54], [21, 61]], [[23, 21], [21, 61]], [[21, 61], [22, 21]], [[54, 24], [61, 54]], [[24, 25], [54, 24]], [[41, 30], [30, 27]], [[33, 44], [32, 33]], [[41, 42], [42, 66]], [[65, 61], [61, 54]], [[61, 54], [54, 59]], [[59, 60], [54, 59]]]"
1,"{1: [0], 2: [0]}",17,"[(42, 43), (49, 48), (46, 49), (46, 48), (19, 20), (26, 25), (9, 55), (1, 55), (1, 9), (78, 31), (24, 22), (6, 24), (6, 22), (68, 34), (59, 15), (50, 70), (30, 77)]","[[[5, 26], [1, 26]], [[53, 5], [52, 5]], [[12, 5], [53, 5]], [[12, 5], [52, 5]], [[28, 27], [29, 27]], [[36, 34], [35, 34]], [[3, 16], [3, 45]], [[3, 4], [3, 45]], [[3, 4], [3, 16]], [[4, 30], [4, 42]], [[11, 34], [11, 31]], [[11, 12], [11, 34]], [[11, 12], [11, 31]], [[16, 19], [16, 17]], [[22, 57], [22, 21]], [[54, 24], [54, 59]], [[41, 42], [41, 30]]]"
2,"{1: [0], 2: [1]}",43,"[(56, 49), (49, 74), (49, 42), (49, 53), (56, 48), (48, 74), (48, 42), (48, 53), (56, 46), (74, 20), (46, 74), (46, 42), (46, 53), (53, 5), (58, 26), (67, 16), (27, 67), (9, 10), (56, 55), (41, 40), (39, 40), (41, 39), (31, 30), (78, 77), (4, 5), (73, 71), (73, 72), (24, 26), (24, 25), (69, 68), (34, 35), (11, 13), (71, 72), (16, 15), (60, 59), (18, 21), (18, 20), (19, 18), (21, 20), (19, 21), (64, 65), (38, 37), (44, 45)]","[[[5, 45], [53, 5]], [[53, 5], [5, 29]], [[53, 5], [5, 26]], [[53, 5], [5, 10]], [[5, 45], [52, 5]], [[52, 5], [5, 29]], [[52, 5], [5, 26]], [[52, 5], [5, 10]], [[5, 45], [12, 5]], [[5, 29], [29, 27]], [[12, 5], [5, 29]], [[12, 5], [5, 26]], [[12, 5], [5, 10]], [[5, 10], [10, 9]], [[6, 36], [36, 34]], [[38, 23], [23, 21]], [[37, 38], [38, 23]], [[3, 16], [1, 16]], [[5, 45], [3, 45]], [[34, 3], [39, 3]], [[7, 3], [39, 3]], [[34, 3], [7, 3]], [[4, 42], [41, 42]], [[4, 30], [41, 30]], [[8, 9], [10, 9]], [[9, 61], [65, 61]], [[9, 61], [21, 61]], [[11, 34], [36, 34]], [[11, 34], [35, 34]], [[56, 19], [16, 19]], [[16, 17], [45, 17]], [[17, 18], [19, 18]], [[65, 61], [21, 61]], [[23, 21], [22, 21]], [[58, 57], [22, 57]], [[26, 27], [30, 27]], [[26, 27], [29, 27]], [[28, 27], [26, 27]], [[30, 27], [29, 27]], [[28, 27], [30, 27]], [[35, 62], [63, 62]], [[48, 46], [47, 46]], [[49, 50], [51, 50]]]"
3,"{1: [0], 2: [0, 1]}",1,"[(11, 51, 52)]","[[[17, 18], [17, 55], [18, 55]]]"
