,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",60,"[(30, 33), (32, 33), (29, 33), (33, 34), (31, 33), (42, 43), (41, 43), (43, 44), (40, 43), (23, 25), (21, 25), (25, 26), (22, 25), (25, 27), (3, 4), (8, 11), (8, 10), (6, 7), (37, 38), (38, 39), (41, 42), (42, 44), (40, 42), (41, 44), (40, 41), (17, 20), (17, 19), (21, 23), (23, 26), (22, 23), (23, 27), (30, 32), (29, 30), (30, 34), (30, 31), (29, 32), (32, 34), (31, 32), (40, 44), (21, 26), (21, 22), (21, 27), (14, 16), (12, 16), (13, 16), (19, 20), (29, 34), (29, 31), (10, 11), (31, 34), (12, 14), (13, 14), (22, 26), (26, 27), (12, 13), (0, 1), (1, 2), (0, 2), (22, 27), (37, 39)]","[((10, 12), (10, 17)), ((10, 14), (10, 17)), ((10, 11), (10, 17)), ((10, 17), (10, 18)), ((10, 13), (10, 17)), ((13, 16), (13, 18)), ((13, 15), (13, 18)), ((13, 18), (13, 32)), ((13, 14), (13, 18)), ((8, 14), (8, 18)), ((8, 10), (8, 18)), ((8, 18), (8, 19)), ((8, 11), (8, 18)), ((8, 18), (8, 28)), ((2, 3), (2, 9)), ((5, 6), (5, 42)), ((5, 6), (5, 17)), ((4, 5), (4, 42)), ((12, 13), (12, 14)), ((12, 14), (12, 18)), ((13, 15), (13, 16)), ((13, 16), (13, 32)), ((13, 14), (13, 16)), ((13, 15), (13, 32)), ((13, 14), (13, 15)), ((7, 8), (7, 44)), ((7, 8), (7, 28)), ((8, 10), (8, 14)), ((8, 14), (8, 19)), ((8, 11), (8, 14)), ((8, 14), (8, 28)), ((10, 12), (10, 14)), ((10, 11), (10, 12)), ((10, 12), (10, 18)), ((10, 12), (10, 13)), ((10, 11), (10, 14)), ((10, 14), (10, 18)), ((10, 13), (10, 14)), ((13, 14), (13, 32)), ((8, 10), (8, 19)), ((8, 10), (8, 11)), ((8, 10), (8, 28)), ((6, 17), (6, 42)), ((6, 7), (6, 42)), ((6, 8), (6, 42)), ((7, 28), (7, 44)), ((10, 11), (10, 18)), ((10, 11), (10, 13)), ((5, 17), (5, 42)), ((10, 13), (10, 18)), ((6, 7), (6, 17)), ((6, 8), (6, 17)), ((8, 11), (8, 19)), ((8, 19), (8, 28)), ((6, 7), (6, 8)), ((1, 2), (1, 9)), ((1, 9), (1, 17)), ((1, 2), (1, 17)), ((8, 11), (8, 28)), ((12, 13), (12, 18))]"
1,"{0: [1], 1: [2], 'Matched': True}",54,"[(21, 33), (31, 43), (37, 43), (17, 25), (13, 25), (4, 28), (0, 4), (6, 8), (8, 16), (8, 14), (8, 12), (8, 13), (6, 11), (6, 10), (30, 38), (38, 47), (35, 38), (31, 42), (37, 42), (31, 41), (37, 41), (17, 23), (17, 21), (17, 26), (12, 17), (17, 22), (17, 27), (23, 47), (13, 23), (21, 30), (30, 37), (30, 39), (21, 32), (32, 47), (31, 44), (37, 44), (21, 29), (21, 34), (21, 31), (13, 21), (12, 20), (29, 35), (1, 28), (13, 26), (31, 40), (40, 47), (37, 40), (0, 3), (12, 19), (22, 35), (35, 37), (35, 39), (13, 22), (13, 27)]","[((8, 10), (10, 17)), ((10, 13), (13, 18)), ((12, 13), (13, 18)), ((7, 8), (8, 18)), ((6, 8), (8, 18)), ((2, 9), (9, 17)), ((1, 2), (2, 9)), ((4, 5), (5, 6)), ((5, 6), (6, 42)), ((5, 6), (6, 17)), ((5, 6), (6, 7)), ((5, 6), (6, 8)), ((4, 5), (5, 42)), ((4, 5), (5, 17)), ((10, 12), (12, 14)), ((12, 14), (14, 18)), ((11, 12), (12, 14)), ((10, 13), (13, 16)), ((12, 13), (13, 16)), ((10, 13), (13, 15)), ((12, 13), (13, 15)), ((7, 8), (8, 14)), ((7, 8), (8, 10)), ((7, 8), (8, 19)), ((6, 7), (7, 8)), ((7, 8), (8, 11)), ((7, 8), (8, 28)), ((8, 14), (14, 18)), ((6, 8), (8, 14)), ((8, 10), (10, 12)), ((10, 12), (12, 13)), ((10, 12), (12, 18)), ((8, 10), (10, 14)), ((10, 14), (14, 18)), ((10, 13), (13, 32)), ((12, 13), (13, 32)), ((8, 10), (10, 11)), ((8, 10), (10, 18)), ((8, 10), (10, 13)), ((6, 8), (8, 10)), ((6, 7), (7, 44)), ((10, 11), (11, 12)), ((1, 9), (9, 17)), ((6, 8), (8, 19)), ((10, 13), (13, 14)), ((13, 14), (14, 18)), ((12, 13), (13, 14)), ((1, 2), (2, 3)), ((6, 7), (7, 28)), ((8, 11), (11, 12)), ((11, 12), (12, 13)), ((11, 12), (12, 18)), ((6, 8), (8, 11)), ((6, 8), (8, 28))]"
2,"{0: [1], 2: [1], 'Matched': True}",35,"[(28, 33), (14, 33), (10, 33), (2, 33), (25, 43), (34, 43), (43, 47), (39, 43), (25, 34), (25, 47), (25, 39), (1, 4), (23, 38), (32, 38), (38, 40), (13, 17), (23, 32), (23, 40), (30, 35), (32, 40), (11, 16), (7, 16), (22, 29), (7, 11), (14, 28), (10, 28), (2, 28), (34, 47), (34, 39), (10, 14), (2, 14), (31, 37), (39, 47), (19, 27), (2, 10)]","[((9, 17), (10, 17)), ((6, 17), (10, 17)), ((5, 17), (10, 17)), ((1, 17), (10, 17)), ((8, 18), (13, 18)), ((10, 18), (13, 18)), ((13, 18), (14, 18)), ((12, 18), (13, 18)), ((8, 18), (10, 18)), ((8, 18), (14, 18)), ((8, 18), (12, 18)), ((1, 9), (2, 9)), ((8, 14), (12, 14)), ((10, 14), (12, 14)), ((12, 14), (13, 14)), ((6, 8), (7, 8)), ((8, 14), (10, 14)), ((8, 14), (13, 14)), ((10, 12), (11, 12)), ((10, 14), (13, 14)), ((5, 42), (6, 42)), ((4, 42), (6, 42)), ((8, 11), (10, 11)), ((4, 42), (5, 42)), ((6, 17), (9, 17)), ((5, 17), (9, 17)), ((1, 17), (9, 17)), ((10, 18), (14, 18)), ((10, 18), (12, 18)), ((5, 17), (6, 17)), ((1, 17), (6, 17)), ((10, 13), (12, 13)), ((12, 18), (14, 18)), ((7, 28), (8, 28)), ((1, 17), (5, 17))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",22,"[(31, 34, 43), (40, 43, 47), (37, 39, 43), (23, 25, 47), (21, 25, 34), (0, 1, 4), (8, 11, 16), (8, 10, 14), (6, 7, 11), (30, 32, 38), (37, 38, 40), (38, 39, 47), (17, 19, 27), (12, 13, 17), (21, 23, 32), (29, 30, 35), (30, 34, 39), (30, 31, 37), (32, 34, 47), (31, 32, 40), (21, 22, 29), (1, 2, 28)]","[((10, 13), (10, 18), (13, 18)), ((13, 14), (13, 18), (14, 18)), ((12, 13), (12, 18), (13, 18)), ((8, 14), (8, 18), (14, 18)), ((8, 10), (8, 18), (10, 18)), ((1, 2), (1, 9), (2, 9)), ((5, 6), (5, 42), (6, 42)), ((5, 6), (5, 17), (6, 17)), ((4, 5), (4, 42), (5, 42)), ((10, 12), (10, 14), (12, 14)), ((12, 13), (12, 14), (13, 14)), ((12, 14), (12, 18), (14, 18)), ((7, 8), (7, 28), (8, 28)), ((6, 7), (6, 8), (7, 8)), ((8, 10), (8, 14), (10, 14)), ((10, 11), (10, 12), (11, 12)), ((10, 12), (10, 18), (12, 18)), ((10, 12), (10, 13), (12, 13)), ((10, 14), (10, 18), (14, 18)), ((10, 13), (10, 14), (13, 14)), ((8, 10), (8, 11), (10, 11)), ((1, 9), (1, 17), (9, 17))]"
