,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",29,"[(29, 33), (29, 31), (21, 23), (21, 24), (23, 25), (24, 25), (33, 34), (31, 34), (17, 20), (17, 19), (18, 20), (18, 19), (22, 23), (22, 24), (35, 36), (37, 38), (13, 14), (13, 15), (31, 33), (1, 2), (8, 9), (8, 11), (3, 4), (19, 20), (23, 24), (14, 15), (9, 10), (10, 11), (9, 11)]","[[[10, 11], [10, 17]], [[10, 11], [10, 13]], [[8, 10], [8, 14]], [[8, 10], [8, 16]], [[8, 18], [8, 14]], [[8, 18], [8, 16]], [[10, 18], [10, 17]], [[10, 18], [10, 13]], [[7, 8], [7, 44]], [[7, 8], [7, 28]], [[7, 16], [7, 44]], [[7, 16], [7, 28]], [[8, 11], [8, 14]], [[8, 11], [8, 16]], [[11, 12], [11, 18]], [[12, 13], [12, 14]], [[6, 8], [6, 17]], [[6, 8], [6, 28]], [[10, 17], [10, 13]], [[1, 9], [1, 17]], [[5, 6], [5, 9]], [[5, 6], [5, 42]], [[2, 3], [2, 9]], [[7, 44], [7, 28]], [[8, 14], [8, 16]], [[6, 17], [6, 28]], [[5, 17], [5, 9]], [[5, 17], [5, 42]], [[5, 9], [5, 42]]]"
1,"{0: [1], 1: [2], 'Matched': True}",22,"[(29, 35), (17, 21), (13, 21), (21, 33), (21, 31), (17, 25), (13, 25), (17, 22), (17, 23), (22, 35), (13, 22), (35, 37), (35, 38), (6, 8), (6, 10), (6, 9), (6, 11), (8, 13), (13, 23), (13, 24), (8, 15), (3, 5)]","[[[10, 11], [11, 12]], [[8, 10], [7, 8]], [[8, 10], [6, 8]], [[8, 10], [10, 17]], [[8, 10], [10, 13]], [[8, 18], [7, 8]], [[8, 18], [6, 8]], [[7, 8], [8, 11]], [[7, 8], [8, 14]], [[8, 11], [11, 12]], [[8, 11], [6, 8]], [[11, 12], [12, 13]], [[11, 12], [12, 14]], [[4, 5], [5, 6]], [[4, 5], [5, 17]], [[4, 5], [5, 9]], [[4, 5], [5, 42]], [[6, 8], [5, 6]], [[6, 8], [8, 14]], [[6, 8], [8, 16]], [[5, 6], [6, 28]], [[3, 49], [2, 3]]]"
2,"{0: [1], 2: [1], 'Matched': True}",12,"[(13, 17), (31, 37), (14, 33), (10, 33), (2, 33), (1, 9), (1, 4), (23, 38), (2, 14), (15, 19), (2, 10), (4, 9)]","[[[7, 8], [6, 8]], [[12, 13], [10, 13]], [[10, 17], [6, 17]], [[10, 17], [5, 17]], [[10, 17], [1, 17]], [[1, 9], [5, 9]], [[1, 9], [2, 9]], [[8, 14], [12, 14]], [[6, 17], [1, 17]], [[7, 28], [6, 28]], [[5, 17], [1, 17]], [[5, 9], [2, 9]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",6,"[(21, 22, 29), (29, 34, 36), (21, 25, 34), (22, 25, 36), (17, 18, 24), (8, 10, 14)]","[[[10, 11], [8, 10], [8, 11]], [[10, 11], [10, 18], [11, 18]], [[8, 10], [8, 18], [10, 18]], [[8, 18], [8, 11], [11, 18]], [[7, 8], [7, 16], [8, 16]], [[5, 6], [5, 17], [6, 17]]]"
