,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",4,"[(17, 18), (9, 11), (14, 15), (0, 1)]","[((7, 8), (7, 16)), ((5, 9), (5, 42)), ((6, 17), (6, 28)), ((1, 2), (1, 9))]"
2,"{0: [1], 2: [1], 'Matched': True}",3,"[(1, 9), (4, 9), (1, 4)]","[((1, 9), (5, 9)), ((2, 9), (5, 9)), ((1, 9), (2, 9))]"
1,"{0: [1], 1: [2], 'Matched': True}",3,"[(0, 4), (6, 11), (6, 9)]","[((1, 2), (2, 9)), ((4, 5), (5, 42)), ((4, 5), (5, 9))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",1,"[(0, 1, 4)]","[((1, 2), (1, 9), (2, 9))]"
