,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",32,"[(21, 24), (22, 24), (24, 26), (23, 24), (24, 27), (24, 25), (12, 14), (12, 13), (12, 15), (21, 22), (21, 26), (21, 23), (21, 27), (21, 25), (18, 19), (22, 26), (22, 23), (22, 27), (22, 25), (23, 26), (26, 27), (25, 26), (13, 14), (14, 15), (13, 15), (23, 27), (23, 25), (25, 27), (8, 11), (8, 10), (3, 4), (10, 11)]","[((8, 10), (8, 16)), ((8, 11), (8, 16)), ((8, 16), (8, 19)), ((8, 14), (8, 16)), ((8, 16), (8, 28)), ((8, 16), (8, 18)), ((6, 7), (6, 17)), ((6, 7), (6, 8)), ((6, 7), (6, 28)), ((8, 10), (8, 11)), ((8, 10), (8, 19)), ((8, 10), (8, 14)), ((8, 10), (8, 28)), ((8, 10), (8, 18)), ((7, 16), (7, 28)), ((8, 11), (8, 19)), ((8, 11), (8, 14)), ((8, 11), (8, 28)), ((8, 11), (8, 18)), ((8, 14), (8, 19)), ((8, 19), (8, 28)), ((8, 18), (8, 19)), ((6, 8), (6, 17)), ((6, 17), (6, 28)), ((6, 8), (6, 28)), ((8, 14), (8, 28)), ((8, 14), (8, 18)), ((8, 18), (8, 28)), ((5, 6), (5, 42)), ((5, 6), (5, 17)), ((2, 3), (2, 9)), ((5, 17), (5, 42))]"
1,"{0: [1], 1: [2], 'Matched': True}",13,"[(13, 24), (12, 18), (12, 19), (8, 12), (13, 21), (13, 22), (13, 26), (8, 14), (13, 23), (13, 27), (8, 13), (13, 25), (8, 15)]","[((6, 8), (8, 16)), ((6, 7), (7, 16)), ((6, 7), (7, 28)), ((5, 6), (6, 7)), ((6, 8), (8, 10)), ((6, 8), (8, 11)), ((6, 8), (8, 19)), ((5, 6), (6, 17)), ((6, 8), (8, 14)), ((6, 8), (8, 28)), ((5, 6), (6, 8)), ((6, 8), (8, 18)), ((5, 6), (6, 28))]"
2,"{0: [1], 2: [1], 'Matched': True}",8,"[(18, 24), (2, 14), (2, 10), (10, 14), (19, 27), (15, 27), (15, 19), (7, 11)]","[((7, 16), (8, 16)), ((1, 17), (6, 17)), ((1, 17), (5, 17)), ((5, 17), (6, 17)), ((7, 28), (8, 28)), ((6, 28), (8, 28)), ((6, 28), (7, 28)), ((4, 42), (5, 42))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",3,"[(12, 15, 19), (8, 10, 14), (13, 15, 27)]","[((6, 7), (6, 28), (7, 28)), ((5, 6), (5, 17), (6, 17)), ((6, 8), (6, 28), (8, 28))]"
