,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2]}",44,"[(38, 39), (23, 24), (23, 25), (45, 48), (32, 33), (32, 34), (29, 32), (48, 49), (40, 42), (40, 43), (50, 52), (52, 53), (9, 11), (10, 11), (31, 33), (33, 34), (29, 33), (13, 14), (12, 14), (14, 16), (14, 15), (0, 2), (54, 55), (54, 58), (54, 57), (13, 16), (13, 15), (12, 16), (15, 16), (17, 19), (29, 31), (42, 44), (41, 43), (41, 44), (43, 44), (55, 58), (55, 57), (57, 58), (21, 24), (62, 63), (17, 20), (30, 31), (19, 20), (30, 33)]","[[[12, 14], [12, 18]], [[8, 14], [8, 16]], [[8, 14], [8, 18]], [[14, 15], [14, 32]], [[10, 14], [10, 17]], [[10, 14], [10, 18]], [[10, 14], [10, 11]], [[14, 32], [14, 36]], [[13, 14], [13, 16]], [[13, 14], [13, 18]], [[15, 36], [15, 16]], [[15, 36], [15, 37]], [[5, 9], [5, 42]], [[5, 42], [5, 17]], [[10, 17], [10, 13]], [[10, 17], [10, 18]], [[10, 17], [10, 11]], [[6, 17], [6, 8]], [[6, 17], [6, 7]], [[6, 17], [6, 42]], [[6, 17], [6, 28]], [[1, 17], [1, 2]], [[16, 17], [16, 18]], [[16, 17], [16, 37]], [[16, 17], [16, 33]], [[6, 8], [6, 42]], [[6, 8], [6, 28]], [[6, 7], [6, 42]], [[6, 42], [6, 28]], [[7, 28], [7, 8]], [[10, 13], [10, 11]], [[13, 16], [13, 32]], [[13, 15], [13, 18]], [[13, 15], [13, 32]], [[13, 18], [13, 32]], [[16, 18], [16, 37]], [[16, 18], [16, 33]], [[16, 37], [16, 33]], [[8, 16], [8, 10]], [[20, 21], [20, 43]], [[7, 8], [7, 44]], [[10, 13], [10, 12]], [[7, 44], [7, 28]], [[10, 12], [10, 17]]]"
1,"{0: [1], 1: [2]}",54,"[(38, 45), (38, 48), (38, 49), (35, 38), (23, 45), (23, 48), (23, 49), (13, 23), (17, 23), (32, 45), (45, 50), (45, 53), (32, 48), (32, 49), (40, 49), (41, 52), (6, 9), (6, 11), (6, 10), (4, 28), (21, 33), (42, 54), (50, 54), (24, 54), (13, 24), (13, 21), (13, 25), (31, 42), (31, 41), (31, 44), (21, 31), (42, 58), (42, 57), (41, 53), (43, 59), (50, 55), (50, 57), (55, 59), (24, 58), (24, 57), (17, 24), (17, 21), (21, 29), (17, 25), (25, 59), (34, 59), (36, 59), (39, 59), (59, 60), (60, 62), (60, 63), (0, 4), (21, 30), (12, 20)]","[[[12, 14], [14, 15]], [[12, 14], [14, 32]], [[12, 14], [14, 36]], [[12, 14], [11, 12]], [[8, 14], [14, 15]], [[8, 14], [14, 32]], [[8, 14], [14, 36]], [[8, 14], [6, 8]], [[8, 14], [7, 8]], [[14, 15], [10, 14]], [[14, 15], [15, 16]], [[14, 15], [15, 37]], [[10, 14], [14, 32]], [[10, 14], [14, 36]], [[14, 36], [13, 14]], [[15, 36], [13, 15]], [[5, 9], [4, 5]], [[4, 5], [5, 42]], [[4, 5], [5, 17]], [[9, 17], [2, 9]], [[10, 17], [8, 10]], [[16, 17], [13, 16]], [[16, 17], [15, 16]], [[16, 17], [8, 16]], [[6, 8], [8, 16]], [[6, 8], [8, 10]], [[6, 8], [8, 18]], [[10, 13], [13, 16]], [[10, 13], [13, 15]], [[10, 13], [13, 32]], [[10, 13], [8, 10]], [[13, 16], [16, 37]], [[13, 16], [16, 33]], [[13, 15], [15, 37]], [[13, 18], [18, 19]], [[15, 16], [16, 18]], [[15, 16], [16, 33]], [[16, 18], [18, 19]], [[16, 37], [8, 16]], [[16, 33], [8, 16]], [[8, 16], [7, 8]], [[8, 10], [7, 8]], [[8, 10], [10, 11]], [[7, 8], [8, 18]], [[8, 18], [18, 19]], [[18, 19], [10, 18]], [[18, 19], [11, 18]], [[18, 19], [12, 18]], [[18, 19], [19, 20]], [[20, 21], [19, 20]], [[19, 20], [20, 43]], [[1, 2], [2, 9]], [[8, 10], [10, 12]], [[6, 7], [7, 44]]]"
2,"{0: [1], 2: [1]}",29,"[(23, 38), (38, 40), (23, 40), (4, 9), (11, 16), (10, 33), (10, 14), (2, 10), (10, 54), (28, 33), (14, 28), (2, 28), (28, 54), (14, 33), (2, 33), (33, 54), (2, 14), (14, 54), (2, 54), (24, 42), (25, 43), (36, 43), (39, 43), (24, 50), (34, 55), (36, 55), (39, 55), (25, 36), (25, 39)]","[[[12, 14], [8, 14]], [[12, 14], [13, 14]], [[8, 14], [13, 14]], [[5, 9], [2, 9]], [[5, 42], [6, 42]], [[5, 17], [10, 17]], [[5, 17], [6, 17]], [[5, 17], [1, 17]], [[5, 17], [16, 17]], [[9, 17], [10, 17]], [[9, 17], [6, 17]], [[9, 17], [1, 17]], [[9, 17], [16, 17]], [[10, 17], [6, 17]], [[10, 17], [1, 17]], [[10, 17], [16, 17]], [[6, 17], [1, 17]], [[6, 17], [16, 17]], [[1, 17], [16, 17]], [[13, 16], [8, 16]], [[13, 18], [8, 18]], [[13, 18], [11, 18]], [[13, 18], [12, 18]], [[15, 16], [8, 16]], [[16, 18], [10, 18]], [[16, 18], [11, 18]], [[16, 18], [12, 18]], [[8, 18], [11, 18]], [[8, 18], [12, 18]]]"
4,"{0: [1, 2], 1: [2]}",19,"[(21, 23, 32), (45, 49, 52), (40, 41, 45), (31, 32, 40), (40, 44, 48), (9, 10, 28), (12, 13, 17), (12, 15, 19), (31, 34, 43), (41, 42, 50), (42, 43, 55), (50, 53, 58), (24, 25, 55), (21, 25, 34), (29, 34, 36), (35, 36, 39), (30, 34, 39), (30, 32, 38), (29, 30, 35)]","[[[8, 14], [8, 10], [10, 14]], [[14, 15], [14, 36], [15, 36]], [[14, 15], [13, 14], [13, 15]], [[10, 14], [10, 13], [13, 14]], [[14, 32], [13, 14], [13, 32]], [[5, 9], [5, 17], [9, 17]], [[6, 8], [6, 7], [7, 8]], [[6, 7], [6, 28], [7, 28]], [[10, 13], [10, 18], [13, 18]], [[13, 16], [13, 15], [15, 16]], [[13, 16], [13, 18], [16, 18]], [[15, 16], [15, 37], [16, 37]], [[16, 18], [8, 16], [8, 18]], [[8, 10], [8, 18], [10, 18]], [[10, 18], [10, 11], [11, 18]], [[11, 18], [11, 12], [12, 18]], [[10, 18], [10, 12], [12, 18]], [[12, 14], [10, 14], [10, 12]], [[10, 12], [10, 11], [11, 12]]]"
