,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2]}",39,"[(42, 44), (43, 44), (42, 43), (31, 33), (30, 31), (21, 25), (25, 27), (47, 48), (46, 47), (3, 4), (10, 11), (21, 27), (21, 22), (21, 23), (30, 33), (17, 20), (18, 19), (18, 20), (19, 20), (22, 27), (23, 27), (15, 16), (14, 15), (13, 16), (14, 16), (22, 23), (50, 51), (13, 14), (46, 48), (22, 26), (24, 26), (23, 26), (26, 27), (21, 26), (25, 26), (22, 24), (24, 27), (21, 24), (24, 25)]","[[[13, 32], [13, 16]], [[13, 32], [13, 18]], [[13, 16], [13, 18]], [[10, 13], [10, 17]], [[10, 13], [10, 12]], [[8, 18], [8, 10]], [[8, 18], [8, 28]], [[14, 18], [14, 32]], [[14, 18], [14, 16]], [[2, 9], [2, 3]], [[5, 17], [5, 42]], [[8, 10], [8, 28]], [[8, 10], [8, 11]], [[8, 10], [8, 14]], [[10, 17], [10, 12]], [[7, 8], [7, 44]], [[7, 16], [7, 28]], [[7, 16], [7, 44]], [[7, 28], [7, 44]], [[8, 28], [8, 11]], [[8, 28], [8, 14]], [[6, 28], [6, 42]], [[6, 28], [6, 17]], [[6, 42], [6, 8]], [[6, 42], [6, 17]], [[8, 11], [8, 14]], [[15, 32], [15, 16]], [[6, 8], [6, 17]], [[14, 32], [14, 16]], [[8, 19], [8, 11]], [[8, 19], [8, 16]], [[8, 19], [8, 14]], [[8, 19], [8, 28]], [[8, 19], [8, 10]], [[8, 19], [8, 18]], [[8, 11], [8, 16]], [[8, 16], [8, 28]], [[8, 16], [8, 10]], [[8, 16], [8, 18]]]"
1,"{0: [1], 1: [2]}",28,"[(31, 44), (31, 40), (31, 42), (31, 43), (21, 31), (17, 25), (13, 25), (30, 39), (1, 28), (0, 3), (4, 28), (6, 10), (21, 33), (21, 30), (17, 21), (13, 21), (30, 38), (38, 48), (38, 46), (17, 22), (17, 23), (13, 22), (13, 23), (23, 48), (3, 5), (13, 26), (17, 26), (13, 24)]","[[[13, 32], [10, 13]], [[13, 14], [10, 13]], [[13, 16], [10, 13]], [[13, 18], [10, 13]], [[10, 13], [8, 10]], [[8, 18], [7, 8]], [[8, 18], [6, 8]], [[12, 18], [10, 12]], [[1, 9], [9, 17]], [[1, 2], [2, 3]], [[2, 9], [9, 17]], [[4, 5], [5, 17]], [[8, 10], [10, 17]], [[8, 10], [10, 12]], [[8, 10], [7, 8]], [[8, 10], [6, 8]], [[10, 12], [12, 14]], [[12, 14], [14, 32]], [[12, 14], [14, 16]], [[7, 8], [8, 11]], [[7, 8], [8, 14]], [[8, 11], [6, 8]], [[6, 8], [8, 14]], [[14, 32], [8, 14]], [[2, 3], [3, 49]], [[8, 19], [6, 8]], [[8, 19], [7, 8]], [[6, 8], [8, 16]]]"
2,"{0: [1], 2: [1]}",28,"[(44, 51), (38, 40), (23, 40), (18, 42), (42, 50), (25, 43), (36, 43), (39, 43), (25, 39), (36, 39), (36, 47), (7, 16), (10, 33), (10, 28), (10, 14), (11, 16), (28, 33), (14, 33), (23, 38), (13, 17), (18, 50), (18, 46), (15, 19), (48, 51), (46, 50), (14, 28), (24, 50), (24, 42)]","[[[13, 32], [15, 32]], [[13, 14], [12, 14]], [[13, 14], [8, 14]], [[13, 16], [7, 16]], [[13, 16], [15, 16]], [[13, 18], [8, 18]], [[13, 18], [11, 18]], [[13, 18], [12, 18]], [[8, 18], [12, 18]], [[11, 18], [12, 18]], [[11, 18], [14, 18]], [[4, 42], [6, 42]], [[5, 17], [10, 17]], [[5, 17], [9, 17]], [[5, 17], [6, 17]], [[5, 42], [6, 42]], [[10, 17], [9, 17]], [[10, 17], [6, 17]], [[12, 14], [8, 14]], [[7, 8], [6, 8]], [[7, 16], [15, 16]], [[7, 16], [14, 16]], [[7, 28], [6, 28]], [[15, 32], [14, 32]], [[15, 16], [14, 16]], [[9, 17], [6, 17]], [[15, 16], [8, 16]], [[8, 16], [13, 16]]]"
4,"{0: [1, 2], 1: [2]}",12,"[(40, 44, 48), (40, 42, 46), (40, 43, 47), (22, 25, 36), (23, 25, 47), (38, 39, 47), (0, 1, 4), (6, 7, 11), (17, 19, 27), (13, 15, 27), (17, 18, 24), (23, 24, 46)]","[[[13, 32], [13, 14], [14, 32]], [[13, 14], [13, 16], [14, 16]], [[13, 14], [13, 18], [14, 18]], [[8, 18], [8, 11], [11, 18]], [[8, 18], [8, 14], [14, 18]], [[12, 18], [12, 14], [14, 18]], [[1, 9], [1, 2], [2, 9]], [[4, 5], [4, 42], [5, 42]], [[7, 8], [7, 28], [8, 28]], [[8, 28], [6, 28], [6, 8]], [[7, 16], [7, 8], [8, 16]], [[8, 16], [8, 14], [14, 16]]]"
