,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",14,"[(23, 24), (8, 11), (10, 11), (18, 19), (17, 19), (0, 2), (8, 10), (24, 27), (21, 24), (23, 27), (21, 23), (21, 27), (14, 15), (12, 14)]","[[[8, 14], [8, 16]], [[5, 42], [5, 6]], [[5, 42], [5, 17]], [[7, 28], [7, 16]], [[7, 28], [7, 8]], [[1, 17], [1, 2]], [[5, 6], [5, 17]], [[8, 16], [8, 28]], [[8, 16], [8, 10]], [[8, 14], [8, 28]], [[8, 14], [8, 10]], [[8, 28], [8, 10]], [[6, 28], [6, 17]], [[6, 7], [6, 17]]]"
1,"{0: [1], 1: [2], 'Matched': True}",8,"[(17, 23), (12, 19), (12, 18), (12, 17), (8, 12), (17, 21), (21, 29), (8, 15)]","[[[8, 14], [7, 8]], [[7, 28], [6, 7]], [[6, 7], [7, 16]], [[6, 7], [7, 8]], [[6, 7], [5, 6]], [[7, 8], [8, 10]], [[8, 10], [10, 11]], [[6, 28], [5, 6]]]"
2,"{0: [1], 2: [1], 'Matched': True}",3,"[(2, 10), (15, 27), (2, 14)]","[[[1, 17], [5, 17]], [[8, 28], [6, 28]], [[6, 17], [1, 17]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",5,"[(0, 1, 4), (17, 18, 24), (17, 19, 27), (12, 15, 19), (8, 10, 14)]","[[[2, 9], [1, 2], [1, 9]], [[8, 16], [7, 16], [7, 8]], [[7, 8], [7, 28], [8, 28]], [[7, 28], [6, 28], [6, 7]], [[5, 6], [5, 17], [6, 17]]]"
