,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [0]}",33,"[(54, 2), (33, 2), (2, 10), (1, 9), (1, 4), (4, 9), (7, 16), (7, 11), (54, 10), (33, 10), (50, 18), (46, 18), (42, 18), (25, 43), (25, 39), (25, 36), (24, 50), (24, 42), (23, 40), (54, 28), (33, 28), (55, 34), (34, 39), (33, 54), (31, 37), (55, 36), (47, 36), (36, 43), (55, 39), (47, 39), (15, 66), (66, 19), (66, 27)]","[[[16, 17], [1, 17]], [[10, 17], [1, 17]], [[1, 17], [5, 17]], [[1, 9], [5, 9]], [[1, 9], [2, 9]], [[2, 9], [5, 9]], [[4, 42], [6, 42]], [[4, 42], [5, 42]], [[16, 17], [5, 17]], [[10, 17], [5, 17]], [[15, 16], [7, 16]], [[14, 16], [7, 16]], [[13, 16], [7, 16]], [[8, 18], [13, 18]], [[8, 18], [12, 18]], [[8, 18], [11, 18]], [[8, 16], [15, 16]], [[8, 16], [13, 16]], [[8, 14], [13, 14]], [[16, 17], [9, 17]], [[10, 17], [9, 17]], [[16, 18], [10, 18]], [[10, 18], [12, 18]], [[10, 17], [16, 17]], [[10, 13], [12, 13]], [[16, 18], [11, 18]], [[14, 18], [11, 18]], [[11, 18], [13, 18]], [[16, 18], [12, 18]], [[14, 18], [12, 18]], [[6, 28], [22, 28]], [[22, 28], [7, 28]], [[22, 28], [8, 28]]]"
1,"{1: [0], 2: [0, 1]}",34,"[(1, 2, 28), (16, 11, 8), (10, 9, 28), (27, 13, 15), (17, 13, 12), (17, 24, 18), (25, 26, 59), (25, 24, 55), (23, 25, 47), (21, 25, 34), (23, 24, 46), (23, 21, 32), (47, 34, 32), (34, 43, 31), (34, 36, 29), (32, 31, 40), (39, 36, 35), (39, 43, 37), (44, 42, 56), (40, 44, 48), (55, 43, 42), (47, 43, 40), (41, 42, 50), (40, 42, 46), (40, 41, 45), (56, 46, 48), (55, 47, 46), (50, 46, 45), (15, 12, 19), (17, 27, 19), (41, 51, 44), (49, 45, 52), (45, 48, 51), (50, 56, 51)]","[[[1, 9], [1, 17], [9, 17]], [[6, 42], [5, 42], [5, 6]], [[5, 17], [5, 9], [9, 17]], [[8, 28], [6, 8], [6, 28]], [[7, 8], [6, 8], [6, 7]], [[7, 8], [8, 16], [7, 16]], [[8, 18], [8, 19], [18, 19]], [[8, 18], [8, 16], [16, 18]], [[8, 14], [8, 18], [14, 18]], [[8, 10], [8, 18], [10, 18]], [[8, 14], [8, 16], [14, 16]], [[8, 14], [8, 10], [10, 14]], [[14, 18], [10, 18], [10, 14]], [[10, 18], [13, 18], [10, 13]], [[10, 18], [11, 18], [10, 11]], [[10, 14], [10, 13], [13, 14]], [[12, 18], [11, 18], [11, 12]], [[12, 18], [13, 18], [12, 13]], [[13, 32], [13, 16], [16, 32]], [[13, 14], [13, 32], [14, 32]], [[16, 18], [13, 18], [13, 16]], [[14, 18], [13, 18], [13, 14]], [[13, 15], [13, 16], [15, 16]], [[13, 14], [13, 16], [14, 16]], [[13, 14], [13, 15], [14, 15]], [[16, 32], [14, 16], [14, 32]], [[16, 18], [14, 18], [14, 16]], [[15, 16], [14, 16], [14, 15]], [[6, 28], [6, 7], [7, 28]], [[7, 8], [8, 28], [7, 28]], [[13, 15], [15, 32], [13, 32]], [[14, 36], [14, 15], [15, 36]], [[14, 15], [14, 32], [15, 32]], [[15, 16], [16, 32], [15, 32]]]"
2,"{1: [0], 2: [1]}",65,"[(4, 28), (8, 15), (13, 8), (8, 12), (13, 26), (13, 25), (13, 24), (23, 13), (21, 13), (18, 12), (56, 18), (55, 18), (54, 18), (17, 26), (17, 25), (23, 17), (17, 21), (26, 61), (26, 60), (24, 56), (24, 54), (23, 49), (23, 48), (23, 45), (21, 33), (21, 31), (21, 29), (34, 59), (32, 49), (32, 48), (32, 46), (32, 45), (31, 44), (31, 42), (31, 41), (29, 35), (36, 59), (37, 35), (39, 59), (37, 44), (37, 42), (41, 37), (40, 37), (59, 43), (42, 54), (40, 49), (47, 59), (54, 46), (55, 50), (50, 54), (55, 59), (59, 61), (59, 60), (20, 19), (20, 18), (17, 20), (19, 18), (52, 53), (51, 53), (50, 53), (51, 52), (50, 52), (67, 66), (67, 65), (66, 65)]","[[[2, 9], [9, 17]], [[5, 6], [6, 28]], [[6, 8], [5, 6]], [[5, 6], [6, 7]], [[6, 8], [8, 19]], [[6, 8], [8, 18]], [[6, 8], [8, 16]], [[8, 14], [6, 8]], [[8, 10], [6, 8]], [[7, 16], [6, 7]], [[16, 32], [7, 16]], [[16, 18], [7, 16]], [[16, 17], [7, 16]], [[7, 8], [8, 19]], [[7, 8], [8, 18]], [[8, 14], [7, 8]], [[7, 8], [8, 10]], [[8, 19], [19, 43]], [[8, 19], [19, 20]], [[8, 16], [16, 32]], [[8, 16], [16, 17]], [[8, 14], [14, 36]], [[8, 14], [14, 32]], [[8, 14], [14, 15]], [[8, 10], [10, 17]], [[8, 10], [10, 13]], [[8, 10], [10, 11]], [[10, 18], [18, 19]], [[10, 14], [14, 36]], [[10, 14], [14, 32]], [[10, 14], [14, 16]], [[10, 14], [14, 15]], [[10, 13], [13, 32]], [[10, 13], [13, 16]], [[10, 13], [13, 15]], [[10, 11], [11, 12]], [[11, 18], [18, 19]], [[12, 13], [11, 12]], [[12, 18], [18, 19]], [[12, 13], [13, 32]], [[12, 13], [13, 16]], [[13, 15], [12, 13]], [[13, 14], [12, 13]], [[18, 19], [13, 18]], [[13, 16], [16, 17]], [[13, 14], [14, 36]], [[14, 18], [18, 19]], [[16, 17], [14, 16]], [[16, 18], [15, 16]], [[15, 16], [16, 17]], [[16, 18], [18, 19]], [[18, 19], [19, 43]], [[18, 19], [19, 20]], [[7, 44], [7, 28]], [[7, 44], [7, 16]], [[7, 8], [7, 44]], [[7, 28], [7, 16]], [[15, 36], [15, 37]], [[15, 32], [15, 37]], [[15, 16], [15, 37]], [[15, 32], [15, 36]], [[15, 16], [15, 36]], [[22, 29], [22, 28]], [[22, 29], [22, 27]], [[22, 28], [22, 27]]]"
3,"{2: [0, 1]}",44,"[(4, 3), (11, 10), (11, 9), (10, 8), (8, 9), (16, 15), (13, 16), (16, 12), (27, 26), (27, 25), (27, 24), (23, 27), (27, 21), (24, 26), (23, 26), (21, 26), (21, 24), (34, 33), (33, 32), (33, 31), (33, 29), (32, 29), (31, 29), (43, 44), (43, 41), (48, 49), (47, 49), (46, 49), (47, 48), (47, 45), (55, 56), (56, 54), (55, 54), (60, 61), (5, 3), (20, 12), (41, 53), (41, 52), (45, 53), (62, 60), (62, 64), (67, 64), (66, 64), (65, 64)]","[[[2, 9], [2, 3]], [[5, 42], [5, 17]], [[5, 42], [5, 9]], [[5, 17], [5, 6]], [[5, 6], [5, 9]], [[6, 42], [6, 28]], [[6, 8], [6, 42]], [[6, 42], [6, 7]], [[8, 28], [8, 19]], [[8, 28], [8, 18]], [[8, 28], [8, 16]], [[8, 14], [8, 28]], [[8, 28], [8, 10]], [[8, 16], [8, 19]], [[8, 14], [8, 19]], [[8, 10], [8, 19]], [[8, 10], [8, 16]], [[10, 18], [10, 17]], [[10, 17], [10, 14]], [[10, 17], [10, 13]], [[10, 17], [10, 11]], [[10, 14], [10, 11]], [[10, 13], [10, 11]], [[13, 18], [13, 32]], [[13, 18], [13, 15]], [[14, 32], [14, 36]], [[14, 18], [14, 36]], [[14, 16], [14, 36]], [[14, 18], [14, 32]], [[14, 18], [14, 15]], [[16, 18], [16, 32]], [[16, 32], [16, 17]], [[16, 18], [16, 17]], [[19, 20], [19, 43]], [[3, 49], [2, 3]], [[7, 44], [6, 7]], [[13, 15], [15, 37]], [[13, 15], [15, 36]], [[14, 15], [15, 37]], [[20, 21], [19, 20]], [[20, 21], [21, 22]], [[22, 29], [21, 22]], [[22, 28], [21, 22]], [[22, 27], [21, 22]]]"
