,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",56,"[(15, 16), (13, 16), (25, 27), (24, 25), (22, 25), (21, 25), (25, 26), (23, 25), (38, 39), (37, 38), (17, 19), (6, 7), (24, 27), (22, 27), (21, 27), (26, 27), (23, 27), (32, 33), (30, 32), (29, 32), (32, 34), (31, 32), (30, 33), (29, 33), (33, 34), (31, 33), (13, 15), (29, 30), (30, 34), (30, 31), (3, 4), (9, 10), (10, 11), (8, 10), (22, 24), (21, 24), (24, 26), (23, 24), (21, 22), (22, 26), (22, 23), (0, 1), (9, 11), (8, 9), (21, 26), (21, 23), (23, 26), (29, 34), (29, 31), (37, 39), (31, 34), (35, 36), (8, 11), (14, 16), (14, 15), (13, 14)]","[((6, 28), (6, 42)), ((6, 8), (6, 42)), ((8, 18), (8, 28)), ((8, 16), (8, 18)), ((8, 11), (8, 18)), ((8, 10), (8, 18)), ((8, 18), (8, 19)), ((8, 14), (8, 18)), ((12, 14), (12, 18)), ((12, 13), (12, 14)), ((7, 8), (7, 28)), ((4, 5), (4, 42)), ((8, 16), (8, 28)), ((8, 11), (8, 28)), ((8, 10), (8, 28)), ((8, 19), (8, 28)), ((8, 14), (8, 28)), ((10, 14), (10, 17)), ((10, 12), (10, 14)), ((10, 11), (10, 14)), ((10, 14), (10, 18)), ((10, 13), (10, 14)), ((10, 12), (10, 17)), ((10, 11), (10, 17)), ((10, 17), (10, 18)), ((10, 13), (10, 17)), ((6, 8), (6, 28)), ((10, 11), (10, 12)), ((10, 12), (10, 18)), ((10, 12), (10, 13)), ((2, 3), (2, 9)), ((5, 9), (5, 17)), ((5, 17), (5, 42)), ((5, 6), (5, 17)), ((8, 11), (8, 16)), ((8, 10), (8, 16)), ((8, 16), (8, 19)), ((8, 14), (8, 16)), ((8, 10), (8, 11)), ((8, 11), (8, 19)), ((8, 11), (8, 14)), ((1, 2), (1, 9)), ((5, 9), (5, 42)), ((5, 6), (5, 9)), ((8, 10), (8, 19)), ((8, 10), (8, 14)), ((8, 14), (8, 19)), ((10, 11), (10, 18)), ((10, 11), (10, 13)), ((12, 13), (12, 18)), ((10, 13), (10, 18)), ((11, 12), (11, 18)), ((5, 6), (5, 42)), ((6, 17), (6, 42)), ((6, 17), (6, 28)), ((6, 8), (6, 17))]"
1,"{0: [1], 1: [2], 'Matched': True}",43,"[(8, 16), (17, 25), (13, 25), (30, 38), (35, 38), (6, 10), (6, 9), (6, 11), (6, 8), (17, 27), (13, 27), (17, 24), (17, 22), (17, 21), (17, 26), (17, 23), (21, 32), (21, 33), (8, 15), (21, 30), (30, 39), (30, 37), (0, 4), (4, 28), (13, 24), (13, 22), (22, 36), (22, 35), (0, 3), (1, 28), (9, 28), (21, 29), (13, 21), (21, 34), (21, 31), (13, 26), (29, 36), (29, 35), (35, 39), (13, 23), (8, 13), (35, 37), (8, 14)]","[((5, 6), (6, 42)), ((7, 8), (8, 18)), ((6, 8), (8, 18)), ((10, 12), (12, 14)), ((11, 12), (12, 14)), ((4, 5), (5, 17)), ((4, 5), (5, 9)), ((4, 5), (5, 42)), ((4, 5), (5, 6)), ((7, 8), (8, 28)), ((6, 8), (8, 28)), ((7, 8), (8, 16)), ((7, 8), (8, 11)), ((7, 8), (8, 10)), ((7, 8), (8, 19)), ((7, 8), (8, 14)), ((8, 10), (10, 14)), ((8, 10), (10, 17)), ((5, 6), (6, 28)), ((8, 10), (10, 12)), ((10, 12), (12, 18)), ((10, 12), (12, 13)), ((1, 2), (2, 9)), ((2, 9), (9, 17)), ((6, 8), (8, 16)), ((6, 8), (8, 11)), ((8, 11), (11, 18)), ((8, 11), (11, 12)), ((1, 2), (2, 3)), ((1, 9), (9, 17)), ((5, 9), (9, 17)), ((8, 10), (10, 11)), ((6, 8), (8, 10)), ((8, 10), (10, 18)), ((8, 10), (10, 13)), ((6, 8), (8, 19)), ((10, 11), (11, 18)), ((10, 11), (11, 12)), ((11, 12), (12, 18)), ((6, 8), (8, 14)), ((5, 6), (6, 8)), ((11, 12), (12, 13)), ((5, 6), (6, 17))]"
2,"{0: [1], 2: [1], 'Matched': True}",28,"[(11, 16), (7, 16), (25, 39), (25, 34), (25, 36), (32, 38), (23, 38), (19, 27), (15, 19), (15, 27), (13, 17), (23, 32), (10, 33), (28, 33), (30, 35), (1, 4), (4, 9), (10, 28), (22, 29), (1, 9), (34, 39), (36, 39), (34, 36), (7, 11), (31, 37), (10, 14), (14, 28), (14, 33)]","[((5, 42), (6, 42)), ((4, 42), (6, 42)), ((8, 18), (12, 18)), ((8, 18), (10, 18)), ((8, 18), (11, 18)), ((10, 14), (12, 14)), ((8, 14), (12, 14)), ((7, 28), (8, 28)), ((6, 28), (7, 28)), ((6, 28), (8, 28)), ((6, 8), (7, 8)), ((8, 14), (10, 14)), ((5, 17), (10, 17)), ((9, 17), (10, 17)), ((10, 12), (11, 12)), ((1, 9), (2, 9)), ((2, 9), (5, 9)), ((5, 17), (9, 17)), ((8, 11), (10, 11)), ((1, 9), (5, 9)), ((10, 18), (12, 18)), ((11, 18), (12, 18)), ((10, 18), (11, 18)), ((4, 42), (5, 42)), ((10, 13), (12, 13)), ((5, 17), (6, 17)), ((6, 17), (9, 17)), ((6, 17), (10, 17))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",17,"[(8, 11, 16), (22, 25, 36), (21, 25, 34), (30, 32, 38), (17, 19, 27), (6, 7, 11), (13, 15, 27), (21, 23, 32), (29, 30, 35), (30, 34, 39), (30, 31, 37), (0, 1, 4), (9, 10, 28), (21, 22, 29), (29, 34, 36), (35, 36, 39), (8, 10, 14)]","[((5, 6), (5, 42), (6, 42)), ((8, 11), (8, 18), (11, 18)), ((8, 10), (8, 18), (10, 18)), ((10, 12), (10, 14), (12, 14)), ((7, 8), (7, 28), (8, 28)), ((4, 5), (4, 42), (5, 42)), ((6, 8), (6, 28), (8, 28)), ((8, 10), (8, 14), (10, 14)), ((10, 11), (10, 12), (11, 12)), ((10, 12), (10, 18), (12, 18)), ((10, 12), (10, 13), (12, 13)), ((1, 2), (1, 9), (2, 9)), ((5, 9), (5, 17), (9, 17)), ((8, 10), (8, 11), (10, 11)), ((10, 11), (10, 18), (11, 18)), ((11, 12), (11, 18), (12, 18)), ((5, 6), (5, 17), (6, 17))]"
