,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",21,"[(14, 16), (13, 14), (13, 16), (30, 32), (37, 39), (23, 25), (31, 34), (32, 34), (31, 32), (29, 31), (29, 32), (25, 27), (19, 20), (17, 20), (18, 20), (18, 19), (22, 23), (23, 27), (22, 27), (21, 27), (17, 18)]","[[[6, 17], [6, 42]], [[6, 17], [6, 8]], [[6, 42], [6, 8]], [[10, 12], [10, 14]], [[12, 13], [12, 18]], [[8, 18], [8, 14]], [[10, 18], [10, 13]], [[10, 18], [10, 14]], [[10, 13], [10, 14]], [[10, 13], [10, 11]], [[10, 14], [10, 11]], [[8, 18], [8, 28]], [[7, 44], [7, 28]], [[7, 44], [7, 8]], [[7, 44], [7, 16]], [[7, 28], [7, 16]], [[8, 14], [8, 11]], [[8, 14], [8, 28]], [[8, 11], [8, 28]], [[8, 10], [8, 28]], [[7, 8], [7, 16]]]"
1,"{0: [1], 1: [2], 'Matched': True}",17,"[(4, 28), (8, 14), (6, 8), (8, 13), (13, 25), (13, 21), (13, 23), (21, 30), (35, 37), (21, 31), (17, 25), (17, 23), (17, 22), (22, 35), (13, 22), (17, 21), (13, 27)]","[[[9, 17], [2, 9]], [[6, 17], [5, 6]], [[5, 6], [4, 5]], [[5, 6], [6, 8]], [[6, 8], [8, 18]], [[6, 8], [8, 10]], [[6, 8], [8, 14]], [[10, 12], [8, 10]], [[12, 13], [11, 12]], [[10, 13], [8, 10]], [[8, 18], [7, 8]], [[8, 14], [7, 8]], [[8, 11], [7, 8]], [[8, 11], [11, 12]], [[8, 11], [6, 8]], [[8, 10], [7, 8]], [[8, 28], [6, 8]]]"
2,"{0: [1], 2: [1], 'Matched': True}",6,"[(1, 4), (2, 14), (14, 28), (7, 16), (25, 39), (13, 17)]","[[[1, 9], [2, 9]], [[1, 17], [6, 17]], [[9, 17], [6, 17]], [[4, 42], [6, 42]], [[12, 18], [8, 18]], [[7, 8], [6, 8]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",13,"[(1, 2, 28), (8, 11, 16), (6, 7, 11), (30, 31, 37), (29, 30, 35), (30, 34, 39), (35, 36, 39), (29, 34, 36), (21, 25, 34), (21, 23, 32), (22, 25, 36), (17, 19, 27), (21, 22, 29)]","[[[1, 9], [1, 17], [9, 17]], [[5, 6], [5, 42], [6, 42]], [[4, 5], [4, 42], [5, 42]], [[10, 12], [10, 13], [12, 13]], [[10, 12], [10, 11], [11, 12]], [[10, 12], [10, 18], [12, 18]], [[11, 12], [11, 18], [12, 18]], [[11, 18], [10, 18], [10, 11]], [[8, 18], [8, 10], [10, 18]], [[10, 14], [8, 10], [8, 14]], [[8, 18], [8, 11], [11, 18]], [[7, 28], [7, 8], [8, 28]], [[8, 11], [8, 10], [10, 11]]]"
