,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [1]}",46,"[(69, 57), (19, 63), (68, 10), (10, 34), (54, 5), (0, 8), (35, 55), (55, 40), (55, 41), (39, 55), (28, 40), (9, 40), (41, 25), (41, 24), (9, 41), (9, 68), (9, 34), (9, 39), (39, 3), (49, 2), (48, 2), (46, 2), (56, 49), (42, 49), (53, 49), (48, 56), (48, 42), (48, 53), (35, 56), (56, 46), (42, 46), (53, 46), (53, 5), (68, 13), (51, 34), (11, 34), (51, 35), (35, 11), (52, 13), (69, 13), (16, 67), (27, 67), (62, 50), (23, 33), (36, 33), (62, 70)]","[[[56, 19], [1, 56]], [[28, 27], [1, 28]], [[16, 19], [1, 16]], [[1, 16], [16, 17]], [[1, 10], [10, 9]], [[1, 2], [2, 15]], [[45, 17], [3, 45]], [[3, 45], [39, 3]], [[3, 45], [34, 3]], [[7, 3], [3, 45]], [[35, 39], [39, 3]], [[3, 16], [39, 3]], [[34, 3], [35, 34]], [[34, 3], [11, 34]], [[3, 16], [34, 3]], [[3, 16], [16, 19]], [[3, 16], [16, 17]], [[3, 16], [7, 3]], [[7, 3], [6, 7]], [[53, 5], [5, 4]], [[52, 5], [5, 4]], [[12, 5], [5, 4]], [[5, 45], [53, 5]], [[5, 26], [53, 5]], [[5, 10], [53, 5]], [[52, 5], [5, 45]], [[52, 5], [5, 26]], [[52, 5], [5, 10]], [[45, 17], [5, 45]], [[5, 45], [12, 5]], [[5, 26], [12, 5]], [[5, 10], [12, 5]], [[5, 10], [10, 9]], [[16, 19], [19, 18]], [[17, 55], [16, 17]], [[17, 18], [16, 17]], [[17, 55], [45, 17]], [[45, 17], [17, 18]], [[18, 55], [19, 18]], [[56, 19], [19, 18]], [[23, 21], [38, 23]], [[37, 38], [38, 23]], [[61, 54], [54, 24]], [[32, 33], [33, 44]], [[44, 46], [33, 44]], [[61, 54], [54, 59]]]"
1,"{2: [0, 1]}",45,"[(32, 57), (29, 57), (63, 57), (57, 43), (10, 57), (54, 57), (0, 57), (29, 32), (63, 32), (32, 43), (32, 10), (54, 32), (0, 32), (63, 29), (29, 43), (29, 10), (54, 29), (0, 29), (63, 43), (63, 10), (63, 54), (0, 63), (10, 43), (54, 43), (0, 43), (54, 10), (0, 10), (0, 54), (9, 55), (56, 2), (42, 2), (53, 2), (56, 42), (53, 56), (53, 42), (58, 66), (66, 3), (58, 3), (22, 24), (68, 34), (59, 15), (50, 70), (64, 25), (28, 25), (64, 28)]","[[[1, 43], [1, 56]], [[1, 40], [1, 56]], [[1, 28], [1, 56]], [[1, 56], [1, 26]], [[1, 16], [1, 56]], [[1, 10], [1, 56]], [[1, 2], [1, 56]], [[1, 40], [1, 43]], [[1, 28], [1, 43]], [[1, 43], [1, 26]], [[1, 43], [1, 16]], [[1, 10], [1, 43]], [[1, 2], [1, 43]], [[1, 28], [1, 40]], [[1, 40], [1, 26]], [[1, 40], [1, 16]], [[1, 10], [1, 40]], [[1, 2], [1, 40]], [[1, 28], [1, 26]], [[1, 28], [1, 16]], [[1, 28], [1, 10]], [[1, 2], [1, 28]], [[1, 16], [1, 26]], [[1, 10], [1, 26]], [[1, 2], [1, 26]], [[1, 10], [1, 16]], [[1, 2], [1, 16]], [[1, 2], [1, 10]], [[3, 16], [3, 45]], [[5, 45], [5, 4]], [[5, 26], [5, 4]], [[5, 10], [5, 4]], [[5, 45], [5, 26]], [[5, 10], [5, 45]], [[5, 10], [5, 26]], [[6, 36], [6, 64]], [[6, 64], [6, 7]], [[6, 36], [6, 7]], [[11, 31], [11, 34]], [[16, 19], [16, 17]], [[22, 57], [22, 21]], [[54, 24], [54, 59]], [[35, 62], [35, 34]], [[35, 39], [35, 34]], [[35, 62], [35, 39]]]"
2,"{1: [0], 2: [0]}",25,"[(42, 43), (9, 10), (53, 54), (56, 55), (41, 40), (39, 40), (39, 41), (48, 49), (46, 49), (48, 46), (5, 4), (25, 24), (69, 68), (35, 34), (11, 13), (16, 14), (15, 14), (16, 15), (20, 21), (19, 21), (19, 20), (64, 65), (38, 36), (37, 36), (37, 38)]","[[[5, 26], [1, 26]], [[3, 16], [1, 16]], [[5, 10], [1, 10]], [[5, 45], [3, 45]], [[34, 3], [39, 3]], [[7, 3], [39, 3]], [[7, 3], [34, 3]], [[52, 5], [53, 5]], [[12, 5], [53, 5]], [[52, 5], [12, 5]], [[10, 9], [8, 9]], [[35, 34], [11, 34]], [[56, 19], [16, 19]], [[45, 17], [16, 17]], [[17, 18], [19, 18]], [[23, 21], [20, 21]], [[22, 21], [20, 21]], [[23, 21], [22, 21]], [[29, 27], [30, 27]], [[28, 27], [30, 27]], [[28, 27], [29, 27]], [[35, 62], [63, 62]], [[48, 46], [44, 46]], [[47, 46], [44, 46]], [[47, 46], [48, 46]]]"
3,"{1: [0], 2: [0, 1]}",1,"[(51, 52, 11)]","[[[17, 55], [18, 55], [17, 18]]]"
