,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",13,"[(22, 26), (22, 27), (17, 18), (0, 2), (1, 2), (18, 19), (12, 14), (12, 16), (6, 7), (26, 27), (14, 16), (13, 14), (13, 16)]","[[[8, 11], [8, 19]], [[8, 11], [8, 28]], [[7, 8], [7, 16]], [[1, 17], [1, 2]], [[1, 17], [1, 9]], [[7, 28], [7, 16]], [[6, 7], [6, 17]], [[6, 7], [6, 42]], [[4, 42], [4, 5]], [[8, 19], [8, 28]], [[6, 17], [6, 42]], [[6, 17], [6, 8]], [[6, 42], [6, 8]]]"
1,"{0: [1], 1: [2], 'Matched': True}",12,"[(17, 22), (13, 22), (17, 26), (8, 12), (6, 8), (8, 16), (8, 13), (12, 19), (12, 18), (6, 10), (13, 26), (13, 27)]","[[[8, 11], [7, 8]], [[8, 11], [6, 8]], [[7, 8], [8, 19]], [[5, 6], [6, 7]], [[5, 6], [4, 5]], [[5, 6], [6, 42]], [[5, 6], [6, 8]], [[7, 28], [6, 7]], [[7, 16], [6, 7]], [[5, 17], [4, 5]], [[8, 19], [6, 8]], [[8, 28], [6, 8]]]"
2,"{0: [1], 2: [1], 'Matched': True}",4,"[(22, 29), (2, 10), (2, 14), (7, 16)]","[[[8, 11], [10, 11]], [[1, 17], [5, 17]], [[1, 17], [6, 17]], [[4, 42], [6, 42]]]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",4,"[(17, 19, 27), (12, 13, 17), (8, 10, 14), (0, 1, 4)]","[[[7, 8], [7, 28], [8, 28]], [[7, 8], [6, 7], [6, 8]], [[5, 6], [5, 17], [6, 17]], [[1, 2], [1, 9], [2, 9]]]"
