,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",83,"[(26, 27), (21, 27), (23, 27), (24, 27), (25, 27), (22, 27), (21, 26), (23, 26), (24, 26), (25, 26), (22, 26), (21, 23), (21, 24), (21, 25), (21, 22), (13, 16), (13, 15), (12, 13), (13, 14), (17, 20), (17, 19), (17, 18), (23, 24), (23, 25), (22, 23), (6, 7), (9, 11), (8, 11), (10, 11), (15, 16), (12, 16), (14, 16), (31, 34), (31, 32), (29, 31), (30, 31), (31, 33), (32, 34), (29, 34), (30, 34), (33, 34), (1, 2), (0, 2), (8, 9), (9, 10), (40, 43), (42, 43), (43, 44), (41, 43), (45, 46), (46, 48), (46, 47), (40, 42), (40, 44), (40, 41), (19, 20), (18, 20), (8, 10), (42, 44), (41, 42), (0, 1), (12, 15), (14, 15), (18, 19), (29, 32), (30, 32), (32, 33), (29, 30), (29, 33), (35, 36), (12, 14), (3, 4), (45, 48), (45, 47), (24, 25), (22, 24), (47, 48), (37, 38), (37, 39), (22, 25), (41, 44), (30, 33), (38, 39)]","[((8, 19), (8, 28)), ((8, 10), (8, 28)), ((8, 14), (8, 28)), ((8, 16), (8, 28)), ((8, 18), (8, 28)), ((8, 11), (8, 28)), ((8, 10), (8, 19)), ((8, 14), (8, 19)), ((8, 16), (8, 19)), ((8, 18), (8, 19)), ((8, 11), (8, 19)), ((8, 10), (8, 14)), ((8, 10), (8, 16)), ((8, 10), (8, 18)), ((8, 10), (8, 11)), ((6, 8), (6, 42)), ((6, 8), (6, 28)), ((6, 7), (6, 8)), ((6, 8), (6, 17)), ((7, 8), (7, 44)), ((7, 8), (7, 28)), ((7, 8), (7, 16)), ((8, 14), (8, 16)), ((8, 14), (8, 18)), ((8, 11), (8, 14)), ((4, 5), (4, 42)), ((5, 9), (5, 42)), ((5, 6), (5, 42)), ((5, 17), (5, 42)), ((6, 28), (6, 42)), ((6, 7), (6, 42)), ((6, 17), (6, 42)), ((10, 13), (10, 18)), ((10, 13), (10, 14)), ((10, 11), (10, 13)), ((10, 12), (10, 13)), ((10, 13), (10, 17)), ((10, 14), (10, 18)), ((10, 11), (10, 18)), ((10, 12), (10, 18)), ((10, 17), (10, 18)), ((1, 9), (1, 17)), ((1, 2), (1, 17)), ((5, 6), (5, 9)), ((5, 9), (5, 17)), ((13, 14), (13, 18)), ((13, 16), (13, 18)), ((13, 18), (13, 32)), ((13, 15), (13, 18)), ((14, 15), (14, 16)), ((14, 16), (14, 32)), ((14, 16), (14, 18)), ((13, 14), (13, 16)), ((13, 14), (13, 32)), ((13, 14), (13, 15)), ((7, 28), (7, 44)), ((7, 16), (7, 44)), ((5, 6), (5, 17)), ((13, 16), (13, 32)), ((13, 15), (13, 16)), ((1, 2), (1, 9)), ((6, 7), (6, 28)), ((6, 17), (6, 28)), ((7, 16), (7, 28)), ((10, 11), (10, 14)), ((10, 12), (10, 14)), ((10, 14), (10, 17)), ((10, 11), (10, 12)), ((10, 11), (10, 17)), ((11, 12), (11, 18)), ((6, 7), (6, 17)), ((2, 3), (2, 9)), ((14, 15), (14, 32)), ((14, 15), (14, 18)), ((8, 16), (8, 18)), ((8, 11), (8, 16)), ((14, 18), (14, 32)), ((12, 13), (12, 14)), ((12, 13), (12, 18)), ((8, 11), (8, 18)), ((13, 15), (13, 32)), ((10, 12), (10, 17)), ((12, 14), (12, 18))]"
1,"{0: [1], 1: [2], 'Matched': True}",75,"[(13, 27), (17, 27), (13, 26), (17, 26), (13, 21), (17, 21), (21, 31), (21, 34), (21, 32), (21, 29), (21, 30), (21, 33), (13, 23), (8, 13), (13, 24), (13, 25), (13, 22), (17, 23), (12, 17), (17, 24), (17, 25), (17, 22), (23, 46), (23, 45), (23, 48), (23, 47), (6, 11), (6, 9), (6, 8), (6, 10), (8, 16), (31, 43), (31, 40), (31, 42), (31, 44), (31, 41), (9, 28), (37, 43), (40, 46), (32, 46), (38, 46), (40, 45), (40, 48), (37, 40), (40, 47), (12, 20), (8, 15), (8, 12), (8, 14), (37, 42), (1, 28), (12, 19), (32, 45), (32, 48), (32, 47), (29, 36), (29, 35), (22, 36), (12, 18), (0, 3), (3, 5), (38, 45), (38, 48), (0, 4), (37, 44), (30, 37), (37, 41), (35, 37), (4, 28), (38, 47), (30, 38), (30, 39), (22, 35), (35, 38), (35, 39)]","[((6, 8), (8, 28)), ((7, 8), (8, 28)), ((6, 8), (8, 19)), ((7, 8), (8, 19)), ((6, 8), (8, 10)), ((7, 8), (8, 10)), ((8, 10), (10, 13)), ((8, 10), (10, 18)), ((8, 10), (10, 14)), ((8, 10), (10, 11)), ((8, 10), (10, 12)), ((8, 10), (10, 17)), ((6, 8), (8, 14)), ((5, 6), (6, 8)), ((6, 8), (8, 16)), ((6, 8), (8, 18)), ((6, 8), (8, 11)), ((7, 8), (8, 14)), ((6, 7), (7, 8)), ((7, 8), (8, 16)), ((7, 8), (8, 18)), ((7, 8), (8, 11)), ((8, 14), (14, 16)), ((8, 14), (14, 15)), ((8, 14), (14, 32)), ((8, 14), (14, 18)), ((4, 5), (5, 42)), ((4, 5), (5, 9)), ((4, 5), (5, 6)), ((4, 5), (5, 17)), ((5, 6), (6, 42)), ((10, 13), (13, 18)), ((10, 13), (13, 14)), ((10, 13), (13, 16)), ((10, 13), (13, 32)), ((10, 13), (13, 15)), ((5, 9), (9, 17)), ((12, 13), (13, 18)), ((13, 14), (14, 16)), ((10, 14), (14, 16)), ((12, 14), (14, 16)), ((13, 14), (14, 15)), ((13, 14), (14, 32)), ((12, 13), (13, 14)), ((13, 14), (14, 18)), ((6, 7), (7, 44)), ((5, 6), (6, 28)), ((5, 6), (6, 7)), ((5, 6), (6, 17)), ((12, 13), (13, 16)), ((1, 9), (9, 17)), ((6, 7), (7, 28)), ((10, 14), (14, 15)), ((10, 14), (14, 32)), ((10, 14), (14, 18)), ((10, 11), (11, 18)), ((10, 11), (11, 12)), ((8, 11), (11, 18)), ((6, 7), (7, 16)), ((1, 2), (2, 3)), ((2, 3), (3, 49)), ((12, 14), (14, 15)), ((12, 14), (14, 32)), ((1, 2), (2, 9)), ((12, 13), (13, 32)), ((10, 12), (12, 13)), ((12, 13), (13, 15)), ((11, 12), (12, 13)), ((2, 9), (9, 17)), ((12, 14), (14, 18)), ((10, 12), (12, 14)), ((10, 12), (12, 18)), ((8, 11), (11, 12)), ((11, 12), (12, 14)), ((11, 12), (12, 18))]"
2,"{0: [1], 2: [1], 'Matched': True}",52,"[(15, 27), (19, 27), (13, 17), (23, 40), (23, 32), (23, 38), (11, 16), (7, 11), (7, 16), (31, 37), (34, 43), (34, 36), (25, 34), (34, 47), (34, 39), (2, 10), (2, 14), (2, 33), (2, 28), (1, 9), (4, 9), (36, 43), (25, 43), (43, 47), (39, 43), (42, 46), (18, 46), (24, 46), (32, 40), (38, 40), (18, 42), (24, 42), (10, 14), (10, 33), (10, 28), (1, 4), (15, 19), (32, 38), (22, 29), (25, 36), (36, 47), (36, 39), (18, 24), (41, 45), (44, 48), (25, 47), (25, 39), (14, 33), (14, 28), (39, 47), (30, 35), (28, 33)]","[((6, 28), (8, 28)), ((7, 28), (8, 28)), ((6, 8), (7, 8)), ((8, 14), (13, 14)), ((8, 14), (10, 14)), ((8, 14), (12, 14)), ((5, 42), (6, 42)), ((4, 42), (5, 42)), ((4, 42), (6, 42)), ((10, 13), (12, 13)), ((10, 18), (13, 18)), ((10, 18), (11, 18)), ((8, 18), (10, 18)), ((10, 18), (14, 18)), ((10, 18), (12, 18)), ((1, 17), (5, 17)), ((1, 17), (6, 17)), ((1, 17), (10, 17)), ((1, 17), (9, 17)), ((1, 9), (5, 9)), ((2, 9), (5, 9)), ((11, 18), (13, 18)), ((8, 18), (13, 18)), ((13, 18), (14, 18)), ((12, 18), (13, 18)), ((13, 16), (14, 16)), ((7, 16), (14, 16)), ((8, 16), (14, 16)), ((10, 14), (13, 14)), ((12, 14), (13, 14)), ((7, 16), (13, 16)), ((8, 16), (13, 16)), ((5, 17), (6, 17)), ((5, 17), (10, 17)), ((5, 17), (9, 17)), ((1, 9), (2, 9)), ((6, 28), (7, 28)), ((10, 14), (12, 14)), ((8, 11), (10, 11)), ((8, 18), (11, 18)), ((11, 18), (14, 18)), ((11, 18), (12, 18)), ((7, 16), (8, 16)), ((13, 15), (14, 15)), ((13, 32), (14, 32)), ((8, 18), (14, 18)), ((8, 18), (12, 18)), ((6, 17), (10, 17)), ((6, 17), (9, 17)), ((12, 18), (14, 18)), ((10, 12), (11, 12)), ((9, 17), (10, 17))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",33,"[(13, 15, 27), (17, 19, 27), (21, 23, 32), (21, 25, 34), (21, 22, 29), (12, 13, 17), (17, 18, 24), (23, 24, 46), (23, 25, 47), (6, 7, 11), (8, 11, 16), (31, 34, 43), (31, 32, 40), (30, 31, 37), (32, 34, 47), (29, 34, 36), (30, 34, 39), (1, 2, 28), (9, 10, 28), (40, 43, 47), (37, 39, 43), (40, 42, 46), (40, 41, 45), (40, 44, 48), (37, 38, 40), (8, 10, 14), (0, 1, 4), (12, 15, 19), (30, 32, 38), (29, 30, 35), (22, 25, 36), (35, 36, 39), (38, 39, 47)]","[((6, 8), (6, 28), (8, 28)), ((7, 8), (7, 28), (8, 28)), ((8, 10), (8, 14), (10, 14)), ((8, 10), (8, 18), (10, 18)), ((8, 10), (8, 11), (10, 11)), ((6, 7), (6, 8), (7, 8)), ((7, 8), (7, 16), (8, 16)), ((8, 14), (8, 16), (14, 16)), ((8, 14), (8, 18), (14, 18)), ((4, 5), (4, 42), (5, 42)), ((5, 6), (5, 42), (6, 42)), ((10, 13), (10, 18), (13, 18)), ((10, 13), (10, 14), (13, 14)), ((10, 12), (10, 13), (12, 13)), ((10, 14), (10, 18), (14, 18)), ((10, 11), (10, 18), (11, 18)), ((10, 12), (10, 18), (12, 18)), ((1, 9), (1, 17), (9, 17)), ((5, 9), (5, 17), (9, 17)), ((13, 14), (13, 18), (14, 18)), ((12, 13), (12, 18), (13, 18)), ((13, 14), (13, 16), (14, 16)), ((13, 14), (13, 15), (14, 15)), ((13, 14), (13, 32), (14, 32)), ((12, 13), (12, 14), (13, 14)), ((5, 6), (5, 17), (6, 17)), ((1, 2), (1, 9), (2, 9)), ((6, 7), (6, 28), (7, 28)), ((10, 12), (10, 14), (12, 14)), ((10, 11), (10, 12), (11, 12)), ((8, 11), (8, 18), (11, 18)), ((11, 12), (11, 18), (12, 18)), ((12, 14), (12, 18), (14, 18))]"
