,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",77,"[(9, 10), (9, 11), (8, 9), (29, 31), (30, 31), (31, 34), (31, 32), (31, 33), (46, 47), (46, 48), (46, 49), (1, 2), (0, 1), (17, 19), (17, 20), (0, 2), (29, 30), (29, 34), (29, 32), (29, 33), (21, 24), (21, 22), (21, 23), (21, 26), (21, 25), (41, 43), (40, 43), (43, 44), (42, 43), (30, 34), (30, 32), (30, 33), (47, 48), (47, 49), (22, 24), (23, 24), (24, 26), (24, 25), (48, 49), (32, 34), (33, 34), (38, 39), (37, 38), (40, 41), (41, 44), (41, 42), (13, 14), (12, 14), (14, 15), (14, 16), (3, 4), (12, 13), (13, 15), (13, 16), (40, 44), (40, 42), (22, 23), (22, 26), (22, 25), (23, 26), (23, 25), (54, 55), (54, 56), (12, 15), (12, 16), (37, 39), (19, 20), (10, 11), (8, 10), (35, 36), (55, 56), (8, 11), (42, 44), (25, 26), (15, 16), (6, 7), (32, 33)]","[((5, 9), (5, 17)), ((5, 9), (5, 42)), ((5, 6), (5, 9)), ((10, 11), (10, 13)), ((10, 12), (10, 13)), ((10, 13), (10, 18)), ((10, 13), (10, 14)), ((10, 13), (10, 17)), ((14, 16), (14, 18)), ((14, 16), (14, 32)), ((14, 16), (14, 36)), ((1, 9), (1, 17)), ((1, 2), (1, 9)), ((7, 8), (7, 28)), ((7, 8), (7, 44)), ((1, 2), (1, 17)), ((10, 11), (10, 12)), ((10, 11), (10, 18)), ((10, 11), (10, 14)), ((10, 11), (10, 17)), ((8, 10), (8, 16)), ((8, 10), (8, 11)), ((8, 10), (8, 14)), ((8, 10), (8, 19)), ((8, 10), (8, 18)), ((13, 15), (13, 18)), ((13, 14), (13, 18)), ((13, 18), (13, 32)), ((13, 16), (13, 18)), ((10, 12), (10, 18)), ((10, 12), (10, 14)), ((10, 12), (10, 17)), ((14, 18), (14, 32)), ((14, 18), (14, 36)), ((8, 11), (8, 16)), ((8, 14), (8, 16)), ((8, 16), (8, 19)), ((8, 16), (8, 18)), ((14, 32), (14, 36)), ((10, 14), (10, 18)), ((10, 17), (10, 18)), ((12, 14), (12, 18)), ((12, 13), (12, 14)), ((13, 14), (13, 15)), ((13, 15), (13, 32)), ((13, 15), (13, 16)), ((6, 8), (6, 17)), ((6, 7), (6, 17)), ((6, 17), (6, 28)), ((6, 17), (6, 42)), ((2, 3), (2, 9)), ((6, 7), (6, 8)), ((6, 8), (6, 28)), ((6, 8), (6, 42)), ((13, 14), (13, 32)), ((13, 14), (13, 16)), ((8, 11), (8, 14)), ((8, 11), (8, 19)), ((8, 11), (8, 18)), ((8, 14), (8, 19)), ((8, 14), (8, 18)), ((16, 17), (16, 18)), ((16, 17), (16, 32)), ((6, 7), (6, 28)), ((6, 7), (6, 42)), ((12, 13), (12, 18)), ((7, 28), (7, 44)), ((5, 17), (5, 42)), ((5, 6), (5, 17)), ((11, 12), (11, 18)), ((16, 18), (16, 32)), ((5, 6), (5, 42)), ((13, 16), (13, 32)), ((8, 18), (8, 19)), ((6, 28), (6, 42)), ((4, 5), (4, 42)), ((10, 14), (10, 17))]"
1,"{0: [1], 1: [2], 'Matched': True}",79,"[(6, 9), (21, 31), (31, 43), (31, 41), (31, 40), (31, 44), (31, 42), (38, 46), (40, 46), (23, 46), (46, 54), (46, 55), (32, 46), (46, 56), (17, 21), (17, 24), (17, 22), (17, 23), (12, 17), (17, 26), (17, 25), (21, 29), (29, 35), (29, 36), (21, 30), (21, 34), (13, 21), (21, 32), (21, 33), (37, 43), (30, 38), (30, 39), (30, 37), (38, 47), (40, 47), (23, 47), (32, 47), (13, 24), (24, 54), (24, 55), (24, 56), (38, 48), (40, 48), (23, 48), (32, 48), (38, 49), (35, 38), (37, 41), (41, 53), (8, 14), (0, 4), (13, 22), (13, 23), (13, 26), (13, 25), (8, 13), (40, 49), (37, 40), (23, 49), (32, 49), (22, 35), (22, 36), (42, 54), (12, 19), (8, 12), (12, 20), (35, 39), (3, 5), (0, 3), (35, 37), (37, 44), (37, 42), (6, 10), (42, 55), (6, 11), (8, 15), (6, 8), (8, 16), (42, 56)]","[((4, 5), (5, 9)), ((8, 10), (10, 13)), ((10, 13), (13, 18)), ((10, 13), (13, 15)), ((10, 13), (13, 14)), ((10, 13), (13, 32)), ((10, 13), (13, 16)), ((12, 14), (14, 16)), ((13, 14), (14, 16)), ((8, 14), (14, 16)), ((14, 16), (16, 17)), ((14, 16), (16, 18)), ((10, 14), (14, 16)), ((14, 16), (16, 32)), ((7, 8), (8, 10)), ((7, 8), (8, 16)), ((7, 8), (8, 11)), ((7, 8), (8, 14)), ((6, 7), (7, 8)), ((7, 8), (8, 19)), ((7, 8), (8, 18)), ((8, 10), (10, 11)), ((10, 11), (11, 12)), ((10, 11), (11, 18)), ((8, 10), (10, 12)), ((8, 10), (10, 18)), ((6, 8), (8, 10)), ((8, 10), (10, 14)), ((8, 10), (10, 17)), ((12, 13), (13, 18)), ((10, 12), (12, 14)), ((10, 12), (12, 18)), ((10, 12), (12, 13)), ((12, 14), (14, 18)), ((13, 14), (14, 18)), ((8, 14), (14, 18)), ((10, 14), (14, 18)), ((6, 8), (8, 16)), ((8, 16), (16, 17)), ((8, 16), (16, 18)), ((8, 16), (16, 32)), ((12, 14), (14, 32)), ((13, 14), (14, 32)), ((8, 14), (14, 32)), ((10, 14), (14, 32)), ((12, 14), (14, 36)), ((11, 12), (12, 14)), ((12, 13), (13, 15)), ((13, 15), (15, 37)), ((5, 6), (6, 17)), ((1, 2), (2, 9)), ((6, 8), (8, 11)), ((6, 8), (8, 14)), ((6, 8), (8, 19)), ((6, 8), (8, 18)), ((5, 6), (6, 8)), ((13, 14), (14, 36)), ((12, 13), (13, 14)), ((8, 14), (14, 36)), ((10, 14), (14, 36)), ((8, 11), (11, 12)), ((8, 11), (11, 18)), ((13, 16), (16, 17)), ((6, 7), (7, 28)), ((5, 6), (6, 7)), ((6, 7), (7, 44)), ((11, 12), (12, 18)), ((2, 3), (3, 49)), ((1, 2), (2, 3)), ((11, 12), (12, 13)), ((12, 13), (13, 32)), ((12, 13), (13, 16)), ((4, 5), (5, 17)), ((13, 16), (16, 18)), ((4, 5), (5, 42)), ((5, 6), (6, 28)), ((4, 5), (5, 6)), ((5, 6), (6, 42)), ((13, 16), (16, 32))]"
2,"{0: [1], 2: [1], 'Matched': True}",54,"[(1, 9), (4, 9), (31, 37), (24, 46), (42, 46), (1, 4), (13, 17), (2, 14), (2, 54), (2, 10), (2, 33), (22, 29), (43, 47), (34, 43), (39, 43), (43, 55), (25, 43), (36, 43), (30, 35), (34, 47), (39, 47), (47, 55), (25, 47), (36, 47), (24, 42), (44, 48), (48, 56), (34, 39), (34, 55), (25, 34), (34, 36), (38, 40), (23, 38), (32, 38), (14, 54), (10, 14), (14, 33), (23, 40), (32, 40), (23, 32), (10, 54), (33, 54), (39, 55), (25, 39), (36, 39), (15, 19), (10, 33), (25, 55), (36, 55), (7, 11), (11, 16), (44, 56), (25, 36), (7, 16)]","[((1, 9), (5, 9)), ((2, 9), (5, 9)), ((10, 13), (12, 13)), ((8, 16), (14, 16)), ((13, 16), (14, 16)), ((1, 9), (2, 9)), ((6, 8), (7, 8)), ((1, 17), (6, 17)), ((1, 17), (16, 17)), ((1, 17), (5, 17)), ((1, 17), (10, 17)), ((8, 11), (10, 11)), ((13, 18), (14, 18)), ((10, 18), (13, 18)), ((12, 18), (13, 18)), ((13, 18), (16, 18)), ((8, 18), (13, 18)), ((11, 18), (13, 18)), ((10, 12), (11, 12)), ((10, 18), (14, 18)), ((12, 18), (14, 18)), ((14, 18), (16, 18)), ((8, 18), (14, 18)), ((11, 18), (14, 18)), ((8, 16), (13, 16)), ((13, 32), (14, 32)), ((14, 32), (16, 32)), ((10, 18), (12, 18)), ((10, 18), (16, 18)), ((8, 18), (10, 18)), ((10, 18), (11, 18)), ((12, 14), (13, 14)), ((8, 14), (12, 14)), ((10, 14), (12, 14)), ((6, 17), (16, 17)), ((5, 17), (6, 17)), ((6, 17), (10, 17)), ((8, 14), (13, 14)), ((10, 14), (13, 14)), ((8, 14), (10, 14)), ((5, 17), (16, 17)), ((10, 17), (16, 17)), ((12, 18), (16, 18)), ((8, 18), (12, 18)), ((11, 18), (12, 18)), ((6, 28), (7, 28)), ((5, 17), (10, 17)), ((8, 18), (16, 18)), ((11, 18), (16, 18)), ((4, 42), (5, 42)), ((5, 42), (6, 42)), ((13, 32), (16, 32)), ((8, 18), (11, 18)), ((4, 42), (6, 42))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",32,"[(31, 34, 43), (30, 31, 37), (31, 32, 40), (46, 47, 55), (23, 24, 46), (46, 48, 56), (40, 42, 46), (0, 1, 4), (12, 13, 17), (21, 22, 29), (29, 30, 35), (29, 34, 36), (21, 25, 34), (21, 23, 32), (40, 43, 47), (37, 39, 43), (42, 43, 55), (30, 34, 39), (30, 32, 38), (32, 34, 47), (38, 39, 47), (23, 25, 47), (24, 25, 55), (40, 44, 48), (37, 38, 40), (8, 10, 14), (22, 25, 36), (12, 15, 19), (35, 36, 39), (6, 7, 11), (8, 11, 16), (42, 44, 56)]","[((10, 13), (10, 18), (13, 18)), ((10, 12), (10, 13), (12, 13)), ((10, 13), (10, 14), (13, 14)), ((14, 16), (14, 18), (16, 18)), ((8, 14), (8, 16), (14, 16)), ((14, 16), (14, 32), (16, 32)), ((13, 14), (13, 16), (14, 16)), ((1, 2), (1, 9), (2, 9)), ((6, 7), (6, 8), (7, 8)), ((8, 10), (8, 11), (10, 11)), ((10, 11), (10, 12), (11, 12)), ((10, 11), (10, 18), (11, 18)), ((8, 10), (8, 18), (10, 18)), ((8, 10), (8, 14), (10, 14)), ((13, 14), (13, 18), (14, 18)), ((12, 13), (12, 18), (13, 18)), ((13, 16), (13, 18), (16, 18)), ((10, 12), (10, 18), (12, 18)), ((10, 12), (10, 14), (12, 14)), ((10, 14), (10, 18), (14, 18)), ((12, 14), (12, 18), (14, 18)), ((8, 14), (8, 18), (14, 18)), ((8, 16), (8, 18), (16, 18)), ((13, 14), (13, 32), (14, 32)), ((12, 13), (12, 14), (13, 14)), ((5, 6), (5, 17), (6, 17)), ((8, 11), (8, 18), (11, 18)), ((6, 7), (6, 28), (7, 28)), ((11, 12), (11, 18), (12, 18)), ((4, 5), (4, 42), (5, 42)), ((5, 6), (5, 42), (6, 42)), ((13, 16), (13, 32), (16, 32))]"
