,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",35,"[(0, 2), (22, 25), (25, 26), (23, 25), (21, 25), (8, 11), (9, 11), (10, 11), (14, 16), (12, 14), (12, 16), (33, 34), (3, 4), (22, 26), (22, 23), (21, 22), (23, 26), (21, 26), (8, 9), (8, 10), (21, 23), (9, 10), (17, 20), (6, 7), (29, 34), (32, 34), (31, 34), (29, 33), (32, 33), (31, 33), (29, 32), (29, 31), (31, 32), (0, 1), (1, 2)]","[((1, 2), (1, 17)), ((8, 11), (8, 18)), ((8, 18), (8, 19)), ((8, 14), (8, 18)), ((8, 10), (8, 18)), ((5, 6), (5, 42)), ((5, 9), (5, 42)), ((5, 17), (5, 42)), ((6, 17), (6, 42)), ((6, 7), (6, 17)), ((6, 7), (6, 42)), ((10, 17), (10, 18)), ((2, 3), (2, 9)), ((8, 11), (8, 19)), ((8, 11), (8, 14)), ((8, 10), (8, 11)), ((8, 14), (8, 19)), ((8, 10), (8, 19)), ((5, 6), (5, 9)), ((5, 6), (5, 17)), ((8, 10), (8, 14)), ((5, 9), (5, 17)), ((7, 8), (7, 44)), ((4, 5), (4, 42)), ((10, 11), (10, 18)), ((10, 14), (10, 18)), ((10, 13), (10, 18)), ((10, 11), (10, 17)), ((10, 14), (10, 17)), ((10, 13), (10, 17)), ((10, 11), (10, 14)), ((10, 11), (10, 13)), ((10, 13), (10, 14)), ((1, 2), (1, 9)), ((1, 9), (1, 17))]"
1,"{0: [1], 1: [2], 'Matched': True}",28,"[(4, 28), (9, 28), (17, 25), (6, 11), (8, 14), (8, 16), (21, 34), (0, 3), (3, 5), (0, 4), (22, 35), (17, 22), (21, 33), (17, 26), (8, 12), (6, 8), (17, 23), (6, 9), (12, 17), (12, 20), (17, 21), (6, 10), (21, 29), (21, 32), (21, 31), (29, 35), (35, 37), (1, 28)]","[((2, 9), (9, 17)), ((5, 9), (9, 17)), ((7, 8), (8, 18)), ((4, 5), (5, 42)), ((5, 6), (6, 17)), ((5, 6), (6, 42)), ((8, 10), (10, 18)), ((1, 2), (2, 3)), ((2, 3), (3, 49)), ((1, 2), (2, 9)), ((8, 11), (11, 12)), ((7, 8), (8, 11)), ((8, 10), (10, 17)), ((7, 8), (8, 19)), ((5, 6), (6, 7)), ((4, 5), (5, 6)), ((7, 8), (8, 14)), ((4, 5), (5, 9)), ((6, 7), (7, 8)), ((6, 7), (7, 44)), ((7, 8), (8, 10)), ((4, 5), (5, 17)), ((8, 10), (10, 11)), ((8, 10), (10, 14)), ((8, 10), (10, 13)), ((10, 11), (11, 12)), ((11, 12), (12, 13)), ((1, 9), (9, 17))]"
2,"{0: [1], 2: [1], 'Matched': True}",20,"[(2, 28), (14, 28), (28, 33), (10, 28), (2, 14), (2, 33), (2, 10), (25, 34), (11, 16), (7, 11), (14, 33), (10, 14), (7, 16), (4, 9), (10, 33), (22, 29), (23, 32), (31, 37), (1, 9), (1, 4)]","[((1, 17), (9, 17)), ((6, 17), (9, 17)), ((9, 17), (10, 17)), ((5, 17), (9, 17)), ((1, 17), (6, 17)), ((1, 17), (10, 17)), ((1, 17), (5, 17)), ((8, 18), (10, 18)), ((5, 42), (6, 42)), ((4, 42), (5, 42)), ((6, 17), (10, 17)), ((5, 17), (6, 17)), ((4, 42), (6, 42)), ((2, 9), (5, 9)), ((5, 17), (10, 17)), ((8, 11), (10, 11)), ((8, 14), (10, 14)), ((10, 13), (12, 13)), ((1, 9), (5, 9)), ((1, 9), (2, 9))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",9,"[(9, 10, 28), (21, 25, 34), (8, 11, 16), (6, 7, 11), (8, 10, 14), (21, 22, 29), (21, 23, 32), (0, 1, 4), (1, 2, 28)]","[((5, 9), (5, 17), (9, 17)), ((8, 10), (8, 18), (10, 18)), ((5, 6), (5, 42), (6, 42)), ((4, 5), (4, 42), (5, 42)), ((5, 6), (5, 17), (6, 17)), ((8, 10), (8, 11), (10, 11)), ((8, 10), (8, 14), (10, 14)), ((1, 2), (1, 9), (2, 9)), ((1, 9), (1, 17), (9, 17))]"
