,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2], 'Matched': True}",42,"[(8, 11), (8, 10), (8, 9), (0, 2), (1, 2), (35, 36), (31, 32), (31, 34), (31, 33), (29, 31), (17, 20), (18, 20), (19, 20), (22, 25), (21, 25), (24, 25), (23, 25), (25, 26), (17, 18), (17, 19), (32, 34), (32, 33), (29, 32), (0, 1), (21, 22), (22, 24), (22, 23), (22, 26), (10, 11), (9, 11), (9, 10), (15, 16), (33, 34), (29, 34), (29, 33), (21, 24), (21, 23), (21, 26), (23, 24), (24, 26), (18, 19), (23, 26)]","[((5, 6), (5, 42)), ((5, 6), (5, 17)), ((5, 6), (5, 9)), ((1, 2), (1, 17)), ((1, 9), (1, 17)), ((11, 12), (11, 18)), ((10, 13), (10, 14)), ((10, 13), (10, 18)), ((10, 13), (10, 17)), ((10, 11), (10, 13)), ((7, 8), (7, 44)), ((7, 16), (7, 44)), ((7, 28), (7, 44)), ((8, 11), (8, 18)), ((8, 10), (8, 18)), ((8, 16), (8, 18)), ((8, 14), (8, 18)), ((8, 18), (8, 19)), ((7, 8), (7, 16)), ((7, 8), (7, 28)), ((10, 14), (10, 18)), ((10, 14), (10, 17)), ((10, 11), (10, 14)), ((1, 2), (1, 9)), ((8, 10), (8, 11)), ((8, 11), (8, 16)), ((8, 11), (8, 14)), ((8, 11), (8, 19)), ((5, 17), (5, 42)), ((5, 9), (5, 42)), ((5, 9), (5, 17)), ((6, 28), (6, 42)), ((10, 17), (10, 18)), ((10, 11), (10, 18)), ((10, 11), (10, 17)), ((8, 10), (8, 16)), ((8, 10), (8, 14)), ((8, 10), (8, 19)), ((8, 14), (8, 16)), ((8, 16), (8, 19)), ((7, 16), (7, 28)), ((8, 14), (8, 19))]"
1,"{0: [1], 1: [2], 'Matched': True}",25,"[(8, 15), (6, 8), (8, 16), (22, 35), (29, 35), (21, 31), (4, 28), (1, 28), (9, 28), (0, 4), (17, 25), (17, 22), (17, 21), (17, 24), (17, 23), (17, 26), (21, 32), (22, 36), (29, 36), (6, 11), (6, 10), (6, 9), (21, 34), (21, 33), (21, 29)]","[((5, 6), (6, 28)), ((4, 5), (5, 6)), ((5, 6), (6, 42)), ((8, 11), (11, 12)), ((10, 11), (11, 12)), ((8, 10), (10, 13)), ((2, 9), (9, 17)), ((1, 9), (9, 17)), ((5, 9), (9, 17)), ((1, 2), (2, 9)), ((7, 8), (8, 18)), ((7, 8), (8, 11)), ((7, 8), (8, 10)), ((7, 8), (8, 16)), ((7, 8), (8, 14)), ((7, 8), (8, 19)), ((8, 10), (10, 14)), ((8, 11), (11, 18)), ((10, 11), (11, 18)), ((4, 5), (5, 42)), ((4, 5), (5, 17)), ((4, 5), (5, 9)), ((8, 10), (10, 18)), ((8, 10), (10, 17)), ((8, 10), (10, 11))]"
2,"{0: [1], 2: [1], 'Matched': True}",17,"[(2, 28), (2, 10), (2, 33), (10, 28), (28, 33), (1, 4), (4, 9), (25, 36), (25, 34), (23, 32), (34, 36), (1, 9), (22, 29), (11, 16), (10, 33), (15, 19), (18, 24)]","[((1, 17), (9, 17)), ((1, 17), (5, 17)), ((1, 17), (10, 17)), ((5, 17), (9, 17)), ((9, 17), (10, 17)), ((1, 9), (2, 9)), ((2, 9), (5, 9)), ((8, 18), (11, 18)), ((8, 18), (10, 18)), ((8, 14), (10, 14)), ((10, 18), (11, 18)), ((1, 9), (5, 9)), ((8, 11), (10, 11)), ((5, 42), (6, 42)), ((5, 17), (10, 17)), ((6, 28), (7, 28)), ((7, 16), (8, 16))]"
4,"{0: [1, 2], 1: [2], 'Matched': True}",10,"[(8, 11, 16), (1, 2, 28), (9, 10, 28), (0, 1, 4), (22, 25, 36), (21, 25, 34), (17, 18, 24), (21, 23, 32), (29, 34, 36), (21, 22, 29)]","[((5, 6), (5, 42), (6, 42)), ((1, 9), (1, 17), (9, 17)), ((5, 9), (5, 17), (9, 17)), ((1, 2), (1, 9), (2, 9)), ((8, 11), (8, 18), (11, 18)), ((8, 10), (8, 18), (10, 18)), ((7, 8), (7, 16), (8, 16)), ((8, 10), (8, 14), (10, 14)), ((10, 11), (10, 18), (11, 18)), ((8, 10), (8, 11), (10, 11))]"
