,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1, 2]}",53,"[(41, 43), (40, 41), (42, 43), (43, 44), (29, 31), (31, 33), (40, 44), (42, 44), (50, 51), (51, 53), (10, 11), (9, 11), (24, 27), (22, 24), (24, 26), (24, 25), (21, 24), (23, 27), (22, 23), (23, 26), (22, 27), (26, 27), (25, 27), (21, 27), (12, 13), (13, 16), (13, 14), (22, 26), (21, 26), (29, 32), (32, 33), (30, 33), (29, 33), (33, 34), (47, 49), (46, 49), (46, 47), (54, 57), (54, 58), (18, 19), (57, 58), (12, 16), (12, 14), (15, 16), (14, 15), (14, 16), (0, 2), (60, 61), (68, 69), (52, 53), (50, 52), (51, 52), (3, 4)]","[[[13, 15], [13, 18]], [[13, 15], [13, 14]], [[13, 18], [13, 16]], [[13, 18], [13, 32]], [[10, 13], [10, 11]], [[10, 13], [10, 17]], [[13, 14], [13, 32]], [[13, 16], [13, 32]], [[15, 32], [15, 16]], [[15, 32], [15, 37]], [[5, 17], [5, 42]], [[5, 9], [5, 42]], [[8, 16], [8, 28]], [[8, 16], [8, 11]], [[8, 16], [8, 19]], [[8, 16], [8, 18]], [[8, 16], [8, 10]], [[8, 14], [8, 28]], [[8, 14], [8, 11]], [[8, 14], [8, 19]], [[8, 28], [8, 11]], [[8, 28], [8, 19]], [[8, 28], [8, 18]], [[8, 28], [8, 10]], [[6, 8], [6, 7]], [[6, 8], [6, 42]], [[6, 8], [6, 17]], [[8, 11], [8, 19]], [[8, 19], [8, 10]], [[10, 14], [10, 11]], [[10, 14], [10, 17]], [[10, 12], [10, 17]], [[10, 11], [10, 17]], [[10, 17], [10, 18]], [[14, 36], [14, 18]], [[14, 36], [14, 16]], [[14, 18], [14, 16]], [[16, 17], [16, 33]], [[16, 17], [16, 37]], [[7, 16], [7, 28]], [[16, 33], [16, 37]], [[6, 7], [6, 42]], [[6, 7], [6, 17]], [[6, 28], [6, 42]], [[6, 28], [6, 17]], [[6, 42], [6, 17]], [[1, 17], [1, 2]], [[19, 20], [19, 43]], [[23, 25], [23, 24]], [[15, 37], [15, 36]], [[15, 36], [15, 16]], [[15, 36], [15, 32]], [[2, 9], [2, 3]]]"
1,"{0: [1], 1: [2]}",58,"[(31, 41), (37, 41), (41, 53), (43, 59), (31, 42), (31, 44), (21, 31), (40, 49), (37, 42), (42, 54), (42, 57), (42, 58), (37, 44), (35, 37), (6, 10), (6, 9), (13, 24), (24, 54), (24, 57), (24, 58), (13, 23), (23, 49), (13, 22), (13, 26), (13, 25), (13, 21), (22, 35), (21, 30), (21, 33), (32, 49), (32, 46), (34, 59), (38, 49), (38, 46), (35, 38), (47, 59), (46, 54), (46, 57), (46, 58), (18, 54), (50, 54), (18, 57), (18, 58), (12, 18), (50, 57), (36, 59), (39, 59), (64, 66), (26, 60), (60, 62), (59, 60), (62, 64), (4, 28), (3, 5), (41, 52), (26, 61), (59, 61), (0, 3)]","[[[13, 15], [10, 13]], [[13, 15], [12, 13]], [[13, 15], [15, 37]], [[13, 18], [18, 19]], [[10, 13], [13, 16]], [[10, 13], [13, 32]], [[10, 13], [8, 10]], [[13, 14], [14, 36]], [[13, 16], [12, 13]], [[13, 16], [16, 17]], [[13, 16], [16, 33]], [[13, 16], [16, 37]], [[12, 13], [13, 32]], [[12, 13], [11, 12]], [[4, 5], [5, 17]], [[4, 5], [5, 9]], [[8, 16], [6, 8]], [[8, 16], [16, 17]], [[8, 16], [16, 33]], [[8, 16], [16, 37]], [[8, 14], [6, 8]], [[8, 14], [14, 36]], [[6, 8], [8, 11]], [[6, 8], [8, 19]], [[6, 8], [8, 18]], [[6, 8], [8, 10]], [[8, 11], [11, 12]], [[8, 10], [10, 12]], [[8, 10], [10, 17]], [[10, 14], [14, 36]], [[10, 14], [14, 16]], [[10, 18], [18, 19]], [[12, 14], [14, 36]], [[12, 14], [14, 16]], [[12, 14], [11, 12]], [[14, 18], [18, 19]], [[14, 16], [16, 17]], [[14, 16], [16, 33]], [[14, 16], [16, 37]], [[16, 17], [7, 16]], [[16, 17], [15, 16]], [[7, 16], [16, 33]], [[7, 16], [16, 37]], [[7, 16], [6, 7]], [[15, 16], [16, 33]], [[11, 18], [18, 19]], [[12, 18], [18, 19]], [[22, 28], [21, 22]], [[19, 20], [8, 19]], [[19, 20], [20, 21]], [[19, 20], [18, 19]], [[21, 22], [20, 21]], [[9, 17], [2, 9]], [[3, 49], [2, 3]], [[15, 36], [13, 15]], [[8, 19], [19, 43]], [[19, 43], [18, 19]], [[2, 3], [1, 2]]]"
2,"{0: [1], 2: [1]}",35,"[(25, 43), (36, 43), (23, 40), (24, 42), (18, 42), (7, 16), (10, 33), (10, 54), (10, 14), (11, 16), (18, 24), (24, 50), (23, 38), (27, 66), (19, 27), (25, 39), (33, 54), (14, 33), (36, 47), (18, 46), (46, 50), (14, 54), (18, 50), (19, 66), (15, 66), (1, 9), (2, 14), (2, 33), (2, 10), (2, 54), (14, 28), (28, 33), (28, 54), (49, 52), (4, 9)]","[[[13, 18], [8, 18]], [[13, 18], [11, 18]], [[13, 14], [8, 14]], [[13, 16], [8, 16]], [[13, 16], [7, 16]], [[4, 42], [6, 42]], [[5, 17], [10, 17]], [[5, 17], [16, 17]], [[5, 17], [6, 17]], [[5, 42], [6, 42]], [[8, 16], [7, 16]], [[8, 16], [15, 16]], [[8, 14], [12, 14]], [[8, 28], [22, 28]], [[8, 28], [7, 28]], [[8, 18], [12, 18]], [[10, 17], [16, 17]], [[10, 17], [6, 17]], [[14, 18], [11, 18]], [[14, 16], [7, 16]], [[14, 16], [15, 16]], [[16, 17], [6, 17]], [[7, 16], [15, 16]], [[22, 28], [7, 28]], [[22, 28], [6, 28]], [[1, 9], [5, 9]], [[1, 17], [6, 17]], [[1, 17], [10, 17]], [[1, 17], [5, 17]], [[1, 17], [16, 17]], [[6, 17], [9, 17]], [[9, 17], [10, 17]], [[9, 17], [16, 17]], [[14, 36], [15, 36]], [[2, 9], [5, 9]]]"
4,"{0: [1, 2], 1: [2]}",30,"[(41, 42, 50), (41, 44, 51), (31, 34, 43), (40, 43, 47), (37, 39, 43), (31, 32, 40), (30, 31, 37), (40, 42, 46), (37, 38, 40), (6, 7, 11), (23, 24, 46), (23, 25, 47), (21, 23, 32), (13, 15, 27), (22, 25, 36), (21, 22, 29), (25, 26, 59), (21, 25, 34), (30, 32, 38), (32, 34, 47), (29, 30, 35), (30, 34, 39), (29, 34, 36), (38, 39, 47), (50, 53, 58), (35, 36, 39), (12, 15, 19), (1, 2, 28), (0, 1, 4), (9, 10, 28)]","[[[13, 15], [13, 16], [15, 16]], [[13, 15], [13, 32], [15, 32]], [[13, 18], [10, 13], [10, 18]], [[13, 18], [13, 14], [14, 18]], [[13, 18], [12, 13], [12, 18]], [[10, 13], [10, 14], [13, 14]], [[10, 13], [10, 12], [12, 13]], [[13, 14], [13, 16], [14, 16]], [[13, 14], [12, 13], [12, 14]], [[4, 42], [4, 5], [5, 42]], [[8, 16], [8, 14], [14, 16]], [[8, 14], [8, 18], [14, 18]], [[8, 14], [8, 10], [10, 14]], [[8, 28], [6, 8], [6, 28]], [[8, 11], [8, 18], [11, 18]], [[8, 11], [8, 10], [10, 11]], [[8, 19], [8, 18], [18, 19]], [[8, 18], [8, 10], [10, 18]], [[10, 14], [10, 12], [12, 14]], [[10, 14], [10, 18], [14, 18]], [[10, 12], [10, 11], [11, 12]], [[10, 12], [10, 18], [12, 18]], [[10, 11], [10, 18], [11, 18]], [[12, 14], [12, 18], [14, 18]], [[15, 16], [15, 37], [16, 37]], [[11, 18], [11, 12], [12, 18]], [[7, 28], [6, 7], [6, 28]], [[1, 9], [1, 17], [9, 17]], [[1, 9], [1, 2], [2, 9]], [[9, 17], [5, 17], [5, 9]]]"
