,Gene A,Gene B,Activation/Repression,delta
0,1,2,1,0
1,1,3,1,0
2,4,5,1,0
3,1,6,1,0
4,7,8,1,0
5,1,9,1,0
6,10,11,1,0
7,12,11,1,0
8,13,11,1,0
9,14,11,1,0
10,12,15,1,0
11,16,15,1,0
12,1,17,1,0
13,18,19,1,0
14,20,19,1,0
15,20,21,1,0
16,22,7,1,0
17,23,24,1,0
18,25,24,1,0
19,26,24,1,0
20,27,24,1,0
21,28,24,1,0
22,29,30,2,0
23,1,31,1,0
24,32,13,1,0
25,31,13,2,0
26,11,13,1,0
27,2,13,1,0
28,33,13,2,0
29,1,34,1,0
30,35,12,1,0
31,36,12,1,0
32,9,37,2,0
33,17,37,1,0
34,14,38,1,0
35,39,26,1,0
36,16,35,1,0
37,40,41,2,0
38,42,41,1,0
39,34,43,1,0
40,44,43,1,0
41,16,27,1,0
42,1,33,1,0
43,45,28,1,0
44,46,45,1,0
45,47,46,1,0
46,48,49,1,0
47,50,49,1,0
48,38,51,1,0
49,1,52,1,0
50,5,53,1,0
51,12,14,1,0
52,20,14,1,0
53,1,54,1,0
54,55,56,1,0
55,56,57,1,0
56,58,57,1,0
57,36,57,1,0
58,59,57,1,0
59,13,57,1,0
60,43,57,1,0
61,3,57,2,0
62,1,10,1,0
63,21,29,1,0
64,1,39,1,0
65,32,60,1,0
66,22,18,1,0
67,19,18,1,0
68,1,61,1,0
69,62,42,1,0
70,1,63,1,0
71,1,64,1,0
72,32,65,1,0
73,65,66,1,0
74,67,25,1,0
75,60,67,1,0
76,20,68,1,0
77,16,22,1,0
78,18,69,1,0
79,54,44,1,0
80,70,44,1,0
81,71,59,1,0
82,32,59,1,0
83,65,59,1,0
84,58,59,1,0
85,68,59,1,0
86,70,59,1,0
87,12,59,1,0
88,52,59,2,0
89,34,59,1,0
90,36,59,1,0
91,72,59,2,0
92,17,59,1,0
93,53,40,2,0
94,61,40,1,0
95,1,72,1,0
96,19,71,2,0
97,35,73,1,0
98,15,73,1,0
99,32,23,1,0
