,Gene A,Gene B,Activation/Repression,delta
0,1,2,1,0
1,3,4,1,0
2,5,4,1,0
3,6,7,1,0
4,8,9,1,0
5,10,9,1,0
6,11,12,1,0
7,13,14,1,0
8,2,15,1,0
9,3,16,1,0
10,1,16,1,0
11,17,18,1,0
12,15,18,2,0
13,19,18,2,0
14,20,21,1,0
15,22,21,2,0
16,23,21,1,0
17,24,25,1,0
18,26,27,1,0
19,28,27,1,0
20,29,27,1,0
21,30,27,1,0
22,11,31,1,0
23,32,33,1,0
24,11,34,1,0
25,35,34,1,0
26,36,34,1,0
27,37,38,1,0
28,35,39,1,0
29,1,40,1,0
30,41,42,1,0
31,4,42,1,0
32,1,43,1,0
33,33,44,1,0
34,16,17,1,0
35,45,17,1,0
36,44,46,1,0
37,47,46,2,0
38,48,46,1,0
39,7,3,1,0
40,39,3,1,0
41,34,3,1,0
42,5,26,1,0
43,1,26,1,0
44,49,50,1,0
45,51,50,1,0
46,12,5,1,0
47,31,5,1,0
48,52,5,2,0
49,53,5,1,0
50,54,24,1,0
51,17,55,1,0
52,18,55,1,0
53,5,10,1,0
54,1,10,1,0
55,3,45,1,0
56,5,45,1,0
57,1,56,1,0
58,6,36,1,0
59,22,57,2,0
60,58,57,1,0
61,59,60,1,0
62,61,54,1,0
63,1,28,1,0
64,35,62,1,0
65,63,62,1,0
66,6,64,1,0
67,38,23,1,0
68,16,19,1,0
69,56,19,1,0
70,54,59,1,0
71,65,61,1,0
72,21,61,1,0
73,9,61,1,0
74,5,29,1,0
75,1,29,1,0
76,42,66,1,0
77,41,30,1,0
78,4,30,1,0
79,45,30,1,0
80,62,1,1,0
81,50,37,1,0
82,6,35,1,0
83,1,41,1,0
84,6,11,1,0
85,66,51,1,0
86,6,53,1,0
87,1,13,1,0
88,32,48,1,0
89,59,67,1,0
90,57,6,1,0
91,25,6,1,0
92,60,6,1,0
93,25,63,1,0
94,64,63,1,0
95,46,63,1,0
96,65,58,1,0
97,21,58,1,0
98,9,58,1,0
99,68,65,1,0
100,67,20,1,0
101,65,32,1,0
102,9,32,1,0
