,Gene A,Gene B,Activation/Repression,delta
0,1,2,1,0
1,3,4,1,0
2,5,4,1,0
3,6,4,2,0
4,7,4,1,0
5,8,4,2,0
6,9,4,2,0
7,10,4,1,0
8,11,12,1,0
9,13,12,1,0
10,14,12,1,0
11,15,16,1,0
12,5,11,1,0
13,6,11,1,0
14,7,11,1,0
15,9,11,2,0
16,17,18,1,0
17,19,18,1,0
18,13,18,1,0
19,4,18,1,0
20,20,18,1,0
21,21,18,1,0
22,22,23,2,0
23,24,23,1,0
24,25,26,1,0
25,27,28,1,0
26,29,28,1,0
27,30,28,1,0
28,31,28,1,0
29,32,28,1,0
30,33,28,1,0
31,34,28,1,0
32,35,28,1,0
33,36,28,1,0
34,37,28,1,0
35,38,28,1,0
36,39,40,1,0
37,41,40,1,0
38,42,43,2,0
39,44,43,1,0
40,17,45,1,0
41,46,45,1,0
42,4,45,1,0
43,13,45,1,0
44,47,45,1,0
45,21,45,1,0
46,48,45,1,0
47,49,45,1,0
48,22,45,1,0
49,50,45,1,0
50,51,45,1,0
51,52,45,1,0
52,19,45,1,0
53,53,45,1,0
54,54,45,1,0
55,55,45,1,0
56,20,45,1,0
57,56,45,1,0
58,57,58,1,0
59,50,58,1,0
60,59,58,1,0
61,60,61,1,0
62,62,61,1,0
63,63,63,2,0
64,64,63,1,0
65,19,65,1,0
66,66,65,1,0
67,20,65,1,0
68,27,67,1,0
69,68,67,1,0
70,17,69,1,0
71,18,69,1,0
72,46,69,1,0
73,70,69,1,0
74,71,69,2,0
75,72,69,1,0
76,49,69,1,0
77,22,69,1,0
78,51,69,1,0
79,73,69,1,0
80,74,69,1,0
81,75,69,1,0
82,76,69,1,0
83,4,69,1,0
84,13,69,1,0
85,47,69,1,0
86,21,69,1,0
87,48,69,1,0
88,12,69,1,0
89,77,69,1,0
90,78,69,1,0
91,11,69,1,0
92,53,69,1,0
93,19,69,1,0
94,54,69,1,0
95,79,69,1,0
96,20,69,1,0
97,72,80,1,0
98,22,80,1,0
99,81,80,1,0
100,69,80,1,0
101,82,80,1,0
102,83,80,1,0
103,84,30,1,0
104,85,30,2,0
105,86,30,1,0
106,44,30,1,0
107,87,88,1,0
108,89,88,1,0
109,90,91,1,0
110,30,91,1,0
111,35,91,1,0
112,92,91,2,0
113,93,91,1,0
114,37,91,1,0
115,94,95,1,0
116,96,95,1,0
117,97,95,1,0
118,22,95,1,0
119,98,95,1,0
120,99,95,1,0
121,56,95,1,0
122,24,95,1,0
123,72,100,1,0
124,22,100,1,0
125,101,100,2,0
126,102,29,1,0
127,103,104,2,0
128,105,104,2,0
129,41,104,1,0
130,57,106,1,0
131,107,106,1,0
132,34,106,1,0
133,108,106,1,0
134,109,106,1,0
135,110,106,2,0
136,111,112,2,0
137,19,112,1,0
138,113,112,1,0
139,114,112,1,0
140,20,112,1,0
141,115,112,1,0
142,29,116,1,0
143,30,116,1,0
144,31,116,1,0
145,32,116,1,0
146,33,116,1,0
147,93,116,1,0
148,37,116,1,0
149,38,116,1,0
150,72,117,1,0
151,22,117,1,0
152,118,117,1,0
153,108,117,1,0
154,55,117,1,0
155,39,119,1,0
156,120,119,1,0
157,97,115,1,0
158,121,122,1,0
159,57,123,1,0
160,124,14,2,0
161,5,14,1,0
162,6,14,1,0
163,9,14,1,0
164,125,14,2,0
165,6,6,1,0
166,11,6,2,0
167,126,6,2,0
168,13,6,2,0
169,14,6,2,0
170,127,6,1,0
171,100,128,1,0
172,129,130,1,0
173,131,130,1,0
174,120,130,1,0
175,132,130,2,0
176,105,130,2,0
177,78,76,1,0
178,11,76,1,0
179,4,76,1,0
180,133,76,1,0
181,129,134,2,0
182,132,134,1,0
183,105,134,2,0
184,135,41,2,0
185,136,137,1,0
186,98,137,1,0
187,99,137,1,0
