,Gene A,Gene B,Activation/Repression,delta
0,1,1,2,0
1,2,1,1,0
2,3,4,1,0
3,5,4,1,0
4,6,7,1,0
5,8,7,1,0
6,4,7,1,0
7,9,7,1,0
8,10,7,1,0
9,11,12,2,0
10,13,12,1,0
11,14,12,1,0
12,2,12,1,0
13,15,12,1,0
14,16,12,1,0
15,17,12,2,0
16,18,18,2,0
17,16,18,1,0
18,19,20,1,0
19,21,22,1,0
20,23,22,1,0
21,24,22,1,0
22,25,22,1,0
23,26,27,1,0
24,11,28,1,0
25,29,28,1,0
26,19,28,1,0
27,30,28,1,0
28,8,28,1,0
29,10,28,1,0
30,5,31,2,0
31,32,31,1,0
32,31,31,1,0
33,8,31,1,0
34,33,31,1,0
35,13,34,1,0
36,34,34,2,0
37,20,35,1,0
38,36,35,1,0
39,6,35,1,0
40,37,35,2,0
41,38,35,1,0
42,39,35,1,0
43,40,41,2,0
44,42,41,1,0
45,8,41,1,0
46,9,41,1,0
47,43,33,1,0
48,35,33,1,0
49,44,45,1,0
50,2,45,1,0
51,11,37,2,0
52,46,37,2,0
53,36,37,2,0
54,39,37,2,0
55,47,48,1,0
56,49,48,1,0
57,50,51,2,0
58,27,51,1,0
59,3,52,1,0
60,5,52,1,0
61,19,52,1,0
62,30,52,1,0
63,8,52,2,0
64,53,52,1,0
65,9,52,2,0
66,54,52,2,0
67,11,40,2,0
68,23,40,1,0
69,55,40,2,0
70,25,40,1,0
71,51,49,1,0
72,3,56,1,0
73,11,56,1,0
74,5,56,1,0
75,8,56,1,0
76,53,56,1,0
77,57,56,1,0
78,17,56,1,0
79,58,56,1,0
80,21,59,1,0
81,41,59,1,0
82,60,59,1,0
83,30,59,1,0
84,8,59,1,0
85,17,59,1,0
86,9,59,1,0
87,61,62,1,0
88,63,62,2,0
89,64,62,1,0
90,65,62,2,0
91,66,63,1,0
92,62,63,1,0
93,50,63,1,0
94,67,63,1,0
95,68,69,1,0
96,8,69,1,0
97,70,64,1,0
98,71,64,1,0
99,72,64,1,0
100,73,64,1,0
101,74,64,1,0
102,75,64,1,0
103,76,64,1,0
104,49,64,1,0
105,77,64,1,0
106,78,64,1,0
107,69,79,1,0
108,3,80,1,0
109,19,80,1,0
110,5,80,1,0
111,66,80,1,0
112,58,80,1,0
113,27,73,1,0
114,19,30,1,0
115,14,30,1,0
116,81,30,1,0
117,2,30,1,0
118,16,30,1,0
119,82,83,2,0
120,23,83,1,0
121,84,83,2,0
122,85,83,2,0
123,25,83,1,0
124,86,83,1,0
125,36,87,1,0
126,70,87,1,0
127,73,87,1,0
128,49,87,1,0
129,78,87,1,0
130,77,87,1,0
131,88,87,1,0
132,3,89,1,0
133,69,89,1,0
134,65,89,2,0
135,8,89,1,0
136,53,89,1,0
137,90,89,1,0
138,39,89,1,0
139,91,75,1,0
140,62,75,1,0
141,83,75,1,0
142,5,92,1,0
143,91,92,1,0
144,40,92,2,0
145,8,92,1,0
146,47,92,1,0
147,93,92,1,0
148,9,92,1,0
149,3,5,1,0
150,94,5,1,0
151,5,5,1,0
152,7,5,1,0
153,95,5,1,0
154,15,2,2,0
155,96,97,1,0
156,13,97,2,0
157,14,97,1,0
158,55,97,1,0
159,98,97,2,0
160,69,68,1,0
161,66,68,1,0
162,68,68,2,0
163,55,57,1,0
164,8,57,1,0
165,67,57,1,0
166,97,57,2,0
167,57,57,2,0
168,58,57,1,0
169,3,99,1,0
170,100,99,1,0
171,101,66,1,0
172,63,66,2,0
173,65,66,2,0
174,66,66,1,0
175,102,84,1,0
176,40,42,2,0
177,8,42,1,0
178,9,42,1,0
179,39,103,1,0
180,3,98,1,0
181,20,98,1,0
