,Gene A,Gene B,Activation/Repression,delta
0,1,2,2,0
1,3,2,1,0
2,4,2,2,0
3,5,6,1,0
4,7,6,1,0
5,8,9,1,0
6,10,11,1,0
7,1,11,2,0
8,4,11,2,0
9,12,7,1,0
10,13,7,1,0
11,14,7,1,0
12,15,7,1,0
13,16,7,1,0
14,10,17,1,0
15,15,13,1,0
16,18,13,1,0
17,12,5,1,0
18,13,5,1,0
19,14,5,1,0
20,16,5,1,0
21,15,5,1,0
22,5,19,1,0
23,6,19,1,0
24,7,19,1,0
25,19,1,2,0
26,2,1,2,0
27,5,1,2,0
28,11,1,2,0
29,6,1,1,0
30,8,18,1,0
31,19,10,1,0
32,5,10,1,0
33,6,10,1,0
34,7,10,1,0
35,8,15,1,0
36,9,14,1,0
37,15,14,1,0
38,19,3,1,0
39,12,16,2,0
40,5,16,1,0
41,6,16,1,0
42,17,20,1,0
43,11,20,1,0
44,9,12,1,0
45,18,12,1,0
46,19,4,2,0
47,5,4,2,0
48,11,4,2,0
49,6,4,1,0
