,Gene A,Gene B,Activation/Repression,delta
0,1,2,1,0
1,3,2,2,0
2,4,2,1,0
3,5,2,1,0
4,6,1,1,0
5,7,1,1,0
6,8,1,1,0
7,9,1,1,0
8,3,1,2,0
9,8,6,1,0
10,9,6,1,0
11,3,6,2,0
12,6,5,1,0
13,10,5,1,0
14,8,5,1,0
15,9,5,1,0
16,11,5,1,0
17,12,5,2,0
18,13,14,2,0
19,15,14,1,0
20,12,14,2,0
21,1,16,1,0
22,2,16,1,0
23,8,16,1,0
24,17,16,1,0
25,3,16,2,0
26,8,18,1,0
27,19,18,1,0
28,3,18,2,0
29,6,20,1,0
30,8,20,1,0
31,19,20,2,0
32,17,20,2,0
33,3,20,2,0
34,6,21,2,0
35,18,21,1,0
36,8,21,1,0
37,19,21,1,0
38,3,21,2,0
39,22,21,2,0
40,23,21,1,0
41,20,19,2,0
42,8,19,1,0
43,3,19,2,0
44,5,19,2,0
45,24,25,1,0
46,3,25,2,0
47,6,7,1,0
48,18,7,1,0
49,9,7,1,0
50,3,7,2,0
51,6,11,1,0
52,18,11,1,0
53,8,11,1,0
54,9,11,1,0
55,3,11,2,0
56,21,8,2,0
57,16,8,2,0
58,8,8,1,0
59,13,8,1,0
60,23,8,1,0
61,21,3,1,0
62,24,3,2,0
63,14,3,1,0
64,16,3,1,0
65,8,3,2,0
66,3,3,2,0
67,15,3,2,0
68,20,4,1,0
69,8,4,1,0
70,19,4,2,0
71,17,4,2,0
72,22,4,1,0
73,5,4,1,0
74,6,10,1,0
75,25,10,1,0
76,9,10,1,0
77,3,10,2,0
78,25,12,2,0
79,2,12,1,0
80,14,12,1,0
81,5,12,1,0
82,6,22,1,0
83,24,22,1,0
84,9,22,1,0
85,4,22,1,0
86,25,23,2,0
87,26,23,1,0
88,27,23,1,0
89,10,23,2,0
90,24,27,1,0
91,6,28,1,0
92,18,28,1,0
93,9,28,1,0
94,3,28,2,0
95,6,26,1,0
96,7,26,1,0
97,18,26,1,0
98,9,26,1,0
99,3,26,2,0
100,28,26,1,0
101,14,15,2,0
102,27,15,1,0
103,13,15,1,0
104,15,15,1,0
105,23,15,1,0
106,24,24,1,0
107,8,24,2,0
108,2,17,1,0
109,3,17,2,0
110,4,17,1,0
111,6,9,1,0
112,25,9,1,0
113,3,9,2,0
114,4,9,1,0
115,27,13,1,0
116,5,13,1,0
