,Gene A,Gene B,Activation/Repression,delta
317,36,184,1,0
318,265,187,1,0
319,266,4,1,0
320,73,267,1,0
321,67,267,1,0
322,45,267,1,0
323,106,267,2,0
324,268,92,1,0
325,269,92,1,0
326,270,92,1,0
327,208,92,1,0
328,271,92,1,0
329,207,271,1,0
330,90,118,1,0
331,272,273,1,0
332,274,275,2,0
333,276,275,2,0
334,6,149,1,0
335,6,10,1,0
336,22,277,1,0
337,26,277,1,0
338,6,251,1,0
339,6,278,1,0
340,123,279,1,0
341,280,279,1,0
342,281,254,1,0
343,273,254,1,0
344,282,254,1,0
345,6,188,1,0
346,283,115,1,0
347,12,115,1,0
348,172,115,1,0
349,6,57,1,0
350,98,174,1,0
351,55,174,1,0
352,188,284,1,0
353,48,284,1,0
354,144,86,1,0
355,6,260,1,0
356,210,285,1,0
357,135,285,1,0
358,280,285,1,0
359,225,285,1,0
360,6,286,1,0
361,287,288,1,0
362,152,289,1,0
363,43,289,1,0
364,45,289,1,0
365,46,289,1,0
366,290,134,1,0
367,197,134,1,0
368,100,134,1,0
369,198,134,1,0
370,243,134,1,0
371,179,291,1,0
372,22,291,1,0
373,122,280,1,0
374,292,63,1,0
375,261,63,1,0
376,293,8,1,0
377,257,8,1,0
378,6,193,1,0
379,6,45,1,0
380,242,197,1,0
381,215,197,1,0
382,7,197,1,0
383,278,197,1,0
384,26,294,1,0
385,126,295,1,0
386,296,295,1,0
387,33,13,1,0
388,141,13,1,0
389,297,13,1,0
390,22,298,1,0
391,50,298,1,0
392,6,283,1,0
393,6,124,1,0
394,242,290,1,0
395,206,290,1,0
396,267,106,1,0
397,162,106,1,0
398,221,106,1,0
399,34,244,1,0
400,205,244,1,0
401,22,299,1,0
402,270,300,1,0
403,297,300,1,0
404,6,114,1,0
405,179,301,1,0
406,86,301,1,0
407,6,234,1,0
408,73,159,1,0
409,44,159,1,0
410,121,224,1,0
411,48,302,1,0
412,23,28,1,0
413,127,239,1,0
414,232,239,1,0
415,300,177,1,0
416,15,177,1,0
417,242,53,1,0
418,286,53,1,0
419,195,53,1,0
420,6,93,1,0
421,6,143,1,0
422,252,303,1,0
423,169,303,1,0
424,210,274,1,0
425,135,274,1,0
426,304,274,1,0
427,280,274,1,0
428,122,178,1,0
429,4,305,1,0
430,6,43,1,0
431,171,266,1,0
432,6,297,1,0
433,107,26,1,0
434,228,306,1,0
435,120,70,1,0
436,32,292,1,0
437,99,292,1,0
438,307,292,1,0
439,175,270,1,0
440,25,270,1,0
441,91,270,1,0
442,154,270,1,0
443,19,270,1,0
444,272,282,1,0
445,122,304,1,0
446,6,138,1,0
447,122,255,1,0
448,245,222,1,0
449,248,222,1,0
450,58,308,1,0
451,231,308,1,0
452,134,309,1,0
453,288,309,1,0
454,252,309,1,0
455,146,309,1,0
456,122,310,1,0
457,6,311,1,0
458,246,67,1,0
459,161,67,1,0
460,6,40,1,0
461,222,186,1,0
462,43,186,1,0
463,45,186,1,0
464,46,186,1,0
465,118,312,1,0
466,118,313,1,0
467,6,314,1,0
468,73,158,1,0
469,289,158,1,0
470,207,269,1,0
471,92,269,1,0
472,6,212,1,0
473,6,296,1,0
474,263,83,1,0
475,262,77,1,0
476,120,166,1,0
477,135,276,1,0
478,310,276,1,0
479,309,315,1,0
480,26,315,1,0
481,6,94,1,0
482,309,172,1,0
483,237,85,1,0
484,54,268,1,0
485,25,268,1,0
486,91,268,1,0
487,19,268,1,0
488,122,249,1,0
489,170,102,1,0
490,14,102,1,0
491,39,142,1,0
492,308,142,1,0
493,9,142,1,0
494,285,145,1,0
495,20,145,1,0
496,295,98,1,0
497,82,98,1,0
498,160,98,1,0
499,179,316,1,0
500,26,317,1,0
501,230,318,1,0
502,118,319,1,0
503,272,281,1,0
504,6,229,1,0
505,6,73,1,0
506,118,320,1,0
507,6,155,1,0
508,6,242,1,0
509,22,48,1,0
510,50,48,1,0
511,6,223,1,0
512,62,223,1,0
513,97,262,1,0
514,139,262,1,0
515,6,307,1,0
516,22,321,1,0
